fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
24.7,4.31-33.15,#281,#51,0.0,0.0,0.0,11.94,17.14,137.81,0.86,Foster Moreau,NO,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
24.45,3.18-31.86,#286,#52,0.0,0.0,0.0,13.86,21.58,126.37,0.85,Josh Oliver,MIN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
22.39,1.98-30.38,#292,#53,0.0,0.0,0.0,12.42,18.54,126.45,0.59,Austin Hooper,NE,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
20.715,1.09-29.33,#297,#54,0.0,0.0,0.0,11.01,16.5,107.86,0.75,Will Mallory,IND,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
16.48,-1.48-26.3,#307,#55,0.0,0.0,0.0,8.14,12.04,84.64,0.65,Brock Wright,DET,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
16.294999999999998,-1.6-26.16,#309,#56,0.0,0.0,0.0,8.03,12.31,83.49,0.65,Davis Allen,LA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
15.635,-2.52-25.06,#310,#57,0.0,0.0,0.0,8.73,13.19,82.69,0.5,Lucas Krull,DEN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
15.355,-2.83-24.69,#314,#58,0.0,0.0,0.0,8.85,13.56,83.63,0.41,Ian Thomas,CAR,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
14.684999999999999,-3.06-24.4,#315,#59,0.0,0.0,0.0,8.03,11.58,77.93,0.49,Stone Smartt,LAC,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
13.93,-3.5-23.88,#318,#60,0.0,0.0,0.0,7.48,11.09,75.28,0.47,Jordan Akins,CLE,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
12.89,-4.06-23.22,#320,#61,0.0,0.0,0.0,6.62,9.39,65.67,0.51,Noah Gray,KC,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
12.255,-4.4-22.82,#323,#62,0.0,0.0,0.0,6.09,8.94,65.05,0.46,Brevin Jordan,HOU,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
12.64,-4.76-22.4,#325,#63,0.0,0.0,0.0,7.64,10.75,65.85,0.35,Lawrence Cager,NYG,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
11.495,-5.27-21.79,#330,#64,0.0,0.0,0.0,6.47,8.93,59.93,0.35,Durham Smythe,MIA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
8.32,-7.11-19.61,#348,#65,0.0,0.0,0.0,4.14,5.72,42.11,0.34,Charlie Woerner,ATL,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
8.195,-7.18-19.5,#349,#66,0.0,0.0,0.0,4.07,6.02,42.75,0.34,James Mitchell,DET,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
7.505,-7.91-18.67,#359,#67,0.0,0.0,0.0,4.25,5.92,34.74,0.34,Drew Sample,CIN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
7.295,-7.91-18.67,#359,#67,0.0,0.0,0.0,3.83,5.67,37.33,0.29,Ko Kieft,TB,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
