player,fpts,pos,source,source_url,fpts_halfppr_adjust
Elijah Dotson,4.305,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Isaiah Spiller,4.265,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tyler Goodson,4.135,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Julius Chestnut,4.07,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Joshua Kelley,4.21,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Hassan Haskins,4.03,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jeremy McNichols,4.09,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Myles Gaskin,4.0600000000000005,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Chris Rodriguez Jr.,4.07,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Emari Demercado,3.9450000000000003,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Raheem Blackshear,2.83,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Mike Boone,2.7800000000000002,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tony Jones Jr.,0.0,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Troy Hairston,0.0,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tyler Badie,0.0,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jordan Mims,0.0,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
