fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
86.305,47.75-84.71,#183,#75,0.0,0.0,0.0,40.15,65.94,487.61,2.96,Adonai Mitchell,IND,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
90.385,47.09-83.91,#186,#76,8.66,49.22,0.44,49.77,75.09,443.81,2.28,Wan'Dale Robinson,NYG,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
83.61500000000001,45.58-82.12,#187,#77,0.0,0.0,0.0,39.53,64.68,443.14,3.39,Ricky Pearsall,SF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
80.45,45.41-81.93,#188,#78,0.0,0.0,0.0,33.56,60.7,484.35,2.58,DJ Chark,LAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
84.095,45-81.46,#190,#79,0.0,0.0,0.0,41.73,70.48,499.95,2.33,Luke McCaffrey,WSH,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
79.13499999999999,42.85-78.89,#195,#80,0.0,0.0,0.0,36.53,63.36,477.34,2.26,Tim Patrick,DEN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
80.965,42.78-78.82,#196,#81,0.0,0.0,0.0,40.33,60.76,506.82,1.81,Kendrick Bourne,NE,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
78.465,41.86-77.72,#200,#82,4.55,26.22,0.21,37.35,62.53,410.71,2.66,Trey Palmer,TB,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
75.745,39.85-75.33,#202,#83,0.0,0.0,0.0,36.31,59.01,466.6,1.91,Michael Wilson,ARI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
69.995,37.52-72.56,#210,#84,16.59,93.87,0.76,29.91,42.78,287.64,2.18,Rondale Moore,ATL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
73.15,37.05-72.01,#211,#85,0.0,0.0,0.0,37.24,58.67,416.61,2.16,Tyler Boyd,TEN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
70.825,36.73-71.63,#212,#86,0.0,0.0,0.0,33.29,58.1,418.18,2.13,Josh Reynolds,DEN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
70.99,36.71-71.61,#213,#87,0.0,0.0,0.0,33.66,56.49,387.64,2.61,Roman Wilson,PIT,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
70.69,35.96-70.72,#214,#88,0.0,0.0,0.0,34.7,57.79,403.12,2.21,Quentin Johnston,LAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
69.31,35.65-70.35,#215,#89,0.0,0.0,0.0,32.62,56.3,424.16,1.86,Darius Slayton,NYG,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
66.02000000000001,34.3-68.74,#219,#90,0.0,0.0,0.0,29.0,52.2,393.1,2.09,Alec Pierce,IND,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
62.794999999999995,31-64.82,#224,#91,0.0,0.0,0.0,29.77,51.17,350.68,2.28,Jalen McMillan,TB,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
62.99,30.65-64.41,#225,#92,0.0,0.0,0.0,30.92,55.41,350.89,2.15,Elijah Moore,CLE,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
60.905,29.91-63.53,#226,#93,0.0,0.0,0.0,28.37,45.74,343.52,2.18,Cedrick Wilson,NO,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
59.155,28.53-61.89,#228,#94,0.0,0.0,0.0,27.89,44.35,328.46,2.18,Trenton Irwin,CIN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
54.755,26.49-59.49,#232,#95,0.0,0.0,0.0,23.53,40.44,309.3,2.04,Mack Hollins,BUF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
54.754999999999995,26.22-59.16,#233,#96,0.0,0.0,0.0,24.13,40.21,302.55,2.15,Nelson Agholor,BAL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
54.81,25.91-58.79,#234,#97,0.0,0.0,0.0,24.92,45.03,315.71,1.9,Tre Tucker,LV,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
52.92,24.77-57.43,#236,#98,0.0,0.0,0.0,23.64,39.24,288.73,2.12,Jalen Tolbert,DAL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
52.025000000000006,23.32-55.72,#237,#99,0.0,0.0,0.0,25.01,44.32,290.51,1.86,Cedric Tillman,CLE,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
54.535000000000004,23.06-55.42,#238,#100,0.0,0.0,0.0,30.59,53.46,293.11,1.81,Brandon Powell,MIN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
53.29,22.34-54.54,#239,#101,0.0,0.0,0.0,29.7,48.26,294.29,1.5,Zay Jones,ARI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
47.025000000000006,20.68-52.58,#244,#102,0.0,0.0,0.0,20.79,36.84,267.75,1.68,Van Jefferson,PIT,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
48.255,20.39-52.25,#245,#103,0.0,0.0,0.0,23.87,39.28,264.84,1.73,Calvin Austin III,PIT,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
