fpts,fpts_ci,rank_overall,rank_pos,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,player,team,pos,source,source_url,fpts_halfppr_adjust,pass_cmp,pass_att
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Carson Wentz,KC,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Mitchell Trubisky,BUF,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,C.J. Beathard,JAC,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Cooper Rush,DAL,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Nathan Peterman,NO,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Taylor Heinicke,ATL,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Nate Sudfeld,DET,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Joshua Dobbs,SF,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Jeff Driskel,TEN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Nick Mullens,MIN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Kyle Allen,PIT,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Drew Lock,NYG,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Mason Rudolph,TEN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Jarrett Stidham,DEN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Allen,SF,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
