params/verbose,params/vf_coef,params/device,time/iterations,params/gamma,params/seed,params/learning_rate,params/stats_window_size,params/rollout_buffer_kwargs,params/policy_kwargs,rollout/ep_rew_mean,time/fps,params/normalize_advantage,time/time_elapsed,rollout/ep_len_mean,params/target_kl,params/n_steps,params/clip_range,params/rollout_buffer_class,params/batch_size,params/_init_setup_model,params/gae_lambda,params/clip_range_vf,params/n_epochs,params/use_sde,params/sde_sample_freq,time/total_timesteps,params/max_grad_norm,params/policy,params/ent_coef,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/value_loss,mean_reward,eval/mean_reward,eval/mean_ep_length
,,,45,,,,,,,-0.4424476222222223,13,,49,15.0,,,,,,,,,,,,675,,,,-1.7643162727355957,0.2,-0.4930227994918823,0.0,440,-0.0029688394085194856,5e-05,-0.023506419733166695,0.00016330878,0.05483654737472534,,,
,,,46,,,,,,,-0.44889917391304346,13,,50,15.0,,,,,,,,,,,,690,,,,-1.768662440776825,0.2,-0.5398013591766357,0.0,450,-0.005121962144815662,5e-05,-0.04065510630607605,0.00046163797,0.01980944462120533,,,
,,,47,,,,,,,-0.42373270212765957,13,,51,15.0,,,,,,,,,,,,705,,,,-1.7715773463249207,0.2,-0.6472059488296509,0.0,460,-0.0034340648964280352,5e-05,-0.03776814416050911,0.00038402874,0.019879197888076305,,,
,,,48,,,,,,,-0.4303486875,13,,52,15.0,,,,,,,,,,,,720,,,,-1.772222924232483,0.2,0.28826117515563965,0.0,470,-0.0007367807965540152,5e-05,0.3094874918460846,8.7662534e-05,0.9303313493728638,,,
,,,49,,,,,,,-0.4356257142857143,13,,53,15.0,,,,,,,,,,,,735,,,,-1.7739784359931945,0.2,-2.8688595294952393,0.0,480,-0.0023363287913767293,5e-05,0.0009515546262264252,6.5179665e-05,0.10348674431443214,,,
,,,50,,,,,,,-0.44169286,13,,54,15.0,,,,,,,,,,,,750,,,,-1.7724488854408265,0.2,-0.17888164520263672,0.0,490,-0.0030318459886863104,5e-05,-0.03579983860254288,0.00013833046,0.04308964069932699,,,
,,,51,,,,,,,-0.4478700196078431,13,,55,15.0,,,,,,,,,,,,765,,,,-1.7704302072525024,0.2,0.5382305383682251,0.0,500,-0.004705950664744485,5e-05,-0.042487625032663345,0.00015670458,0.008933470537886023,,,
,,,52,,,,,,,-0.42585003846153846,13,,56,15.0,,,,,,,,,,,,780,,,,-1.7679480195045472,0.2,-0.4784437417984009,0.0,510,-0.009246712441090566,5e-05,-0.051668912172317505,0.0005511562,0.012360328156501055,,,
,,,53,,,,,,,-0.43242845283018866,13,,57,15.0,,,,,,,,,,,,795,,,,-1.7601665258407593,0.2,-2.3103344440460205,0.0,520,-0.0013162036736801496,5e-05,0.15532928705215454,0.00031472047,0.5856492310762406,,,
,,,54,,,,,,,-0.43883485185185184,13,,58,15.0,,,,,,,,,,,,810,,,,-1.7604886889457703,0.2,-0.6854524612426758,0.0,530,-0.0031266394930813844,5e-05,-0.008189775049686432,0.00017250379,0.08238999843597412,,,
,,,55,,,,,,,-0.4175655272727272,13,,59,15.0,,,,,,,,,,,,825,,,,-1.7586923956871032,0.2,0.20099371671676636,0.0,540,-0.0034149994260708636,5e-05,-0.038669005036354065,0.0002324462,0.03266739612445235,,,
