time/fps,params/seed,params/verbose,params/policy,params/stats_window_size,params/normalize_advantage,params/use_sde,params/_init_setup_model,time/total_timesteps,params/max_grad_norm,time/time_elapsed,params/learning_rate,params/n_epochs,params/vf_coef,params/ent_coef,params/sde_sample_freq,rollout/ep_len_mean,params/clip_range,params/rollout_buffer_class,mean_reward,params/device,params/batch_size,params/rollout_buffer_kwargs,params/n_steps,params/gamma,params/gae_lambda,time/iterations,params/clip_range_vf,params/policy_kwargs,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
15,,,,,,,,43500,,2831,,,,,,15.0,,,1.1009736,,,,,,,58,,,1.2153074999999998,0.11471111016968887,0.0105656525,-0.03050098619779777,1710,9.893125e-05,0.2,0.02077466994524002,-0.12818503379821777,0.24913055350383123,-1.2252919554710389,,
15,,,,,,,,44250,,2881,,,,,,15.0,,,1.309223,,,,,,,59,,,1.27316828,0.11235555491099755,0.009971916,-0.03255789478081796,1740,9.89125e-05,0.2,0.00594465434551239,0.012569725513458252,0.223858805000782,-1.2486395200093587,,
,,,,,,,,45000,,,,,,,,,,,1.3100101,,,,,,,,,,,0.10026666543756922,0.0075008213,-0.02680379885385434,1770,9.889375e-05,0.2,-0.03961758688092232,-0.006245851516723633,0.10700017760197321,-1.2149063388506571,15.0,1.4191761136054992
15,,,,,,,,45000,,2935,,,,,,15.0,,,,,,,,,,60,,,1.27044184,,,,,,,,,,,,
15,,,,,,,,45750,,2985,,,,,,15.05,,,1.2101854,,,,,,,61,,,1.24453066,0.1136888881524404,0.008081238,-0.027252056623415833,1800,9.8875e-05,0.2,0.006798744201660156,0.09316396713256836,0.20756498674551646,-1.1844600359598796,,
15,,,,,,,,46500,,3034,,,,,,15.05,,,1.2789731,,,,,,,62,,,1.22209866,0.10786666696270307,0.012404886,-0.032122784220779126,1830,9.885625000000001e-05,0.2,-0.027987554669380188,0.05331587791442871,0.1486080050468445,-1.195473317305247,,
15,,,,,,,,47250,,3083,,,,,,15.0,,,1.1246057,,,,,,,63,,,1.1861372300000002,0.15955555686571946,0.012612554,-0.031016340194497675,1860,9.883750000000001e-05,0.2,0.02561880648136139,0.06517082452774048,0.2574438770612081,-1.1875186403592428,,
15,,,,,,,,48000,,3131,,,,,,15.0,,,1.2473495,,,,,,,64,,,1.2788441300000002,0.12871111184358597,0.009595229,-0.02968826960497018,1890,9.881875000000001e-05,0.2,0.0060998499393463135,-0.06212007999420166,0.21065175533294678,-1.171853244304657,,
15,,,,,,,,48750,,3179,,,,,,15.0,,,1.3718485,,,,,,,65,,,1.35131007,0.11262222328223288,0.011319647,-0.03094331923822556,1920,9.88e-05,0.2,-0.05118687450885773,0.046984732151031494,0.09262013311187427,-1.1642508308092754,,
15,,,,,,,,49500,,3228,,,,,,15.0,,,1.3310306,,,,,,,66,,,1.33720962,0.15151111098627248,0.011593898,-0.0324301278397441,1950,9.878125e-05,0.2,-0.0125807523727417,0.05130410194396973,0.16859322587649028,-1.1650721232096355,,
,,,,,,,,50000,,,,,,,,,,,1.3418943,,,,,,,,,,,0.1254666671777765,0.011783146,-0.02976364149049752,1980,9.87625e-05,0.2,-0.023371011018753052,0.03225666284561157,0.13542180707057316,-1.1563255429267882,15.0,1.6260962724685668
15,,,,,,,,50250,,3281,,,,,,15.05,,,,,,,,,,67,,,1.3165149999999999,,,,,,,,,,,,
