params/clip_range,params/rollout_buffer_class,time/iterations,params/gamma,time/total_timesteps,params/clip_range_vf,params/use_sde,params/verbose,params/gae_lambda,params/policy_kwargs,mean_reward,params/policy,params/learning_rate,params/batch_size,params/max_grad_norm,params/rollout_buffer_kwargs,time/time_elapsed,params/normalize_advantage,params/ent_coef,params/vf_coef,params/device,params/seed,rollout/ep_rew_mean,rollout/ep_len_mean,params/stats_window_size,time/fps,params/_init_setup_model,params/n_epochs,params/n_steps,params/sde_sample_freq,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
,,11,,8250,,,,,,-0.9076546,,,,,,525,,,,,,-0.88069345,15.0,,15,,,,,0.2,-1.701940393447876,-0.03443776071071625,-0.13103723526000977,0.008759674,0.06395002615948518,300,9.98125e-05,0.03475555504361789,-0.005486973502756628,,
,,12,,9000,,,,,,-0.85373235,,,,,,572,,,,,,-0.8322407599999999,15.0,,15,,,,,0.2,-1.7096130132675171,-0.016058094799518585,-0.0599743127822876,0.0081727225,0.11778794328371683,330,9.979375e-05,0.06448888893549641,-0.009239416242768576,,
,,13,,9750,,,,,,-0.8107491,,,,,,619,,,,,,-0.84230502,15.0,,15,,,,,0.2,-1.669974652926127,-0.020362991839647293,0.08024650812149048,0.01398619,0.11120303322871526,360,9.9775e-05,0.06782222184507797,-0.010874984676590087,,
,,,,10000,,,,,,-0.87386096,,,,,,,,,,,,,,,,,,,,0.2,-1.6423876285552979,-0.02729688584804535,-0.35247182846069336,0.009454037,0.09697974721590678,390,9.975625e-05,0.04733333381203313,-0.008986244723160697,-1.0,15.0
,,14,,10500,,,,,,,,,,,,671,,,,,,-0.8900554599999999,15.05,,15,,,,,,,,,,,,,,,,
,,15,,11250,,,,,,-0.90625,,,,,,717,,,,,,-0.9060819899999999,15.05,,15,,,,,0.2,-1.638916830221812,-0.04539978504180908,-0.006042957305908203,0.011284421,0.06418667348722616,420,9.97375e-05,0.12715555485337973,-0.014370741418298956,,
,,16,,12000,,,,,,-0.905914,,,,,,764,,,,,,-0.8894495600000001,15.0,,15,,,,,0.2,-1.6437450965245566,-0.03635682538151741,-0.13854515552520752,0.0073954468,0.06764828984936079,450,9.971875000000001e-05,0.06035555526614189,-0.009013885981933622,,
,,17,,12750,,,,,,-0.8729851,,,,,,812,,,,,,-0.83188395,15.0,,15,,,,,0.2,-1.6271315415700276,-0.029077932238578796,-0.07149088382720947,0.009644102,0.08806168114145597,480,9.970000000000001e-05,0.04351111078479638,-0.011191130059057237,,
,,18,,13500,,,,,,-0.79078275,,,,,,860,,,,,,-0.71727571,15.0,,15,,,,,0.2,-1.5960280736287435,0.0016701892018318176,0.008429527282714844,0.009451229,0.1558336243033409,510,9.968125e-05,0.05106666726060212,-0.01200067942174566,,
,,19,,14250,,,,,,-0.6437686,,,,,,908,,,,,,-0.74395049,15.0,,15,,,,,0.2,-1.607793140411377,0.0398038774728775,-0.08038771152496338,0.0065546883,0.25334030638138455,540,9.96625e-05,0.06582222171127797,-0.013671600367615196,,
,,,,15000,,,,,,-0.8136085,,,,,,,,,,,,,,,,,,,,0.2,-1.5715488990147908,-0.031043097376823425,0.0009303092956542969,0.012817629,0.10189823930462201,570,9.964374999999999e-05,0.1415999997096757,-0.016168008172271455,-1.0,15.0
,,20,,15000,,,,,,,,,,,,962,,,,,,-0.7710268499999999,15.0,,15,,,,,,,,,,,,,,,,
,,21,,15750,,,,,,-0.7284453,,,,,,1011,,,,,,-0.7296619599999999,15.05,,15,,,,,0.2,-1.566856288909912,0.01565929502248764,-0.0797187089920044,0.0067830174,0.20040696809689204,600,9.962500000000001e-05,0.048844444169662896,-0.014485273074420787,,
,,22,,16500,,,,,,-0.7614026,,,,,,1058,,,,,,-0.74598996,15.05,,15,,,,,0.2,-1.5907661676406861,-0.006210997700691223,-0.09673535823822021,0.010388809,0.1714684267838796,630,9.960625e-05,0.0974666669499129,-0.018032109580095844,,
,,23,,17250,,,,,,-0.6993055,,,,,,1106,,,,,,-0.70834197,15.0,,15,,,,,0.2,-1.5738564173380534,0.00917881727218628,-0.06382286548614502,0.0066743013,0.18897494773070017,660,9.95875e-05,0.07848888849063466,-0.0162592084552679,,
,,24,,18000,,,,,,-0.6859417,,,,,,1155,,,,,,-0.67753868,15.0,,15,,,,,0.2,-1.5291229406992595,-0.0012798979878425598,0.0009111762046813965,0.00857912,0.17277479370435078,690,9.956875e-05,0.08146666707471013,-0.016559801613153995,,
