gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,14,11,152,8.9,13.8,1,0,17.5,0.7,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Pharaoh Brown,SEA
17,14,10,119,7.0,11.9,1,0,17.0,0.7,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Armani Rogers,WAS
17,12,8,127,7.5,15.9,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ross Dwelley,ATL
17,15,11,122,7.2,11.1,1,0,16.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Foster Moreau,NO
17,16,12,124,7.3,10.3,1,0,17.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,James Mitchell,DET
17,13,10,121,7.1,12.1,1,0,16.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Brayden Willis,SF
17,16,12,125,7.4,10.4,1,0,17.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Trey Knox,MIN
17,13,10,121,7.1,12.1,1,0,16.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Cameron Latu,SF
17,15,10,119,7.0,11.9,1,0,16.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Cole Turner,WAS
17,14,11,120,7.1,10.9,1,0,16.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Cade Stover,HOU
17,17,13,129,7.6,9.9,1,0,17.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Izaiah Gathings,C
17,17,12,120,7.1,10.0,1,0,17.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Robert Tonyan,MIN
