gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,16,12,113,6.6,9.4,1,0,16.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tanner Hudson,CIN
17,13,10,91,5.4,9.1,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jaheim Bell,NE
17,16,11,110,6.5,10.0,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jordan Akins,CLE
17,14,11,108,6.4,9.8,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,AJ Barner,SEA
17,11,9,103,6.1,11.4,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Charlie Kolar,BAL
17,10,8,79,4.6,9.9,1,0,13.0,0.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Brady Russell,SEA
17,12,10,84,4.9,8.4,1,0,14.0,0.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Marcedes Lewis,CHI
17,12,8,71,4.2,8.9,1,0,13.0,0.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Harrison Bryant,LV
17,12,9,79,4.6,8.8,1,0,13.5,0.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Nate Adkins,DEN
17,14,11,104,6.1,9.5,1,1,13.5,0.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Julian Hill,MIA
17,13,7,59,3.5,8.4,1,0,11.5,0.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Luke Schoonmaker,DAL
13,12,8,82,6.3,10.3,1,0,11.0,0.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Albert Okwuegbunam,PHI
17,6,3,25,1.5,8.3,1,0,8.5,0.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ko Kieft,TB
