time/time_elapsed,params/n_epochs,params/normalize_advantage,params/use_sde,time/total_timesteps,rollout/ep_rew_mean,params/gamma,params/ent_coef,params/stats_window_size,time/iterations,params/n_steps,params/clip_range_vf,params/policy_kwargs,params/_init_setup_model,params/rollout_buffer_kwargs,params/batch_size,params/clip_range,params/verbose,params/max_grad_norm,params/target_kl,time/fps,params/gae_lambda,params/learning_rate,params/rollout_buffer_class,params/sde_sample_freq,params/vf_coef,params/policy,params/device,rollout/ep_len_mean,params/seed,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,mean_reward,eval/mean_ep_length,eval/mean_reward
96,,,,1350,-0.42997470000000004,,,,45,,,,,,,,,,,13,,,,,,,,15.0,,-1.709774136543274,0.0008514265,0.0001,0.0,-0.008874604728383417,-0.021673791110515594,440,0.369809091091156,0.2,0.11060056164860725,,,
99,,,,1380,-0.4202310108695652,,,,46,,,,,,,,,,,13,,,,,,,,15.0,,-1.7161963701248169,0.0013677875,0.0001,0.0,-0.011583852327118293,0.04940775781869888,450,-0.018347501754760742,0.2,0.25166803896427153,,,
101,,,,1410,-0.42541152127659576,,,,47,,,,,,,,,,,13,,,,,,,,15.0,,-1.7185534119606019,0.00071455835,0.0001,0.0,-0.0027915863277545583,0.07601336389780045,460,-0.14418292045593262,0.2,0.2635953888297081,,,
103,,,,1440,-0.41590347916666665,,,,48,,,,,,,,,,,13,,,,,,,,15.0,,-1.7110573530197144,0.0015350262,0.0001,0.0,-0.006443309821964593,-0.01704244315624237,470,0.23854613304138184,0.2,0.1610012359917164,,,
105,,,,1470,-0.4213558571428571,,,,49,,,,,,,,,,,13,,,,,,,,15.0,,-1.703444743156433,0.003594021,0.0001,0.0,-0.013300634911283993,0.017080452293157578,480,0.49808210134506226,0.2,0.18780525773763657,,,
107,,,,1500,-0.42679779,,,,50,,,,,,,,,,,13,,,,,,,,15.0,,-1.6841461420059205,0.00043360592,0.0001,0.0,0.004622936709783953,0.010577907785773277,490,-0.11952626705169678,0.2,0.15837457552552223,,,
109,,,,1530,-0.4545644,,,,51,,,,,,,,,,,13,,,,,,,,15.0,,-1.6806106328964234,0.0013748705,0.0001,0.0,-0.010187566454987973,-0.04842270910739899,500,0.7079178690910339,0.2,0.021862098854035138,,,
111,,,,1560,-0.44081814999999996,,,,52,,,,,,,,,,,13,,,,,,,,15.0,,-1.6754889488220215,0.0012929538,0.0001,0.0,-0.0039538501159889885,-0.040171265602111816,510,-0.13068747520446777,0.2,0.016368311643600465,,,
113,,,,1590,-0.42660850000000006,,,,53,,,,,,,,,,,14,,,,,,,,15.0,,-1.6953460097312927,0.001986897,0.0001,0.0,-0.009358573612601973,0.09690503776073456,520,-0.3444098234176636,0.2,0.4367724061012268,,,
115,,,,1620,-0.42742904000000004,,,,54,,,,,,,,,,,14,,,,,,,,15.0,,-1.7118667364120483,0.0014927705,0.0001,0.0,-0.0034774408824645776,0.05625380203127861,530,0.15004783868789673,0.2,0.23197773694992066,,,
117,,,,1650,-0.39913956,,,,55,,,,,,,,,,,14,,,,,,,,15.0,,-1.7163915038108826,0.0007360796,0.0001,0.0,-0.003809614845862086,0.054250430315732956,540,-0.07743406295776367,0.2,0.3189155951142311,,,
119,,,,1680,-0.3859531199999999,,,,56,,,,,,,,,,,14,,,,,,,,15.0,,-1.7092816591262818,0.0007075687,0.0001,0.0,-0.007325672802980421,0.08590082824230194,550,-16.88832664489746,0.2,0.35355355143547057,,,
121,,,,1710,-0.37234744,,,,57,,,,,,,,,,,14,,,,,,,,15.0,,-1.7044750452041626,0.0022456448,0.0001,0.0,-0.009994426226864217,0.0395023338496685,560,-0.16712558269500732,0.2,0.22749730497598647,,,
123,,,,1740,-0.37231764,,,,58,,,,,,,,,,,14,,,,,,,,15.0,,-1.7044750571250915,0.0052876454,0.0001,0.020000000298023225,-0.022215013988316025,0.05087330937385559,570,-0.09639298915863037,0.2,0.2755007743835449,,,
126,,,,1770,-0.37364492,,,,59,,,,,,,,,,,14,,,,,,,,15.0,,-1.6997837781906129,0.00083130796,0.0001,0.0,-0.002554467280473105,0.05013267695903778,580,0.19607830047607422,0.2,0.2239099308848381,,,
128,,,,1800,-0.37321318,,,,60,,,,,,,,,,,14,,,,,,,,15.0,,-1.7004230499267579,0.0008620838,0.0001,0.0,-0.0017709208581550228,-0.011577624827623367,590,0.7134954631328583,0.2,0.1868822418153286,,,
130,,,,1830,-0.3720528899999999,,,,61,,,,,,,,,,,14,,,,,,,,15.0,,-1.6900691866874695,0.0033536872,0.0001,0.0,-0.015579614499583982,-0.05258464068174362,600,0.44714242219924927,0.2,0.029417335242033004,,,
132,,,,1860,-0.37122525999999995,,,,62,,,,,,,,,,,14,,,,,,,,15.0,,-1.6828388690948486,0.0034543017,0.0001,0.0,-0.008177771114084641,-0.05261432006955147,610,-0.537945032119751,0.2,0.012688795104622841,,,
134,,,,1890,-0.35720805000000005,,,,63,,,,,,,,,,,14,,,,,,,,15.0,,-1.6888339281082154,0.0010226805,0.0001,0.0,-0.0012380413293914927,0.11429118365049362,620,-0.2546037435531616,0.2,0.42392935454845426,,,
136,,,,1920,-0.3729820100000001,,,,64,,,,,,,,,,,14,,,,,,,,15.0,,-1.6914283514022828,0.0021419306,0.0001,0.0,-0.011244203074214454,0.04772762954235077,630,0.08071953058242798,0.2,0.254818257689476,,,
138,,,,1950,-0.38744701,,,,65,,,,,,,,,,,14,,,,,,,,15.0,,-1.6789389371871948,0.0022996406,0.0001,0.0,-0.0007743823704366548,0.048651814460754395,640,-0.16432714462280273,0.2,0.27098965346813203,,,
140,,,,1980,-0.37225649000000005,,,,66,,,,,,,,,,,14,,,,,,,,15.0,,-1.6708023428916932,0.00038297375,0.0001,0.0,-0.0017718444459987382,-0.031184231862425804,650,0.2364259958267212,0.2,0.0709097633138299,,,
142,,,,2010,-0.34416426,,,,67,,,,,,,,,,,14,,,,,,,,15.0,,-1.6843037605285645,0.0013581276,0.0001,0.0,-0.0031977289992664026,0.09200886636972427,660,0.23925602436065674,0.2,0.32994346022605897,-0.024821835,,
145,,,,2040,-0.32997693999999994,,,,68,,,,,,,,,,,14,,,,,,,,15.0,,-1.6942211866378785,0.0006378174,0.0001,0.0,-0.00240974136746388,0.03051602840423584,670,-3.129584789276123,0.2,0.40443571358919145,,,
147,,,,2070,-0.32976296,,,,69,,,,,,,,,,,14,,,,,,,,15.0,,-1.6990961909294129,0.004126658,0.0001,0.0,-0.016965873716399037,0.02713654190301895,680,0.2563033103942871,0.2,0.20801638811826706,,,
149,,,,2100,-0.32985963999999995,,,,70,,,,,,,,,,,14,,,,,,,,15.0,,-1.715286874771118,0.0034635006,0.0001,0.0,-0.007197978929616511,-0.005772698670625687,690,0.445870578289032,0.2,0.24777686074376107,,,
151,,,,2130,-0.31509268,,,,71,,,,,,,,,,,14,,,,,,,,15.0,,-1.7142189264297485,0.0010682802,0.0001,0.0,-0.007961739451081229,-0.04939982295036316,700,0.5831671953201294,0.2,0.0591818985529244,,,
153,,,,2160,-0.31661661,,,,72,,,,,,,,,,,14,,,,,,,,15.0,,-1.7084161639213562,0.00090481044,0.0001,0.0,-0.00021217266747655116,0.1841251403093338,710,-0.6096631288528442,0.2,0.5234791696071625,,,
155,,,,2190,-0.31731105000000004,,,,73,,,,,,,,,,,14,,,,,,,,15.0,,-1.6908186316490172,0.00019766291,0.0001,0.0,-0.0015019374708934662,0.08188439160585403,720,-0.03509521484375,0.2,0.3209507822990417,,,
157,,,,2220,-0.28969027,,,,74,,,,,,,,,,,14,,,,,,,,15.0,,-1.6836013674736023,0.002670451,0.0001,0.0,-0.01169930327838884,0.01511218398809433,730,0.5241819322109222,0.2,0.2061324417591095,,,
159,,,,2250,-0.3021782,,,,75,,,,,,,,,,,14,,,,,,,,15.0,,-1.6599884510040284,0.0017603239,0.0001,0.0,-0.005749788865603023,0.10362014174461365,740,-1.9733304977416992,0.2,0.40058974325656893,,,
161,,,,2280,-0.30120772,,,,76,,,,,,,,,,,14,,,,,,,,15.0,,-1.647123682498932,0.0017053207,0.0001,0.0,-0.012800855934619904,0.03732597455382347,750,-0.028463363647460938,0.2,0.25299894213676455,,,
163,,,,2310,-0.30046943000000004,,,,77,,,,,,,,,,,14,,,,,,,,15.0,,-1.6173393964767455,0.005831311,0.0001,0.013333334028720856,-0.017260232002784724,0.0628025084733963,760,-0.2087498903274536,0.2,0.2851219534873962,,,
165,,,,2340,-0.31367335,,,,78,,,,,,,,,,,14,,,,,,,,15.0,,-1.5990599155426026,0.0009634773,0.0001,0.0,0.002562180936025982,0.024232609197497368,770,0.46431565284729004,0.2,0.17307763993740083,,,
167,,,,2370,-0.32743188,,,,79,,,,,,,,,,,14,,,,,,,,15.0,,-1.5958752632141113,0.00052450696,0.0001,0.0,-0.0032960915257474353,0.10859319567680359,780,-0.16800999641418457,0.2,0.3298377186059952,,,
169,,,,2400,-0.35510768000000004,,,,80,,,,,,,,,,,14,,,,,,,,15.0,,-1.5860686898231506,0.00070023735,0.0001,0.0,-0.004909585465988187,-0.012886006385087967,790,0.6939089596271515,0.2,0.10433258041739464,,,
172,,,,2430,-0.36865289000000007,,,,81,,,,,,,,,,,14,,,,,,,,15.0,,-1.5811003208160401,0.0025124252,0.0001,0.0,-0.009669337986657922,-0.047062452882528305,800,0.4872565269470215,0.2,0.03464397313073277,,,
174,,,,2460,-0.35526270000000004,,,,82,,,,,,,,,,,14,,,,,,,,15.0,,-1.5442572593688966,0.008463029,0.0001,0.006666667014360428,-0.02444588473377145,-0.0798102617263794,810,0.637394517660141,0.2,0.007771665463224053,,,
176,,,,2490,-0.35571517,,,,83,,,,,,,,,,,14,,,,,,,,15.0,,-1.523987317085266,0.0042002,0.0001,0.0,-0.011487932694144476,0.12636685371398926,820,-0.12468516826629639,0.2,0.4813651591539383,,,
178,,,,2520,-0.35721142000000006,,,,84,,,,,,,,,,,14,,,,,,,,15.0,,-1.50219224691391,0.0016847689,0.0001,0.0,-0.006226665360542683,-0.03346269577741623,830,0.6891561150550842,0.2,0.03467843849211931,,,
180,,,,2550,-0.34267235999999995,,,,85,,,,,,,,,,,14,,,,,,,,15.0,,-1.478112769126892,0.0025218746,0.0001,0.0,-0.006691854840804368,-0.04502169415354729,840,0.5683646202087402,0.2,0.01553872236981988,,,
182,,,,2580,-0.34403409999999995,,,,86,,,,,,,,,,,14,,,,,,,,15.0,,-1.4319377303123475,0.003224794,0.0001,0.0,-0.007630433632682098,0.0893135815858841,850,0.28502947092056274,0.2,0.36196595430374146,,,
184,,,,2610,-0.34507597999999995,,,,87,,,,,,,,,,,14,,,,,,,,15.0,,-1.4102563977241516,0.00047900874,0.0001,0.0,-0.002429526879956656,-0.01944086328148842,860,0.6753677725791931,0.2,0.05259091667830944,,,
186,,,,2640,-0.35931808999999987,,,,88,,,,,,,,,,,14,,,,,,,,15.0,,-1.447332775592804,0.00091521937,0.0001,0.0,-0.004268010451148285,-0.0388946533203125,870,0.8034438639879227,0.2,0.007784486282616854,,,
188,,,,2670,-0.35932037,,,,89,,,,,,,,,,,14,,,,,,,,15.0,,-1.4172598600387574,0.0020563304,0.0001,0.0,-0.013414097276205794,-0.056971900165081024,880,0.6910926699638367,0.2,0.003534392570145428,,,
190,,,,2700,-0.34517559000000003,,,,90,,,,,,,,,,,14,,,,,,,,15.0,,-1.402419888973236,0.008848105,0.0001,0.01666666716337204,-0.027576503042752564,-0.08424317091703415,890,0.7502356022596359,0.2,0.0036858653882518412,,,
192,,,,2730,-0.35886134,,,,91,,,,,,,,,,,14,,,,,,,,15.0,,-1.4055716872215271,0.0015064061,0.0001,0.0,0.0019280722778058034,0.15470580756664276,900,-0.22486376762390137,0.2,0.46379597783088683,,,
194,,,,2760,-0.35987991999999996,,,,92,,,,,,,,,,,14,,,,,,,,15.0,,-1.4257545948028565,0.00095607043,0.0001,0.0,-0.004850871022402714,-0.017255540937185287,910,0.7729195952415466,0.2,0.06488109901547431,,,
196,,,,2790,-0.37482262999999993,,,,93,,,,,,,,,,,14,,,,,,,,15.0,,-1.4543645977973938,0.0020368774,0.0001,0.0,-0.007584725194998754,-0.04473342373967171,920,0.7241529822349548,0.2,0.012552764685824513,,,
198,,,,2820,-0.37501539,,,,94,,,,,,,,,,,14,,,,,,,,15.0,,-1.465346622467041,0.0015895288,0.0001,0.0,-0.009354334804423558,-0.05402446165680885,930,0.707455575466156,0.2,0.004825076786801219,,,
201,,,,2850,-0.3890348599999999,,,,95,,,,,,,,,,,14,,,,,,,,15.0,,-1.4393465399742127,0.008969593,0.0001,0.013333334028720856,-0.02262306508918601,-0.07709784805774689,940,0.45570939779281616,0.2,0.004546721139922738,,,
203,,,,2880,-0.40461197,,,,96,,,,,,,,,,,14,,,,,,,,15.0,,-1.4224882483482362,0.0026495734,0.0001,0.0,-0.00440945550944889,-0.04340135306119919,950,0.465928852558136,0.2,0.006369993556290865,,,
205,,,,2910,-0.40561428,,,,97,,,,,,,,,,,14,,,,,,,,15.0,,-1.3745012402534484,0.0046409667,0.0001,0.003333333507180214,-0.01893380075227462,-0.06690879166126251,960,0.6440670788288116,0.2,0.004607631708495319,,,
207,,,,2940,-0.42184369000000005,,,,98,,,,,,,,,,,14,,,,,,,,15.0,,-1.3529832363128662,0.004355391,0.0001,0.0,-0.005634532815359705,-0.05014142021536827,970,0.863886296749115,0.2,0.0025561712216585876,,,
209,,,,2970,-0.42313175000000003,,,,99,,,,,,,,,,,14,,,,,,,,15.0,,-1.4152194619178773,0.01530365,0.0001,0.05000000149011612,-0.031435427373896374,-0.09400944411754608,980,0.6919768452644348,0.2,0.003765231161378324,,,
211,,,,3000,-0.42324743000000015,,,,100,,,,,,,,,,,14,,,,,,,,15.0,,-1.4439974890814886,0.017889079,0.0001,0.09629629800717036,-0.020304162645091592,-0.0650666132569313,989,0.8009990751743317,0.2,0.0029215692904674346,-0.033661567,,
213,,,,3030,-0.4102167,,,,101,,,,,,,,,,,14,,,,,,,,15.0,,-1.4550798535346985,0.008949405,0.0001,0.013333334028720856,-0.015370000974896136,-0.062291380017995834,999,0.7571623623371124,0.2,0.0038755695801228284,,,
215,,,,3060,-0.42373133999999996,,,,102,,,,,,,,,,,14,,,,,,,,15.0,,-1.4707417011260986,0.0028920968,0.0001,0.0,-0.00926443097181604,0.09785109013319016,1009,-0.16452574729919434,0.2,0.40352960526943205,,,
217,,,,3090,-0.43687591,,,,103,,,,,,,,,,,14,,,,,,,,15.0,,-1.5073001742362977,0.0037809908,0.0001,0.0,-0.011728427973575605,-0.030569331720471382,1019,0.7333126366138458,0.2,0.06676112525165082,,,
219,,,,3120,-0.43624517999999995,,,,104,,,,,,,,,,,14,,,,,,,,15.0,,-1.5413490533828735,0.0014844318,0.0001,0.0,-0.0029338537300461097,-0.040155474096536636,1029,0.8458247482776642,0.2,0.01489046523347497,,,
221,,,,3150,-0.46372074999999996,,,,105,,,,,,,,,,,14,,,,,,,,15.0,,-1.5472074389457702,0.011809423,0.0001,0.04000000059604645,-0.025544181689619982,-0.08073437213897705,1039,0.5549430847167969,0.2,0.007051391527056694,,,
223,,,,3180,-0.47760839,,,,106,,,,,,,,,,,14,,,,,,,,15.0,,-1.5652290105819702,0.005061962,0.0001,0.0,-0.015172504282866938,-0.06307115405797958,1049,0.7448297142982483,0.2,0.005031278822571039,,,
226,,,,3210,-0.4913323899999999,,,,107,,,,,,,,,,,14,,,,,,,,15.0,,-1.5460681200027466,0.0022313218,0.0001,0.0,-0.003984347460706772,-0.043099481612443924,1059,0.8019796460866928,0.2,0.007512681582011282,,,
228,,,,3240,-0.50531475,,,,108,,,,,,,,,,,14,,,,,,,,15.0,,-1.5415589570999146,0.008995565,0.0001,0.030000000819563867,-0.025796456973379022,-0.08353643119335175,1069,0.8067494481801987,0.2,0.0038160634459927676,,,
