params/learning_starts,params/stats_window_size,params/gamma,params/target_update_interval,params/exploration_initial_eps,time/episodes,time/time_elapsed,rollout/ep_len_mean,params/verbose,time/fps,params/exploration_final_eps,params/gradient_steps,params/batch_size,params/train_freq,rollout/ep_rew_mean,time/total_timesteps,params/policy,params/buffer_size,params/tau,params/policy_kwargs,params/exploration_fraction,params/learning_rate,rollout/exploration_rate,params/max_grad_norm,train/loss,train/learning_rate,mean_reward,train/n_updates,eval/mean_reward,eval/mean_ep_length
,,,,,260,270,15.0,,14,,,,,-0.3968042200000001,3900,,,,,,,0.9258999999999997,,0.002518900204449892,0.0003,,724,,
,,,,,264,275,15.0,,14,,,,,-0.39731635000000004,3960,,,,,,,0.9247599999999997,,0.007792131509631872,0.0003,,739,,
,,,,,268,279,15.0,,14,,,,,-0.41226035999999994,4020,,,,,,,0.9236199999999996,,0.004648508038371801,0.0003,-0.027045583,754,,
,,,,,272,284,15.0,,14,,,,,-0.39711079,4080,,,,,,,0.9224800000000005,,0.012688909657299519,0.0003,,769,,
,,,,,276,288,15.0,,14,,,,,-0.41010606000000005,4140,,,,,,,0.9213400000000005,,0.011797402054071426,0.0003,,784,,
,,,,,280,292,15.0,,14,,,,,-0.40849836000000006,4200,,,,,,,0.9202000000000004,,0.003134386381134391,0.0003,,799,,
,,,,,284,296,15.0,,14,,,,,-0.39516637000000004,4260,,,,,,,0.9190600000000003,,0.00531904399394989,0.0003,,814,,
,,,,,288,300,15.0,,14,,,,,-0.37932038,4320,,,,,,,0.9179200000000002,,0.015618417412042618,0.0003,,829,,
,,,,,292,305,15.0,,14,,,,,-0.38025723000000006,4380,,,,,,,0.9167800000000002,,0.0038964678533375263,0.0003,,844,,
,,,,,296,309,15.0,,14,,,,,-0.3514216300000001,4440,,,,,,,0.91564,,0.009384904988110065,0.0003,,859,,
,,,,,300,313,15.0,,14,,,,,-0.36437606999999994,4500,,,,,,,0.9145,,0.009183723479509354,0.0003,,874,,
,,,,,304,317,15.0,,14,,,,,-0.34835854,4560,,,,,,,0.9133599999999998,,0.003592889988794923,0.0003,,889,,
,,,,,308,322,15.0,,14,,,,,-0.37631668999999995,4620,,,,,,,0.9122199999999998,,0.01053532399237156,0.0003,,904,,
,,,,,312,326,15.0,,14,,,,,-0.36149584999999995,4680,,,,,,,0.9110799999999997,,0.0020326864905655384,0.0003,,919,,
,,,,,316,330,15.0,,14,,,,,-0.37467403,4740,,,,,,,0.9099399999999995,,0.006204276345670223,0.0003,,934,,
,,,,,320,334,15.0,,14,,,,,-0.36028625,4800,,,,,,,0.9087999999999995,,0.011814451776444912,0.0003,,949,,
,,,,,324,338,15.0,,14,,,,,-0.35837852999999986,4860,,,,,,,0.9076600000000005,,0.013648931868374348,0.0003,,964,,
,,,,,328,342,15.0,,14,,,,,-0.34480183000000003,4920,,,,,,,0.9065200000000004,,0.004469618666917086,0.0003,,979,,
,,,,,332,346,15.0,,14,,,,,-0.3322077300000001,4980,,,,,,,0.9053800000000003,,0.014826320111751556,0.0003,,994,,
,,,,,,,,,,,,,,,5000,,,,,,,0.9050190000000005,,0.012990862131118774,0.0003,,999,-0.8060373667627573,15.0
,,,,,336,356,15.05,,14,,,,,-0.3591848600000001,5045,,,,,,,0.9041449999999996,,0.0176913570612669,0.0003,-0.020423036,1011,,
,,,,,340,360,15.05,,14,,,,,-0.3441868,5105,,,,,,,0.9030049999999995,,0.0065943533554673195,0.0003,,1026,,
,,,,,344,364,15.05,,14,,,,,-0.35790388000000006,5165,,,,,,,0.9018650000000005,,0.008825539611279964,0.0003,,1041,,
,,,,,348,368,15.05,,14,,,,,-0.37194376000000007,5225,,,,,,,0.9007250000000004,,0.012315373867750168,0.0003,,1056,,
,,,,,352,372,15.05,,14,,,,,-0.34204706,5285,,,,,,,0.8995850000000003,,0.004510428290814161,0.0003,,1071,,
,,,,,356,376,15.05,,14,,,,,-0.31311410000000006,5345,,,,,,,0.8984450000000002,,0.0070846909657120705,0.0003,,1086,,
,,,,,360,380,15.05,,14,,,,,-0.31077186000000007,5405,,,,,,,0.8973050000000001,,0.016564227640628815,0.0003,,1101,,
,,,,,364,384,15.05,,14,,,,,-0.3115243000000001,5465,,,,,,,0.8961650000000001,,0.01271941140294075,0.0003,,1116,,
,,,,,368,388,15.05,,14,,,,,-0.29660217,5525,,,,,,,0.895025,,0.013653092086315155,0.0003,,1131,,
,,,,,372,392,15.05,,14,,,,,-0.29854976,5585,,,,,,,0.8938849999999999,,0.010112087242305279,0.0003,,1146,,
,,,,,376,396,15.05,,14,,,,,-0.28529117000000004,5645,,,,,,,0.8927449999999998,,0.012054694816470146,0.0003,,1161,,
,,,,,380,400,15.05,,14,,,,,-0.28565975,5705,,,,,,,0.8916049999999998,,0.011461671441793442,0.0003,,1176,,
,,,,,384,404,15.05,,14,,,,,-0.29827472,5765,,,,,,,0.8904649999999996,,0.012533316388726234,0.0003,,1191,,
,,,,,388,408,15.05,,14,,,,,-0.31448768,5825,,,,,,,0.8893249999999996,,0.009989682585000992,0.0003,,1206,,
,,,,,392,413,15.05,,14,,,,,-0.29867421000000005,5885,,,,,,,0.8881850000000006,,0.003796075936406851,0.0003,,1221,,
,,,,,396,417,15.05,,14,,,,,-0.3281981400000001,5945,,,,,,,0.8870450000000004,,0.00487168412655592,0.0003,,1236,,
,,,,,400,421,15.05,,14,,,,,-0.31361191,6005,,,,,,,0.8859050000000004,,0.014634286053478718,0.0003,-0.019330177,1251,,
,,,,,404,425,15.05,,14,,,,,-0.31600532,6065,,,,,,,0.8847650000000002,,0.018746206536889076,0.0003,,1266,,
,,,,,408,430,15.05,,14,,,,,-0.28590478,6125,,,,,,,0.8836250000000002,,0.008178924210369587,0.0003,,1281,,
,,,,,412,434,15.05,,14,,,,,-0.28575023,6185,,,,,,,0.8824850000000001,,0.011967112310230732,0.0003,,1296,,
,,,,,416,438,15.05,,14,,,,,-0.2850431199999999,6245,,,,,,,0.881345,,0.01131316740065813,0.0003,,1311,,
,,,,,420,443,15.05,,14,,,,,-0.28533931,6305,,,,,,,0.8802049999999999,,0.007363854441791773,0.0003,,1326,,
,,,,,424,447,15.05,,14,,,,,-0.27247367,6365,,,,,,,0.8790649999999999,,0.010549184866249561,0.0003,,1341,,
,,,,,428,451,15.05,,14,,,,,-0.28544787000000005,6425,,,,,,,0.8779249999999997,,0.010070848278701305,0.0003,,1356,,
,,,,,432,455,15.05,,14,,,,,-0.29898431,6485,,,,,,,0.8767849999999997,,0.016543369740247726,0.0003,,1371,,
,,,,,436,460,15.0,,14,,,,,-0.28680842,6545,,,,,,,0.8756449999999996,,0.005091829225420952,0.0003,,1386,,
,,,,,440,464,15.0,,14,,,,,-0.28779698,6605,,,,,,,0.8745050000000005,,0.011528275907039642,0.0003,,1401,,
,,,,,444,468,15.0,,14,,,,,-0.26078101,6665,,,,,,,0.8733650000000005,,0.010432466864585876,0.0003,,1416,,
,,,,,448,472,15.0,,14,,,,,-0.23351084,6725,,,,,,,0.8722250000000004,,0.007537252269685268,0.0003,,1431,,
,,,,,452,476,15.0,,14,,,,,-0.29162895999999994,6785,,,,,,,0.8710850000000003,,0.01946139708161354,0.0003,,1446,,
,,,,,456,480,15.0,,14,,,,,-0.32084773,6845,,,,,,,0.8699450000000002,,0.010918714106082916,0.0003,,1461,,
,,,,,460,485,15.0,,14,,,,,-0.29387394,6905,,,,,,,0.8688050000000002,,0.019170613959431648,0.0003,,1476,,
,,,,,464,489,15.0,,14,,,,,-0.29331906,6965,,,,,,,0.867665,,0.0027367668226361275,0.0003,,1491,,
,,,,,468,493,15.0,,14,,,,,-0.29209209999999997,7025,,,,,,,0.866525,,0.00705981208011508,0.0003,-0.020615436,1506,,
,,,,,472,498,15.0,,14,,,,,-0.26340204000000006,7085,,,,,,,0.8653849999999998,,0.00785927101969719,0.0003,,1521,,
