player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Rome Odunze,CHI,WR,80.3,36.6,674.0,0.0,51.0,0.0,0.1,90.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Xavier Legette,CAR,WR,75.1,49.4,571.0,0.8,9.0,0.0,0.0,87.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Trenton Irwin,CIN,WR,69.4,41.8,522.0,2.3,1.0,0.0,0.0,86.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Nelson Agholor,BAL,WR,62.7,40.4,503.0,2.6,2.0,0.0,0.0,86.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Elijah Moore,CLE,WR,96.6,50.8,558.0,0.9,29.0,0.0,1.6,86.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Rashod Bateman,BAL,WR,71.6,41.0,490.0,2.6,11.0,0.0,0.0,86.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Tyler Boyd,TEN,WR,78.4,49.9,514.0,1.3,9.0,0.0,0.0,85.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Kalif Raymond,DET,WR,53.9,36.6,545.0,1.5,32.0,0.0,0.2,84.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Tutu Atwell,LAR,WR,67.1,34.7,413.0,2.7,33.0,0.8,0.0,84.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Donovan Peoples-Jones,DET,WR,53.0,34.1,522.0,1.2,20.0,0.6,0.4,81.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Trey Palmer,TBB,WR,84.7,44.7,432.0,2.4,24.0,0.0,0.8,80.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Alec Pierce,IND,WR,70.8,34.4,515.0,2.0,0.0,0.0,0.0,80.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Josh Reynolds,DEN,WR,62.2,35.9,485.0,2.3,5.0,0.0,0.7,79.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Greg Dortch,ARI,WR,82.4,42.5,423.0,1.7,53.0,0.0,0.0,78.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jalen Tolbert,DAL,WR,58.0,32.1,436.0,2.7,0.0,0.0,0.0,75.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Tre Tucker,LVR,WR,62.3,35.6,491.0,0.3,57.0,0.0,0.9,72.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Ladd McConkey,LAC,WR,63.3,36.0,365.0,2.1,49.0,0.0,0.0,71.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Noah Brown,HOU,WR,71.0,33.3,486.0,0.9,2.0,0.0,0.0,71.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
