player,team,pos,xp_made,xp_att,fg_made,fg_att,fg_1_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fg_miss,fpts,source,source_url
Anders Carlson,GBP,K,35.0,40.4,27.1,33.2,0.0,6.3,13.5,4.7,2.6,6.1,97.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Matt Prater,ARI,K,24.5,25.9,29.8,36.0,0.0,5.3,9.6,6.7,8.3,6.2,95.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Eddy Pineiro,CAR,K,21.9,25.0,28.1,32.3,0.0,5.5,9.3,9.3,4.0,4.2,93.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Joshua Karty,LAR,K,28.6,31.6,28.8,36.3,0.0,10.7,8.4,5.3,4.3,7.5,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Brandon McManus,FA,K,32.3,33.6,25.4,30.8,0.0,3.9,9.6,8.3,3.6,5.4,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Will Reichard,MIN,K,36.5,39.7,22.8,29.1,0.6,6.3,8.2,4.1,3.5,6.3,86.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Graham Gano,NYG,K,29.2,31.1,23.6,29.3,0.0,3.7,8.7,6.5,4.6,5.7,82.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Ramiz Ahmed,WAS,K,27.6,31.8,19.1,22.6,0.0,4.1,5.1,7.7,2.2,3.5,74.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Greg Joseph,GBP,K,27.1,28.5,19.0,24.1,0.0,4.8,7.8,3.0,3.4,5.1,68.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Riley Patterson,JAC,K,36.2,38.8,11.2,11.9,0.0,1.9,8.1,1.1,0.0,0.7,67.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Joey Slye,NEP,K,30.4,33.1,17.1,24.0,0.0,2.5,5.7,6.1,2.9,6.9,61.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Randy Bullock,NYG,K,21.2,21.2,10.1,11.8,0.0,1.0,4.2,3.3,1.6,1.7,46.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Chad Ryland,NEP,K,25.1,26.2,15.3,24.3,0.0,3.6,4.8,4.7,2.2,8.9,44.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Matthew Wright,PIT,K,0.5,0.5,2.0,2.0,0.0,0.0,0.5,1.5,0.0,0.0,6.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Tanner Brown,LAR,K,0.6,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,1.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
