params/verbose,params/batch_size,params/normalize_advantage,params/device,rollout/ep_len_mean,params/seed,time/iterations,time/fps,params/target_kl,params/gamma,params/n_epochs,params/_init_setup_model,params/max_grad_norm,params/rollout_buffer_kwargs,params/clip_range,params/rollout_buffer_class,rollout/ep_rew_mean,params/clip_range_vf,time/total_timesteps,time/time_elapsed,params/gae_lambda,params/vf_coef,params/policy_kwargs,params/stats_window_size,mean_reward,params/learning_rate,params/n_steps,params/ent_coef,params/policy,params/sde_sample_freq,params/use_sde,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,,,15.0,,62,15,,,,,,,,,0.15643076,,31744,2075,,,,,0.18501832,,,,,,,-0.042611122131347656,0.2,-1.4519945979118347,-0.016723987987885873,0.01542622596025467,0.056640625,0.23332086404164631,0.007659029,819,9.921920000000001e-05,,
,,,,15.0,,63,15,,,,,,,,,0.21864511999999997,,32256,2108,,,,,,,,,,,,0.05060279369354248,0.2,-1.4620674093564352,-0.01853004554286599,0.009616464376449585,0.11171875,0.1805221344033877,0.0060690003,834,9.920640000000001e-05,,
,,,,15.0,,64,15,,,,,,,,,0.24485109000000002,,32768,2142,,,,,0.22017348,,,,,,,0.020686089992523193,0.2,-1.458796759446462,-0.016725333997358878,0.044903166592121124,0.062890625,0.2631432046492895,0.008678942,849,9.919360000000001e-05,,
,,,,15.0,,65,15,,,,,,,,,0.28102318,,33280,2178,,,,,0.34127313,,,,,,,0.016346514225006104,0.2,-1.4373406608899435,-0.016647451696917413,0.03414510190486908,0.04440104166666667,0.2610617622733116,0.006122236,864,9.918080000000001e-05,,
,,,,15.0,,66,15,,,,,,,,,0.26374278000000007,,33792,2210,,,,,,,,,,,,-0.021215319633483887,0.2,-1.3963180820147196,-0.01986512286433329,0.03200424462556839,0.07760416666666667,0.22948868374029796,0.009395722,879,9.916800000000001e-05,,
,,,,15.0,,67,15,,,,,,,,,0.23848458000000006,,34304,2243,,,,,0.18621239,,,,,,,-0.10818183422088623,0.2,-1.4285751779874165,-0.013933966153611739,0.000603802502155304,0.06901041666666667,0.15598853354652722,0.006104809,894,9.915520000000001e-05,,
,,,,15.0,,68,15,,,,,,,,,0.3540030600000001,,34816,2275,,,,,0.3856012,,,,,,,-0.07753849029541016,0.2,-1.3797552426656088,-0.013912093437587222,0.016475602984428406,0.04700520833333333,0.23188182959953943,0.0044626547,909,9.914240000000001e-05,,
,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,,,0.01729130744934082,0.2,-1.3744574666023255,-0.02161439947473506,0.04075063765048981,0.0734375,0.30702220598856605,0.009251992,924,9.912960000000001e-05,0.0,15.0
,,,,15.05,,69,15,,,,,,,,,0.41911188999999993,,35328,2313,,,,,0.48406845,,,,,,,,,,,,,,,,,,
,,,,15.05,,70,15,,,,,,,,,0.44427478,,35840,2345,,,,,,,,,,,,-0.09375894069671631,0.2,-1.3622165640195212,-0.018539676225433746,0.040170252323150635,0.04791666666666667,0.2879590089122454,0.0047242185,939,9.91168e-05,,
,,,,15.05,,71,15,,,,,,,,,0.3926733,,36352,2377,,,,,0.35290423,,,,,,,0.06768155097961426,0.2,-1.3768466413021088,-0.005524441599845886,0.03879162296652794,0.07275390625,0.19695986807346344,0.014275324,943,9.9104e-05,,
,,,,15.0,,72,15,,,,,,,,,0.3809004,,36864,2409,,,,,0.37680012,,,,,,,-0.10837316513061523,0.2,-1.382173518339793,-0.007617303325484197,0.07990390062332153,0.099609375,0.26029010613759357,0.0144248195,946,9.90912e-05,,
,,,,15.0,,73,15,,,,,,,,,0.37605325,,37376,2441,,,,,,,,,,,,-0.07347941398620605,0.2,-1.3810588161150614,-0.019693803694099187,0.0357777401804924,0.09674479166666666,0.26941947837670643,0.009676114,961,9.90784e-05,,
,,,,15.0,,74,15,,,,,,,,,0.35608899,,37888,2473,,,,,0.28123143,,,,,,,0.011201441287994385,0.2,-1.3776362856229147,-0.019801013280327122,0.04978486895561218,0.06393229166666667,0.324890199303627,0.0071837595,976,9.90656e-05,,
,,,,15.0,,75,15,,,,,,,,,0.42861635,,38400,2505,,,,,0.5875509,,,,,,,-0.005844235420227051,0.2,-1.3883787075678506,-0.025037430583809812,0.04022602736949921,0.09088541666666666,0.34323304692904155,0.012185187,991,9.90528e-05,,
,,,,15.0,,76,15,,,,,,,,,0.48080302,,38912,2536,,,,,,,,,,,,-0.024514436721801758,0.2,-1.3793124715487162,-0.02021959605626762,0.027523741126060486,0.079296875,0.24019991606473923,0.00831072,1006,9.904e-05,,
,,,,15.0,,77,15,,,,,,,,,0.54285497,,39424,2568,,,,,0.49334058,,,,,,,-0.038141727447509766,0.2,-1.3917652805646261,-0.024186830036342144,0.07106642425060272,0.10794270833333333,0.38405594329039255,0.00938445,1021,9.90272e-05,,
,,,,15.0,,78,15,,,,,,,,,0.56223406,,39936,2601,,,,,0.5907915,,,,,,,0.12274360656738281,0.2,-1.3516465584437052,-0.023361435703312356,0.05284146964550018,0.06380208333333333,0.3485958486795425,0.008956401,1036,9.90144e-05,,
,,,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,-0.06279301643371582,0.2,-1.3798748850822449,-0.02033328404650092,0.06744194030761719,0.07513020833333334,0.3299348443746567,0.007289871,1051,9.90016e-05,1.6027162075042725,15.0
,,,,15.05,,79,15,,,,,,,,,0.59969711,,40448,2637,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.05,,80,15,,,,,,,,,0.6437387800000001,,40960,2669,,,,,0.6691203,,,,,,,0.07381975650787354,0.2,-1.3623612721761067,-0.02461142948207756,0.0799466073513031,0.06158854166666667,0.3505504031976064,0.008051319,1066,9.89888e-05,,
,,,,15.05,,81,15,,,,,,,,,0.7137985200000001,,41472,2701,,,,,0.6712712,,,,,,,-0.09736108779907227,0.2,-1.360250675678253,-0.02840830823406577,0.03746168315410614,0.14739583333333334,0.3397344996531804,0.011836192,1081,9.8976e-05,,
,,,,15.0,,82,15,,,,,,,,,0.7498698400000001,,41984,2733,,,,,,,,,,,,-0.006662607192993164,0.2,-1.3256315072377522,-0.021168537298217417,0.07067723572254181,0.09986979166666667,0.3609534670909246,0.007510629,1096,9.896320000000001e-05,,
,,,,15.0,,83,15,,,,,,,,,0.7802301500000002,,42496,2769,,,,,0.74430597,,,,,,,-0.09678876399993896,0.2,-1.3229148109753928,-0.025377253908663987,0.04503880441188812,0.08268229166666667,0.32391297519207,0.0093736,1111,9.895040000000001e-05,,
,,,,15.0,,84,15,,,,,,,,,0.75981796,,43008,2803,,,,,0.78340423,,,,,,,-0.047054171562194824,0.2,-1.3213498751322428,-0.025508442164088287,0.030244000256061554,0.11158854166666667,0.28934729645649593,0.011980463,1126,9.893759999999999e-05,,
,,,,15.0,,85,15,,,,,,,,,0.73589547,,43520,2837,,,,,,,,,,,,-0.03907442092895508,0.2,-1.3301183780034382,-0.025405833373467128,0.08437229692935944,0.10690104166666667,0.3639707277218501,0.009862155,1141,9.89248e-05,,
,,,,15.0,,86,15,,,,,,,,,0.7614621500000003,,44032,2870,,,,,0.75227857,,,,,,,0.06273078918457031,0.2,-1.2885417699813844,-0.02437644311382125,0.05154566466808319,0.06484375,0.3038918852806091,0.009675426,1156,9.8912e-05,,
,,,,15.0,,87,15,,,,,,,,,0.7152733300000002,,44544,2903,,,,,0.8176101,,,,,,,0.01937645673751831,0.2,-1.3125401337941487,-0.023974621885766587,-0.0006019994616508484,0.11145833333333334,0.23861189534266788,0.010002265,1171,9.88992e-05,,
,,,,,,,,,,,,,,,,,,45000,,,,,,,,,,,,,-0.024310946464538574,0.2,-1.3203765432039896,-0.023201991679767768,0.015166223049163818,0.07526041666666666,0.2420518974463145,0.009057345,1186,9.888640000000002e-05,1.3907842755317688,15.0
,,,,15.05,,88,15,,,,,,,,,0.73256402,,45056,2942,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.05,,89,15,,,,,,,,,0.77266881,,45568,2975,,,,,0.66779685,,,,,,,0.015190482139587402,0.2,-1.2441162824630738,-0.029243565102418264,0.01915225386619568,0.127734375,0.2805149212479591,0.009713826,1201,9.887360000000002e-05,,
,,,,15.05,,90,15,,,,,,,,,0.8425222000000001,,46080,3008,,,,,0.90704745,,,,,,,0.015453338623046875,0.2,-1.2613290667533874,-0.023678398644551634,0.03871046006679535,0.11640625,0.2695254390438398,0.0097597465,1216,9.88608e-05,,
,,,,15.0,,91,15,,,,,,,,,0.83988726,,46592,3045,,,,,0.75206083,,,,,,,-0.13864564895629883,0.2,-1.3277013142903646,-0.024948816311856113,0.02509484440088272,0.10234375,0.2759794274965922,0.008582933,1231,9.884800000000001e-05,,
,,,,15.0,,92,15,,,,,,,,,0.8112110099999998,,47104,3078,,,,,,,,,,,,0.0836527943611145,0.2,-1.2641613642374674,-0.028996949984381595,0.025472432374954224,0.090625,0.25378481795390445,0.010500893,1246,9.883520000000001e-05,,
,,,,15.0,,93,15,,,,,,,,,0.81495574,,47616,3113,,,,,0.94558424,,,,,,,-0.04859793186187744,0.2,-1.2392995476722717,-0.02648514142880837,0.044958725571632385,0.08828125,0.30271079391241074,0.007280976,1261,9.882240000000001e-05,,
