params/verbose,params/batch_size,params/normalize_advantage,params/device,rollout/ep_len_mean,params/seed,time/iterations,time/fps,params/target_kl,params/gamma,params/n_epochs,params/_init_setup_model,params/max_grad_norm,params/rollout_buffer_kwargs,params/clip_range,params/rollout_buffer_class,rollout/ep_rew_mean,params/clip_range_vf,time/total_timesteps,time/time_elapsed,params/gae_lambda,params/vf_coef,params/policy_kwargs,params/stats_window_size,mean_reward,params/learning_rate,params/n_steps,params/ent_coef,params/policy,params/sde_sample_freq,params/use_sde,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,,,15.0,,94,15,,,,,,,,,0.8912721300000002,,48128,3146,,,,,0.80494726,,,,,,,0.2112104296684265,0.2,-1.2265593942842985,-0.020750695226812048,0.04804474860429764,0.09416118421052631,0.28310278058052063,0.015394643,1271,9.880960000000001e-05,,
,,,,15.0,,95,15,,,,,,,,,0.9265595699999999,,48640,3178,,,,,,,,,,,,-0.08287227153778076,0.2,-1.2287534912427267,-0.025255925922344127,0.05417177826166153,0.10911458333333333,0.32119409342606864,0.010327096,1286,9.879680000000001e-05,,
,,,,15.0,,96,15,,,,,,,,,0.90030348,,49152,3211,,,,,0.9451351,,,,,,,0.23135244846343994,0.2,-1.2309268832206726,-0.012758004944771528,0.06067602336406708,0.112109375,0.28266471475362775,0.015139427,1291,9.878400000000001e-05,,
,,,,15.0,,97,15,,,,,,,,,0.84141087,,49664,3245,,,,,0.8549293,,,,,,,-0.019482970237731934,0.2,-1.2519632816314696,-0.02452068611358603,0.077982597053051,0.121484375,0.3848004917303721,0.0119270515,1306,9.877120000000001e-05,,
,,,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,,-0.08957326412200928,0.2,-1.2272364020347595,-0.029548504451910654,0.0708485096693039,0.13763020833333334,0.35500917335351306,0.012903664,1321,9.87584e-05,1.61108238697052,15.0
,,,,15.05,,98,15,,,,,,,,,0.92125132,,50176,3283,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.05,,99,15,,,,,,,,,1.01348108,,50688,3317,,,,,0.9988458,,,,,,,-0.017409920692443848,0.2,-1.2367933909098308,-0.02513665788186093,-0.009614191949367523,0.13229166666666667,0.20086666345596313,0.01401134,1336,9.87456e-05,,
,,,,15.05,,100,15,,,,,,,,,1.0066800599999999,,51200,3350,,,,,0.95315737,,,,,,,-0.06272780895233154,0.2,-1.2148762464523315,-0.027385684040685494,0.04827997833490372,0.10221354166666667,0.2917419900496801,0.009464821,1351,9.87328e-05,,
,,,,15.0,,101,15,,,,,,,,,0.9576223,,51712,3383,,,,,,,,,,,,0.02660149335861206,0.2,-1.221494460105896,-0.030149440312137208,0.04024859517812729,0.120703125,0.2644976586103439,0.00990371,1366,9.872e-05,,
,,,,15.0,,102,15,,,,,,,,,1.03092093,,52224,3416,,,,,1.0333202,,,,,,,0.10710424184799194,0.2,-1.2287757607067333,-0.01862260907450143,-0.0032245516777038574,0.12729779411764705,0.16158861710744746,0.016120084,1375,9.87072e-05,,
,,,,15.0,,103,15,,,,,,,,,1.02382632,,52736,3449,,,,,1.016477,,,,,,,0.1812978982925415,0.2,-1.1862927238146463,-0.026605168838674823,-0.022115767002105713,0.087109375,0.15917722483476002,0.009912102,1390,9.86944e-05,,
,,,,15.0,,104,15,,,,,,,,,1.0442901500000001,,53248,3482,,,,,,,,,,,,-0.006923317909240723,0.2,-1.221951186656952,-0.025213800851876536,0.05538251996040344,0.09947916666666666,0.33604900538921356,0.009934444,1405,9.86816e-05,,
,,,,15.0,,105,15,,,,,,,,,1.00338445,,53760,3515,,,,,1.0729818,,,,,,,-0.032486796379089355,0.2,-1.220635465780894,-0.02644999496017893,0.031152553856372833,0.12994791666666666,0.27851818750302,0.012074467,1420,9.86688e-05,,
,,,,15.0,,106,15,,,,,,,,,1.04816132,,54272,3548,,,,,1.0932194,,,,,,,-0.15596604347229004,0.2,-1.2097375551859537,-0.024765339431663355,0.007426217198371887,0.12734375,0.2047627940773964,0.009003708,1435,9.8656e-05,,
,,,,15.0,,107,15,,,,,,,,,1.1010410600000002,,54784,3581,,,,,,,,,,,,0.06205350160598755,0.2,-1.2338144262631734,-0.025149366647625963,0.02516048401594162,0.125390625,0.26753845711549123,0.0069163325,1450,9.86432e-05,,
,,,,,,,,,,,,,,,,,,55000,,,,,,1.1407992,,,,,,,-0.04977285861968994,0.2,-1.2026492516199747,-0.026175258215516806,-0.000780247151851654,0.094140625,0.18031211147705714,0.009825523,1465,9.86304e-05,1.6165065526962281,15.0
,,,,15.05,,108,15,,,,,,,,,1.05866076,,55296,3619,,,,,,,,,,,,,,,,,,,,,,,
