player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,source,source_url
Dare Ogunbowale,RB,31.181537051000003,10.03071182,73.99989829,0.313010046,14.52929916,31.31644814,127.0486,0.73353385,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Cordarrelle Patterson,RB,31.484795043000002,7.281429248,54.10394465,0.340270581,9.556079788,29.61043464,124.6149462,0.948105003,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kenny McIntosh,RB,28.104018691500002,8.262429757,58.09165511,0.32217972,10.59248039,27.40984875,114.3755711,0.82699729,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Julius Chestnut,RB,27.7683516945,8.761240547,61.32907801,0.280713398,11.42713631,26.49019658,111.161312,0.770102657,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Will Shipley,RB,30.64216348700001,7.877525954,56.06610954,0.331996298,10.25919119,32.65986334,140.6080818,0.75372481,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jordan Mason,RB,30.597091427500004,3.700303789,26.75041371,0.128934716,4.827238677,36.46480315,163.6389026,1.375484847,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Craig Reynolds,RB,28.0569523495,6.094606085,47.26243621,0.203784433,7.93272635,29.56725068,125.6450184,1.089742966,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jase McClellan,RB,26.001466015,4.354565768,30.45690181,0.197708796,5.447973442,31.92065645,133.0431349,1.071113343,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
JaMycal Hasty,RB,22.847065207999997,7.689061764,51.60858421,0.232672924,10.51958149,22.36820557,94.80553143,0.535918076,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kyle Juszczyk,RB,22.764172168,11.73832974,88.22654882,0.804502434,15.42166638,4.721976635,19.77373904,0.219616724,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
