player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,pass_att,pass_cmp,pass_yd,pass_td,pass_int,source,source_url
Rashee Rice,WR,171.00608446400003,75.26956499,877.2614177,7.525052526,103.9817615,1.909928982,11.21077493,0.092173711,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Terry McLaurin,WR,157.295629786,74.48944784,1011.543823,3.24681201,122.9197495,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Keenan Allen,WR,159.980181151,84.53108607,883.0375416,4.798186498,123.5536999,2.08591891,12.44891704,0.093817965,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Christian Watson,WR,162.97762498500003,55.11509272,843.6287315,7.620758612,95.96274373,6.15505402,38.08001085,0.303495226,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Christian Kirk,WR,163.659249361,83.52304879,951.5374696,4.399098332,124.0394186,1.98971994,11.88468042,0.078538625,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jayden Reed,WR,151.219469269,62.99924049,769.3578727,5.093040897,95.96274373,12.31010804,85.87835452,0.574944943,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Courtland Sutton,WR,153.70050472000003,70.93579902,897.1356595,4.921587363,120.0444384,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Xavier Worthy,WR,148.632564816,56.48619627,762.1887495,6.258228505,91.0568574,5.729786946,35.16885619,0.275399961,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jaxon Smith-Njigba,WR,154.525403541,75.88072519,889.8912098,4.736966665,112.5073702,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jordan Addison,WR,152.91929621300002,70.05209019,874.5045542,5.188861244,113.7596421,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
