name,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,pass_att,pass_cmp,pass_yd,pass_td,pass_int
Jake Tonges,TE,0.0,,,,,,,,,,,,
Armani Rogers,TE,0.0,,,,,,,,,,,,
Tanner Conner,TE,0.0,,,,,,,,,,,,
Nikola Kalinic,TE,0.0,,,,,,,,,,,,
Scotty Washington,TE,0.0,,,,,,,,,,,,
Zack Kuntz,TE,0.0,,,,,,,,,,,,
Brayden Willis,TE,0.0,,,,,,,,,,,,
Julian Hill,TE,0.0,,,,,,,,,,,,
Cole Fotheringham,TE,0.0,,,,,,,,,,,,
Travis Vokolek,TE,0.0,,,,,,,,,,,,
Henry Pearson,TE,0.0,,,,,,,,,,,,
Princeton Fant,TE,0.0,,,,,,,,,,,,
Rodney Williams,TE,0.0,,,,,,,,,,,,
Josh Pederson,TE,0.0,,,,,,,,,,,,
Jaheim Bell,TE,0.0,,,,,,,,,,,,
Tanner McLachlan,TE,0.0,,,,,,,,,,,,
Ryan Griffin,TE,0.0,,,,,,,,,,,,
Darren Waller,TE,0.0,,,,,,,,,,,,
Mason Schreck,TE,0.0,,,,,,,,,,,,
Dan Arnold,TE,0.0,,,,,,,,,,,,
Jacob Hollister,TE,0.0,,,,,,,,,,,,
Garrett Griffin,TE,0.0,,,,,,,,,,,,
Anthony Firkser,TE,0.0,,,,,,,,,,,,
Cethan Carter,TE,0.0,,,,,,,,,,,,
Darrell Daniels,TE,0.0,,,,,,,,,,,,
Stephen Anderson,TE,0.0,,,,,,,,,,,,
Tyler Kroft,TE,0.0,,,,,,,,,,,,
Maxx Williams,TE,0.0,,,,,,,,,,,,
Jesse James,TE,0.0,,,,,,,,,,,,
Nick Boyle,TE,0.0,,,,,,,,,,,,
Blake Bell,TE,0.0,,,,,,,,,,,,
Trevon Wesco,TE,0.0,,,,,,,,,,,,
Richard Rodgers,TE,0.0,,,,,,,,,,,,
Cameron Brate,TE,0.0,,,,,,,,,,,,
O.J. Howard,TE,0.0,,,,,,,,,,,,
Geoff Swaim,TE,0.0,,,,,,,,,,,,
Kyle Rudolph,TE,0.0,,,,,,,,,,,,
Jimmy Graham,TE,0.0,,,,,,,,,,,,
Kendall Blanton,TE,0.0,,,,,,,,,,,,
Brandon Dillon,TE,0.0,,,,,,,,,,,,
Devin Asiasi,TE,0.0,,,,,,,,,,,,
Brycen Hopkins,TE,0.0,,,,,,,,,,,,
Jared Pinkney,TE,0.0,,,,,,,,,,,,
Noah Togiai,TE,0.0,,,,,,,,,,,,
Ben Ellefson,TE,0.0,,,,,,,,,,,,
Kevin Rader,TE,0.0,,,,,,,,,,,,
Matt Sokol,TE,0.0,,,,,,,,,,,,
Chris Myarick,TE,0.0,,,,,,,,,,,,
Sage Surratt,TE,0.0,,,,,,,,,,,,
Feleipe Franks,TE,0.0,,,,,,,,,,,,
Tony Poljan,TE,0.0,,,,,,,,,,,,
Hunter Kampmoyer,TE,0.0,,,,,,,,,,,,
Matt Bushman,TE,0.0,,,,,,,,,,,,
Jalen Wydermyer,TE,0.0,,,,,,,,,,,,
Chase Allen,TE,0.0,,,,,,,,,,,,
Roger Carter Jr.,TE,0.0,,,,,,,,,,,,
Curtis Hodges,TE,0.0,,,,,,,,,,,,
Tucker Fisk,TE,0.0,,,,,,,,,,,,
