def_sack,def_int,def_fum,def_td,def_sfty,fpts,source,source_url,def_tkl,def_fum_rec,def_fum_forced,def_pts_allowed,def_pts_allowed_per_game,pass_yd_allowed,rush_yd_allowed,total_yd_allowed,total_yd_allowed_per_game,fp_per_game,gp,fpts_halfppr_adjust,pts_allow,yds_allow,fpts_ci,rank_pos,def_yd_allowed,src_player_name,sleeper_id,full_name,team,position
42.9,15.0,,3.3,0.0,154.7,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,673.0,14.0,19.0,384.0,22.6,0.0,1899.0,5301.0,311.8,9.1,,,,,,,,New Orleans,NO,New Orleans Saints,NO,DEF
41.8,13.0,,3.1,0.0,152.4,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,695.0,16.0,22.0,394.0,23.2,0.0,1833.0,5393.0,317.2,9.0,,,,,,,,Jacksonville,JAX,Jacksonville Jaguars,JAX,DEF
49.8,12.0,,2.8,0.0,150.6,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,688.0,13.0,18.0,384.0,22.6,0.0,1969.0,5510.0,324.1,8.9,,,,,,,,Green Bay,GB,Green Bay Packers,GB,DEF
44.4,9.0,,2.9,0.0,149.8,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,702.0,18.0,24.0,469.0,27.6,0.0,1974.0,5768.0,339.3,8.8,,,,,,,,Denver,DEN,Denver Broncos,DEN,DEF
50.4,12.0,,2.7,0.0,148.6,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,693.0,12.0,16.0,402.0,23.6,0.0,2069.0,5689.0,334.6,8.7,,,,,,,,Seattle,SEA,Seattle Seahawks,SEA,DEF
49.8,11.0,,2.5,0.0,146.8,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,708.0,13.0,18.0,378.0,22.2,0.0,1779.0,5232.0,307.8,8.6,,,,,,,,Las Vegas,LV,Las Vegas Raiders,LV,DEF
47.3,10.0,,2.5,0.0,142.3,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,716.0,13.0,18.0,421.0,24.8,0.0,1686.0,5208.0,306.4,8.4,,,,,,,,Minnesota,MIN,Minnesota Vikings,MIN,DEF
43.3,14.0,,2.8,0.0,142.1,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,675.0,10.0,14.0,413.0,24.3,0.0,1690.0,5589.0,328.8,8.4,,,,,,,,Detroit,DET,Detroit Lions,DET,DEF
47.3,10.0,,2.3,0.0,139.1,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,691.0,12.0,16.0,412.0,24.2,0.0,1553.0,5174.0,304.4,8.2,,,,,,,,Tennessee,TEN,Tennessee Titans,TEN,DEF
44.6,11.0,,2.4,0.0,137.0,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,694.0,11.0,16.0,472.0,27.8,0.0,1992.0,5624.0,330.8,8.1,,,,,,,,Arizona,ARI,Arizona Cardinals,ARI,DEF
