index,player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url,gp,rec_yd_per_game,rec_yd_per_rcpt,rush_att,rush_yd_per_rsh,fp_per_game,fpts_halfppr_adjust,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rec,fpts_ci,rank_overall,rank_pos,name_match,sleeper_row,sleeper_id
10,Mike Evans,TBB,WR,151.1,81.1,1213.0,9.9,0.0,0.0,0.0,221.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Mike Evans', 100.0, 123)",123.0,2216
11,Deebo Samuel,SFO,WR,125.3,76.9,1040.0,6.3,194.0,3.7,0.6,220.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Deebo Samuel', 100.0, 92)",92.0,5872
12,DK Metcalf,SEA,WR,159.0,85.7,1274.0,8.0,0.0,0.0,0.5,217.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('DK Metcalf', 100.0, 328)",328.0,5846
13,Nico Collins,HOU,WR,138.0,87.9,1255.0,7.4,11.0,0.0,0.0,216.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Nico Collins', 100.0, 103)",103.0,7569
14,Cooper Kupp,LAR,WR,149.4,97.0,1133.0,8.1,34.0,0.2,0.0,216.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Cooper Kupp', 100.0, 188)",188.0,4039
15,Marvin Harrison Jr.,ARI,WR,155.2,102.2,1199.0,7.0,20.0,0.0,0.5,216.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Marvin Harrison', 95.0, 194)",194.0,11628
16,Brandon Aiyuk,SFO,WR,123.3,78.3,1330.0,6.9,22.0,0.2,1.2,214.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Brandon Aiyuk', 100.0, 268)",268.0,6803
17,D.J. Moore,CHI,WR,134.1,93.9,1266.0,6.0,23.0,1.1,2.2,213.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('DJ Moore', 88.88888888888889, 161)",161.0,4983
18,DeVonta Smith,PHI,WR,134.2,93.6,1233.0,7.2,0.0,0.0,1.3,211.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('DeVonta Smith', 100.0, 176)",176.0,7525
19,Christian Watson,GBP,WR,98.2,61.2,850.0,13.4,60.0,1.3,0.0,209.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Christian Watson', 100.0, 96)",96.0,8167
