rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url,gp,rush_yd_per_rsh,rec_yd_per_game,rec_yd_per_rcpt,fp_per_game,fpts_halfppr_adjust,pass_yd,pass_td,pass_int,rec_yds,fpts_ci,rank_overall,rank_pos,src_player_name,sleeper_id,full_name,team,position
234.2,899.0,3.9,46.8,37.8,280.0,0.0,0.2,159.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Chuba Hubbard,7594,Chuba Hubbard,CAR,RB
199.4,750.0,4.2,62.0,47.9,265.0,0.8,0.3,155.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Ezekiel Elliott,3164,Ezekiel Elliott,DAL,RB
188.5,805.0,3.4,21.5,17.8,191.0,1.3,0.0,138.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Tyler Allgeier,8132,Tyler Allgeier,ATL,RB
156.0,625.0,3.4,40.8,29.7,256.0,2.3,0.0,137.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Rico Dowdle,7021,Rico Dowdle,DAL,RB
174.3,703.0,4.1,37.1,29.3,241.0,0.3,0.5,134.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jonathon Brooks,11583,Jonathon Brooks,CAR,RB
109.5,412.0,2.4,61.0,48.5,336.0,1.6,0.0,123.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Antonio Gibson,6945,Antonio Gibson,NE,RB
132.3,529.0,4.1,35.3,28.9,179.0,0.0,0.0,109.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Ty Chandler,8230,Ty Chandler,MIN,RB
98.1,450.0,2.1,54.9,33.0,258.0,0.8,0.6,103.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Justice Hill,5995,Justice Hill,BAL,RB
155.4,633.0,2.2,36.7,24.3,136.0,0.1,0.7,103.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Khalil Herbert,7608,Khalil Herbert,CHI,RB
82.2,385.0,5.9,21.3,17.1,157.0,0.5,0.0,101.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jordan Mason,8408,Jordan Mason,SF,RB
