xp_made,xp_att,fg_made,fg_att,fg_1_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fg_miss,fpts,source,source_url,gp,fg_longest,fg_1_19_att,fg_20_29_att,fg_30_39_att,fg_40_49_att,fg_50_att,fp_per_game,fpts_halfppr_adjust,fg_1_39_made,fg_1_39_att,fg_0_19_made,fpts_ci,rank_pos,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_plus,src_player_name,sleeper_id,full_name,team,position
39,42.0,34.0,37.0,0.269,8.9,10.1,8.6,5.7,,141.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.269,9.0,10.3,10.6,5.7,8.3,False,,,,,,,,,,,Cairo Santos,2020,Cairo Santos,CHI,K
49,50.0,30.0,34.0,0.252,6.9,8.2,8.9,5.4,,139.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.252,7.0,8.3,9.9,5.4,8.2,False,,,,,,,,,,,Evan McPherson,7839,Evan McPherson,CIN,K
49,50.0,30.0,35.0,0.228,8.4,9.5,6.6,4.84,,139.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.228,8.6,10.7,9.8,4.84,8.2,False,,,,,,,,,,,Jake Moody,10937,Jake Moody,SF,K
45,45.0,31.0,34.0,0.251,7.7,8.3,9.1,5.3,,138.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.252,7.8,8.4,10.2,5.3,8.1,False,,,,,,,,,,,Cameron Dicker,8259,Cameron Dicker,LAC,K
51,52.0,29.0,34.0,0.228,6.8,8.3,8.6,4.8,,138.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.228,6.9,8.4,10.6,4.8,8.1,False,,,,,,,,,,,Jason Sanders,5119,Jason Sanders,MIA,K
45,49.0,31.0,38.0,0.442,8.7,10.1,6.8,5.0,,138.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.442,8.8,10.3,10.1,5.0,8.1,False,,,,,,,,,,,Greg Joseph,5272,Greg Joseph,GB,K
41,42.0,32.0,38.0,0.264,8.6,10.1,7.6,5.6,,137.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.265,8.7,10.8,9.4,5.6,8.1,False,,,,,,,,,,,Matt Gay,6083,Matt Gay,IND,K
39,44.0,32.0,39.0,0.322,9.0,10.3,9.0,3.54,,135.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.325,9.3,11.5,11.7,3.54,7.9,False,,,,,,,,,,,Cam Little,11786,Cam Little,JAX,K
38,41.0,32.0,36.0,0.257,7.9,8.3,10.1,5.5,,134.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.257,7.9,8.5,12.8,5.5,7.9,False,,,,,,,,,,,Dustin Hopkins,1348,Dustin Hopkins,CLE,K
33,36.0,33.0,37.0,0.264,7.2,9.8,11.2,4.77,,132.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.264,7.3,10.7,12.5,4.77,7.8,False,,,,,,,,,,,Greg Zuerlein,1266,Greg Zuerlein,NYJ,K
37,41.0,31.0,38.0,0.313,8.8,10.0,8.8,3.45,,130.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.316,9.0,11.1,11.4,3.45,7.6,False,,,,,,,,,,,Joshua Karty,11789,Joshua Karty,LAR,K
41,41.0,29.0,33.0,0.235,7.7,9.6,6.8,4.99,,128.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.235,7.8,9.8,9.4,4.99,7.5,False,,,,,,,,,,,Chase McLaughlin,6650,Chase McLaughlin,TB,K
39,40.0,29.0,33.0,0.251,6.9,8.8,7.2,5.3,,126.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.252,7.0,9.9,8.9,5.3,7.4,False,,,,,,,,,,,Matt Prater,17,Matt Prater,ARI,K
45,50.0,25.0,30.0,0.253,7.1,8.1,7.1,2.78,,120.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.255,7.3,9.0,9.2,2.78,7.1,False,,,,,,,,,,,Jake Bates,11539,Jake Bates,DET,K
36,38.0,28.0,34.0,0.216,8.6,10.3,6.2,2.97,,120.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.216,8.7,11.3,8.5,2.97,7.1,False,,,,,,,,,,,Wil Lutz,3678,Wil Lutz,DEN,K
33,34.0,27.0,31.0,0.218,7.7,7.1,7.4,4.63,,114.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.218,7.9,7.6,9.2,4.63,6.7,False,,,,,,,,,,,Chris Boswell,1945,Chris Boswell,PIT,K
34,35.0,25.0,28.0,0.203,8.1,6.6,7.4,2.68,,109.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.203,8.2,7.2,8.3,2.68,6.4,False,,,,,,,,,,,Daniel Carlson,5095,Daniel Carlson,LV,K
38,40.0,23.0,29.0,0.181,4.97,8.5,5.6,3.76,,107.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.181,5.0,10.1,7.5,3.76,6.3,False,,,,,,,,,,,Cade York,8258,Cade York,CLE,K
31,34.0,25.0,27.0,0.202,7.4,7.6,6.1,4.02,,106.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.203,7.5,7.7,6.8,4.02,6.2,False,,,,,,,,,,,Nick Folk,650,Nick Folk,TEN,K
32,35.0,24.0,29.0,0.244,6.8,7.8,6.8,2.68,,104.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.246,7.0,8.7,8.9,2.68,6.1,False,,,,,,,,,,,Will Reichard,11792,Will Reichard,MIN,K
25,28.0,25.0,29.0,0.197,5.4,7.9,7.6,4.16,,100.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.197,5.5,8.0,9.2,4.16,5.9,False,,,,,,,,,,,Eddy Pineiro,5189,Eddy Pineiro,CAR,K
32,33.0,21.0,27.0,0.173,4.77,6.8,5.7,3.69,,95.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.174,4.82,8.2,8.5,3.69,5.6,False,,,,,,,,,,,Graham Gano,503,Graham Gano,NYG,K
26,29.0,19.0,23.0,0.15,4.12,5.8,6.3,3.01,,83.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.15,4.58,5.9,8.1,3.01,4.9,False,,,,,,,,,,,Joey Slye,6528,Joey Slye,NE,K
48.64261019,50.16287877,,,,,,7.418536485,4.594118665,,146.440469253,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.09476146,6.537871228,,,16.37654095,16.73306646,,,,,,,,,Harrison Butker,4227,Harrison Butker,KC,K
42.46135731,43.39154676,,,,,,7.532454617,4.672734206,,142.043737026,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.135088091,6.566860478,,,16.59822792,16.80726172,,,,,,,,,Brandon Aubrey,11533,Brandon Aubrey,DAL,K
43.43266407,44.70656177,,,,,,7.461886975,4.622611637,,141.85972540199998,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.127630722,6.561499665,,,16.46615706,16.79354122,,,,,,,,,Justin Tucker,1264,Justin Tucker,BAL,K
43.23342048,44.11573519,,,,,,7.584478908,4.710335987,,143.456038268,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.132582454,6.565059273,,,16.63462519,16.8026517,,,,,,,,,Jake Elliott,4195,Jake Elliott,PHI,K
43.55035442,45.11138772,,,,,,7.402796803,4.58046703,,141.003899003,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.123531011,6.558552542,,,16.35621007,16.78599834,,,,,,,,,Greg Zuerlein,1266,Greg Zuerlein,NYJ,K
41.23615977,42.28341966,,,,,,7.510460924,4.656089866,,140.422624889,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.14535417,6.574240364,,,16.56084142,16.82614984,,,,,,,,,Ka'imi Fairbairn,3451,Ka'imi Fairbairn,HOU,K
41.80640267,43.47519481,,,,,,7.378351756,4.561883528,,138.816960526,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.135975782,6.567498605,,,16.31496681,16.80889494,,,,,,,,,Evan McPherson,7839,Evan McPherson,CIN,K
46.66241561,50.08262184,,,,,,7.073463259,4.346018388,,138.705587612,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.095260289,6.538229817,,,15.74180493,16.73398423,,,,,,,,,Jake Moody,10937,Jake Moody,SF,K
37.87191651,38.64481276,,,,,,7.587424915,4.709209613,,138.251356381,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,,,,,,9.172519565,6.593768513,,,16.707369,16.8761303,,,,,,,,,Cameron Dicker,8259,Cameron Dicker,LAC,K
