params/clip_range_vf,params/max_grad_norm,params/use_sde,params/learning_rate,params/sde_sample_freq,params/vf_coef,params/policy,time/iterations,mean_reward,params/n_epochs,params/policy_kwargs,params/_init_setup_model,rollout/ep_len_mean,params/seed,time/fps,params/n_steps,params/gamma,params/verbose,params/rollout_buffer_class,params/stats_window_size,params/clip_range,params/rollout_buffer_kwargs,params/target_kl,params/ent_coef,params/device,params/batch_size,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,params/gae_lambda,params/normalize_advantage,train/entropy_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
,,,,,,,10,,,,,15.05,,15,,,,,,,,,,,,-0.5921153399999999,5120,330,,,,,,,,,,,,,,
,,,,,,,11,-0.46720037,,,,15.05,,15,,,,,,,,,,,,-0.51451497,5632,362,,,-1.6851390560468038,0.06875,0.013166308403015137,0.3208243787288666,0.06015746295452118,9.987200000000001e-05,0.009814548,0.2,150,-0.012025499033431213,,
,,,,,,,12,-0.61403215,,,,15.05,,15,,,,,,,,,,,,-0.50955517,6144,395,,,-1.7066317319869995,0.12213541666666666,-0.07290112972259521,0.3521085470914841,0.10448823869228363,9.985920000000001e-05,0.010002795,0.2,165,-0.015168837504461408,,
,,,,,,,13,,,,,15.0,,15,,,,,,,,,,,,-0.5268871300000001,6656,428,,,-1.7261072874069214,0.05182291666666667,-0.10639369487762451,0.21138796309630076,0.0013786330819129944,9.984640000000001e-05,0.008416643,0.2,180,-0.010659149102866649,,
,,,,,,,14,-0.40891194,,,,15.0,,15,,,,,,,,,,,,-0.53230121,7168,461,,,-1.7397567788759867,0.07083333333333333,-0.08220100402832031,0.24010325372219085,0.028457961976528168,9.98336e-05,0.014059192,0.2,195,-0.014693298749625683,,
,,,,,,,15,-0.49961212,,,,15.0,,15,,,,,,,,,,,,-0.5006148,7680,493,,,-1.7384820659955342,0.11276041666666667,0.01677757501602173,0.20271506309509277,-0.002477206289768219,9.98208e-05,0.012895102,0.2,210,-0.01692240304934482,,
,,,,,,,16,,,,,15.0,,15,,,,,,,,,,,,-0.53039325,8192,526,,,-1.7381712595621746,0.0078125,-0.06576502323150635,0.23726777384678524,0.02612157166004181,9.9808e-05,0.004746842,0.2,225,-0.007690985066195329,,
,,,,,,,17,-0.6239206,,,,15.0,,15,,,,,,,,,,,,-0.4374011699999999,8704,559,,,-1.7443120996157329,0.04609375,0.022476255893707275,0.22156066646178563,0.020454436540603638,9.97952e-05,0.006575116,0.2,240,-0.016686240521570046,,
,,,,,,,18,-0.38630325,,,,15.0,,15,,,,,,,,,,,,-0.46461365,9216,592,,,-1.7112896601359049,0.027213541666666667,-0.1012732982635498,0.37773287494977315,0.0806964784860611,9.97824e-05,0.005714496,0.2,255,-0.013144612420971195,,
,,,,,,,19,,,,,15.0,,15,,,,,,,,,,,,-0.33392086000000004,9728,626,,,-1.7261957804361978,0.09934895833333333,0.04223513603210449,0.29296840727329254,0.03190639615058899,9.97696e-05,0.0086472165,0.2,270,-0.01321935396020611,,
,,,,,,,,-0.25058833,,,,,,,,,,,,,,,,,,,10000,,,,-1.7320901870727539,0.057291666666666664,-0.05766952037811279,0.350079016884168,0.0559886172413826,9.97568e-05,0.0072519453,0.2,285,-0.015276397384392718,-1.0,15.0
,,,,,,,20,,,,,15.05,,15,,,,,,,,,,,,-0.44338407,10240,664,,,,,,,,,,,,,,
,,,,,,,21,-0.56049895,,,,15.05,,15,,,,,,,,,,,,-0.41505116000000003,10752,696,,,-1.7195964177449545,0.015494791666666667,-0.15037822723388672,0.23657499651114147,0.008633047342300415,9.9744e-05,0.0066060633,0.2,300,-0.00908992343271772,,
,,,,,,,22,,,,,15.05,,15,,,,,,,,,,,,-0.4894972500000001,11264,729,,,-1.7305837313334147,0.062890625,-0.10050415992736816,0.2340565726161003,0.007380746304988861,9.97312e-05,0.007167859,0.2,315,-0.014582977614675958,,
,,,,,,,23,-0.44944564,,,,15.0,,15,,,,,,,,,,,,-0.38065599,11776,762,,,-1.7186568180720012,0.020833333333333332,0.04278278350830078,0.27722611476977665,0.029519014060497284,9.97184e-05,0.0050962945,0.2,330,-0.01420272645385315,,
,,,,,,,24,-0.115835644,,,,15.0,,15,,,,,,,,,,,,-0.21066076000000003,12288,794,,,-1.6953779975573222,0.07395833333333333,-0.0665285587310791,0.2657967577377955,0.024937160313129425,9.97056e-05,0.007329139,0.2,345,-0.0154042878964295,,
,,,,,,,25,-0.123572715,,,,15.0,,15,,,,,,,,,,,,-0.10914272,12800,826,,,-1.7017685612042746,0.05481770833333333,0.05696594715118408,0.3341665466626485,0.06218884885311127,9.96928e-05,0.008689044,0.2,360,-0.018277607345953583,,
,,,,,,,26,,,,,15.0,,15,,,,,,,,,,,,-0.15588629999999998,13312,859,,,-1.6734490593274434,0.04440104166666667,-0.007106900215148926,0.37646046876907346,0.09202360361814499,9.968000000000001e-05,0.00875886,0.2,375,-0.015352507727220655,,
,,,,,,,27,-0.31291333,,,,15.0,,15,,,,,,,,,,,,-0.16681768000000002,13824,891,,,-1.6429443875948588,0.060286458333333334,0.05028581619262695,0.41372286081314086,0.09854725748300552,9.966720000000001e-05,0.0072514457,0.2,390,-0.015860492767145237,,
,,,,,,,28,-0.118749045,,,,15.0,,15,,,,,,,,,,,,-0.29907262,14336,924,,,-1.641728162765503,0.11692708333333333,-0.07840251922607422,0.27756935854752857,0.015798822045326233,9.96544e-05,0.01223645,0.2,405,-0.02609481386219462,,
,,,,,,,29,,,,,15.0,,15,,,,,,,,,,,,-0.20866735000000003,14848,956,,,-1.655151629447937,0.043359375,-0.1031489372253418,0.31658961474895475,0.03691688925027847,9.96416e-05,0.0068716393,0.2,420,-0.015595252222071091,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,-1.6450542330741882,0.129296875,-0.10422194004058838,0.31218374719222386,0.021328330039978027,9.96288e-05,0.011428933,0.2,435,-0.025230254077663026,-1.0,15.0
,,,,,,,30,-0.1834611,,,,15.05,,15,,,,,,,,,,,,-0.18954601999999998,15360,993,,,,,,,,,,,,,,
,,,,,,,31,-0.025724955,,,,15.05,,15,,,,,,,,,,,,-0.08351661,15872,1025,,,-1.6495236953099568,0.07486979166666667,-0.1682504415512085,0.30891474336385727,0.02147049456834793,9.9616e-05,0.008041655,0.2,450,-0.021252046898007394,,
,,,,,,,32,,,,,15.05,,15,,,,,,,,,,,,0.030057269999999997,16384,1057,,,-1.6538442730903626,0.07747395833333333,0.07901990413665771,0.21921234627564748,-0.004376634955406189,9.96032e-05,0.008837294,0.2,465,-0.01975559879404803,,
,,,,,,,33,0.11759383,,,,15.0,,15,,,,,,,,,,,,0.00824079999999999,16896,1089,,,-1.6543678323427835,0.10377604166666667,-0.15324854850769043,0.35275946656862894,0.04015195369720459,9.959040000000001e-05,0.011727603,0.2,480,-0.024262243354072174,,
,,,,,,,34,-0.33485696,,,,15.0,,15,,,,,,,,,,,,-0.12445962000000003,17408,1122,,,-1.6531010230382284,0.04544270833333333,0.09481370449066162,0.2983160341779391,0.0293487086892128,9.957760000000001e-05,0.0054507684,0.2,495,-0.018597595874841014,,
,,,,,,,35,,,,,15.0,,15,,,,,,,,,,,,-0.24464284999999997,17920,1154,,,-1.6324333399534225,0.07666015625,0.011649489402770996,0.34059351310133934,0.10341895371675491,9.95648e-05,0.013892904,0.2,499,-0.00719925673911348,,
,,,,,,,36,-0.14446025,,,,15.0,,15,,,,,,,,,,,,-0.17767895999999997,18432,1187,,,-1.6179475903511047,0.08359375,-0.08163034915924072,0.35432175993919374,0.03478553891181946,9.955200000000001e-05,0.010829551,0.2,514,-0.02214159428452452,,
,,,,,,,37,-0.07102616,,,,15.0,,15,,,,,,,,,,,,-0.16997978,18944,1219,,,-1.611364690462748,0.13059895833333332,-0.18711018562316895,0.36990325450897216,0.05665946006774902,9.953920000000001e-05,0.01208572,0.2,529,-0.027733502862975,,
,,,,,,,38,,,,,15.0,,15,,,,,,,,,,,,-0.11836758,19456,1251,,,-1.5991380612055461,0.074609375,0.07790541648864746,0.34220827321211494,0.050687000155448914,9.952640000000001e-05,0.008220999,0.2,544,-0.021623153053224087,,
,,,,,,,39,-0.23740639,,,,15.0,,15,,,,,,,,,,,,-0.14252099,19968,1283,,,-1.5660585443178812,0.11848958333333333,0.12594455480575562,0.2950762132803599,0.01687006652355194,9.951360000000001e-05,0.010131076,0.2,559,-0.028593107995887598,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,-1.5747243603070578,0.10989583333333333,-0.029816150665283203,0.3321473409732183,0.030068784952163696,9.950080000000001e-05,0.012394471,0.2,574,-0.028876808130492766,0.7903347373008728,15.0
,,,,,,,40,-0.02669807,,,,15.05,,15,,,,,,,,,,,,-0.0005464199999999886,20480,1320,,,,,,,,,,,,,,
,,,,,,,41,,,,,15.05,,15,,,,,,,,,,,,0.07682407999999999,20992,1353,,,-1.572097361087799,0.070703125,0.035946667194366455,0.304469728966554,0.034268178045749664,9.948800000000001e-05,0.007695907,0.2,589,-0.020780605217441916,,
,,,,,,,42,0.21049587,,,,15.05,,15,,,,,,,,,,,,0.08080227000000001,21504,1385,,,-1.5449104150136312,0.08684895833333334,0.0645400881767273,0.2702259659767151,0.01081085205078125,9.94752e-05,0.008856112,0.2,604,-0.027387160031745832,,
,,,,,,,43,0.17446068,,,,15.0,,15,,,,,,,,,,,,0.13480818999999997,22016,1417,,,-1.5300940817052668,0.09161931818181818,0.09657841920852661,0.3846840424971147,0.09437595307826996,9.94624e-05,0.018073656,0.2,610,-0.011553917080163956,,
,,,,,,,44,,,,,15.0,,15,,,,,,,,,,,,0.18534671999999996,22528,1449,,,-1.522914429505666,0.07239583333333334,0.08746421337127686,0.3083288277188937,0.016682863235473633,9.94496e-05,0.007018367,0.2,625,-0.020621795455614725,,
,,,,,,,45,0.19711296,,,,15.0,,15,,,,,,,,,,,,0.27204852,23040,1482,,,-1.5250683983167013,0.122265625,0.0993582010269165,0.31895778377850853,0.0407915934920311,9.94368e-05,0.011460415,0.2,640,-0.02655188776552677,,
,,,,,,,46,0.4192542,,,,15.0,,15,,,,,,,,,,,,0.39260064000000006,23552,1514,,,-1.4766841888427735,0.12799479166666666,-0.014465570449829102,0.3653795560201009,0.07657970488071442,9.9424e-05,0.01187877,0.2,655,-0.030031710506106417,,
,,,,,,,47,0.48193416,,,,15.0,,15,,,,,,,,,,,,0.45066536999999995,24064,1547,,,-1.5214849750200907,0.137890625,0.19672369956970215,0.25326643387476605,-0.0030233561992645264,9.94112e-05,0.009337181,0.2,670,-0.02668162373205026,,
,,,,,,,48,,,,,15.0,,15,,,,,,,,,,,,0.5216260399999999,24576,1580,,,-1.469158907731374,0.12473958333333333,-0.1183849573135376,0.23442326386769613,-0.010433077812194824,9.93984e-05,0.014118105,0.2,685,-0.031103159378593166,,
,,,,,,,,0.52667713,,,,,,,,,,,,,,,,,,,25000,,,,-1.4712193352835519,0.08928571428571429,-0.0765153169631958,0.4272977369172232,0.13301974534988403,9.93856e-05,0.016081434,0.2,689,-0.008408820256590843,1.612195611000061,15.0
,,,,,,,49,,,,,15.05,,15,,,,,,,,,,,,0.5082401599999999,25088,1618,,,,,,,,,,,,,,
,,,,,,,50,0.2887224,,,,15.05,,15,,,,,,,,,,,,0.41774770000000006,25600,1651,,,-1.4647684216499328,0.15677083333333333,-0.16197609901428223,0.3216912433505058,0.008871220052242279,9.93728e-05,0.009682674,0.2,704,-0.02911936022962133,,
,,,,,,,51,,,,,15.05,,15,,,,,,,,,,,,0.3875097300000001,26112,1685,,,-1.4559308091799419,0.15,0.11793363094329834,0.3525002817312876,0.05577237904071808,9.936e-05,0.011566544,0.2,719,-0.02963167551594476,,
,,,,,,,52,0.5309923,,,,15.0,,15,,,,,,,,,,,,0.36323602999999993,26624,1719,,,-1.4630978186925252,0.11028645833333334,-0.05342423915863037,0.2823280473550161,0.004935219883918762,9.934720000000001e-05,0.012907382,0.2,734,-0.025072700390592218,,
,,,,,,,53,0.46694168,,,,15.0,,15,,,,,,,,,,,,0.49884499,27136,1753,,,-1.4500476479530335,0.08385416666666666,0.05787229537963867,0.2712140649557114,0.010515399277210236,9.93344e-05,0.008958456,0.2,749,-0.029585695111503205,,
,,,,,,,54,,,,,15.0,,15,,,,,,,,,,,,0.46724093999999994,27648,1786,,,-1.434615143140157,0.07786458333333333,-0.022728919982910156,0.2688769708077113,0.028673522174358368,9.93216e-05,0.010115346,0.2,764,-0.01940969581094881,,
,,,,,,,55,0.48795232,,,,15.0,,15,,,,,,,,,,,,0.5144482100000001,28160,1820,,,-1.4358165303866068,0.13098958333333333,0.089438796043396,0.23913831561803817,0.016765929758548737,9.930880000000001e-05,0.007450169,0.2,779,-0.027894843198979894,,
,,,,,,,56,0.5422496,,,,15.0,,15,,,,,,,,,,,,0.49944594000000003,28672,1854,,,-1.4190367185152495,0.1524939903846154,0.011504292488098145,0.32604787384088224,0.029756776988506317,9.9296e-05,0.014854636,0.2,792,-0.028982419019135144,,
,,,,,,,57,,,,,15.0,,15,,,,,,,,,,,,0.63597222,29184,1887,,,-1.423918890953064,0.12356770833333333,0.0668487548828125,0.35629351337750753,0.04473830759525299,9.92832e-05,0.011974445,0.2,807,-0.028165257691095274,,
,,,,,,,58,0.7605533,,,,15.0,,15,,,,,,,,,,,,0.7817555100000001,29696,1921,,,-1.4199628154436748,0.06419270833333333,0.18044298887252808,0.2610398237903913,0.025102287530899048,9.92704e-05,0.008539989,0.2,822,-0.02592393559558938,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,-1.3873794436454774,0.11940104166666667,-0.08105802536010742,0.148225483049949,-0.03151356801390648,9.92576e-05,0.011236196,0.2,837,-0.02773342275371154,1.4149194955825806,15.0
,,,,,,,59,0.8142366,,,,15.05,,15,,,,,,,,,,,,0.8394590799999999,30208,1961,,,,,,,,,,,,,,
,,,,,,,60,,,,,15.05,,15,,,,,,,,,,,,0.87134195,30720,1994,,,-1.3708181222279867,0.163671875,-0.09768974781036377,0.269932796061039,0.009340710937976837,9.92448e-05,0.010492282,0.2,852,-0.028683236179252464,,
,,,,,,,61,0.9294864,,,,15.05,,15,,,,,,,,,,,,0.9307766599999999,31232,2029,,,-1.3653097788492838,0.11067708333333333,-0.013291597366333008,0.20072339872519177,-0.013878829777240753,9.9232e-05,0.011111315,0.2,867,-0.032136245537549256,,
,,,,,,,62,0.97163945,,,,15.0,,15,,,,,,,,,,,,0.9620530599999999,31744,2063,,,-1.3496309041976928,0.128125,0.07053619623184204,0.17273873835802078,-0.01828444004058838,9.921920000000001e-05,0.010704264,0.2,882,-0.028471202465395133,,
,,,,,,,63,,,,,15.0,,15,,,,,,,,,,,,1.05998681,32256,2097,,,-1.3590633114178976,0.11966145833333333,-0.044097304344177246,0.2525314599275589,0.019435465335845947,9.920640000000001e-05,0.010516383,0.2,897,-0.030552720076714952,,
,,,,,,,64,1.1897974,,,,15.0,,15,,,,,,,,,,,,1.03870148,32768,2130,,,-1.3548394322395325,0.13111979166666668,-0.31157147884368896,0.19727019468943277,-0.02141382545232773,9.919360000000001e-05,0.012109097,0.2,912,-0.026173890164742867,,
,,,,,,,65,1.023564,,,,15.0,,15,,,,,,,,,,,,1.09059623,33280,2163,,,-1.3459818879763286,0.10625,-0.01658618450164795,0.30575501918792725,0.026740476489067078,9.918080000000001e-05,0.012101436,0.2,927,-0.033127667879064876,,
,,,,,,,66,,,,,15.0,,15,,,,,,,,,,,,1.0028503700000002,33792,2197,,,-1.3304560979207356,0.07335069444444445,-0.051398634910583496,0.2550268703036838,0.0590500570833683,9.916800000000001e-05,0.017358486,0.2,932,-0.008949888766639762,,
,,,,,,,67,0.96129245,,,,15.0,,15,,,,,,,,,,,,1.01814607,34304,2231,,,-1.2977111509868078,0.07421875,-0.04413723945617676,0.2545730620622635,0.07812128961086273,9.915520000000001e-05,0.015664598,0.2,936,-0.007025286821382386,,
,,,,,,,68,0.9099571,,,,15.0,,15,,,,,,,,,,,,0.8772320900000001,34816,2264,,,-1.323067144914107,0.08522727272727272,0.03577655553817749,0.2923330474983562,0.08746376633644104,9.914240000000001e-05,0.015495332,0.2,942,-0.010243317366323688,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,-1.3088702938773416,0.09836647727272728,0.09959280490875244,0.43916002999652515,0.18637710809707642,9.912960000000001e-05,0.015028663,0.2,948,-0.006954829081554304,1.4152409553527832,15.0
,,,,,,,69,0.7819706,,,,15.05,,15,,,,,,,,,,,,0.83562686,35328,2302,,,,,,,,,,,,,,
,,,,,,,70,,,,,15.05,,15,,,,,,,,,,,,0.82587158,35840,2336,,,-1.2896543780962626,0.1296875,0.13873422145843506,0.36659172077973684,0.08281294256448746,9.91168e-05,0.011407276,0.2,963,-0.029400105432917673,,
,,,,,,,71,0.95010316,,,,15.05,,15,,,,,,,,,,,,0.9674591699999998,36352,2368,,,-1.308946438630422,0.13606770833333334,-0.05531454086303711,0.25047933161258695,0.005668468773365021,9.9104e-05,0.012911243,0.2,978,-0.031478467195605236,,
,,,,,,,72,1.0054536,,,,15.0,,15,,,,,,,,,,,,0.9935988600000001,36864,2400,,,-1.2802478313446044,0.097265625,-0.05183148384094238,0.2578550765911738,0.024519212543964386,9.90912e-05,0.010926118,0.2,993,-0.029804563149809837,,
,,,,,,,73,,,,,15.0,,15,,,,,,,,,,,,1.02932226,37376,2432,,,-1.2780060609181723,0.14114583333333333,-0.10805714130401611,0.23496203968922297,0.003635987639427185,9.90784e-05,0.012658102,0.2,1008,-0.028946470376104115,,
,,,,,,,74,1.0234995,,,,15.0,,15,,,,,,,,,,,,0.9781398299999999,37888,2465,,,-1.250919016202291,0.09466145833333334,0.024409592151641846,0.22050239890813828,0.01100214570760727,9.90656e-05,0.011115362,0.2,1023,-0.028992255978907148,,
,,,,,,,75,0.89233595,,,,15.0,,15,,,,,,,,,,,,0.94217427,38400,2502,,,-1.266211179892222,0.10416666666666667,-0.19250690937042236,0.27488324989875157,0.02780984342098236,9.90528e-05,0.00903992,0.2,1038,-0.029981002723798156,,
,,,,,,,76,,,,,15.0,,15,,,,,,,,,,,,0.9683735100000003,38912,2534,,,-1.2505138794581094,0.11783854166666667,-0.010776996612548828,0.26302799036105473,0.02008015662431717,9.904e-05,0.012142402,0.2,1053,-0.031411018967628476,,
,,,,,,,77,1.0560375,,,,15.0,,15,,,,,,,,,,,,1.07678461,39424,2567,,,-1.2259412169456483,0.07604166666666666,-0.07476389408111572,0.2469187652071317,0.023545846343040466,9.90272e-05,0.0074453335,0.2,1068,-0.023529954720288515,,
,,,,,,,78,1.2663664,,,,15.0,,15,,,,,,,,,,,,1.21283196,39936,2600,,,-1.2653170142854964,0.06975446428571429,-0.06459033489227295,0.2662168060030256,0.08316895365715027,9.90144e-05,0.015030517,0.2,1072,-0.009137941590909446,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,,-1.2801185528437296,0.130078125,-0.13340091705322266,0.10867403571804364,-0.04659371078014374,9.90016e-05,0.010703122,0.2,1087,-0.029814005612085262,1.6202915906906128,15.0
,,,,,,,79,,,,,15.05,,15,,,,,,,,,,,,1.2394087,40448,2638,,,,,,,,,,,,,,
,,,,,,,80,1.214799,,,,15.05,,15,,,,,,,,,,,,1.2345841599999998,40960,2671,,,-1.2780884822209677,0.109375,0.020763933658599854,0.16207321907083194,-0.012037642300128937,9.89888e-05,0.009415295,0.2,1102,-0.02911868623147408,,
,,,,,,,81,1.2173924,,,,15.05,,15,,,,,,,,,,,,1.1849256100000003,41472,2704,,,-1.2802412072817484,0.07408854166666666,-0.019773006439208984,0.1786828209956487,0.0037419870495796204,9.8976e-05,0.0071187946,0.2,1117,-0.020159224203477304,,
,,,,,,,82,,,,,15.0,,15,,,,,,,,,,,,1.23205986,41984,2737,,,-1.271987133555942,0.06770833333333333,-0.0153578519821167,0.19069627092944252,0.045371536165475845,9.896320000000001e-05,0.015633766,0.2,1122,-0.008541064854297373,,
,,,,,,,83,1.2142253,,,,15.0,,15,,,,,,,,,,,,1.21729207,42496,2770,,,-1.232769282658895,0.08658854166666667,-0.07458603382110596,0.10881137425700824,-0.04687032476067543,9.895040000000001e-05,0.010695638,0.2,1137,-0.03123714791921278,,
,,,,,,,84,0.9762947,,,,15.0,,15,,,,,,,,,,,,1.10118639,43008,2803,,,-1.2424382993153162,0.08816964285714286,-0.023270249366760254,0.2515783799546106,0.0669955164194107,9.893759999999999e-05,0.019394554,0.2,1141,-0.011919887470347541,,
,,,,,,,85,,,,,15.0,,15,,,,,,,,,,,,1.05782716,43520,2836,,,-1.2185849632535661,0.08984375,0.05022674798965454,0.33411034515925814,0.09884950518608093,9.89248e-05,0.015227339,0.2,1145,-0.009210084165845598,,
,,,,,,,86,1.2121916,,,,15.0,,15,,,,,,,,,,,,1.11404817,44032,2869,,,-1.2334610176086427,0.145,0.01647895574569702,0.24454254031181336,0.020559780299663544,9.8912e-05,0.0154751465,0.2,1158,-0.022568830344825982,,
,,,,,,,87,1.2827849,,,,15.0,,15,,,,,,,,,,,,1.27668175,44544,2902,,,-1.2420363823572795,0.108203125,0.08415919542312622,0.15808366015553474,-0.014305435121059418,9.88992e-05,0.011130021,0.2,1173,-0.024559401410321393,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,,,,-1.2279513239860536,0.140625,0.10890018939971924,0.17995288918415706,-0.019960947334766388,9.888640000000002e-05,0.013736365,0.2,1188,-0.030835818452760577,1.6240025281906127,15.0
,,,,,,,88,,,,,15.05,,15,,,,,,,,,,,,1.2673929600000002,45056,2940,,,,,,,,,,,,,,
,,,,,,,89,1.2518151,,,,15.05,,15,,,,,,,,,,,,1.21186127,45568,2973,,,-1.2008446114403861,0.11551339285714286,-0.04705631732940674,0.2594562534775053,0.08068044483661652,9.887360000000002e-05,0.017428763,0.2,1192,-0.009334073002849306,,
,,,,,,,90,1.1406598,,,,15.05,,15,,,,,,,,,,,,1.1455338099999999,46080,3006,,,-1.2330896854400635,0.0810546875,0.18481111526489258,0.22092973999679089,0.05550321191549301,9.88608e-05,0.013087017,0.2,1196,-0.007752579520456493,,
,,,,,,,91,1.0909256,,,,15.0,,15,,,,,,,,,,,,1.1162383200000001,46592,3040,,,-1.225568264722824,0.076171875,0.12416762113571167,0.28387316316366196,0.07553993165493011,9.884800000000001e-05,0.013597459,0.2,1200,-0.009623640798963606,,
,,,,,,,92,,,,,15.0,,15,,,,,,,,,,,,1.0919718500000002,47104,3072,,,-1.231434430394854,0.09654017857142858,0.11257344484329224,0.22795329775129045,0.05999856814742088,9.883520000000001e-05,0.01741835,0.2,1204,-0.010799756273627281,,
,,,,,,,93,1.0619467,,,,15.0,,15,,,,,,,,,,,,1.0386935899999998,47616,3105,,,-1.2207298960004533,0.10212053571428571,0.06979340314865112,0.231248853462083,0.047849465161561966,9.882240000000001e-05,0.016117748,0.2,1208,-0.004976222923557673,,
,,,,,,,94,1.1186868,,,,15.0,,15,,,,,,,,,,,,1.0694056600000001,48128,3138,,,-1.2151751347950526,0.0859375,0.02663952112197876,0.29093340039253235,0.09013105183839798,9.880960000000001e-05,0.017217789,0.2,1212,-0.009424015347446715,,
,,,,,,,95,,,,,15.0,,15,,,,,,,,,,,,1.11815936,48640,3171,,,-1.2137331054324196,0.06733630952380952,-0.043718695640563965,0.13053201280889057,-0.030328206717967987,9.879680000000001e-05,0.015707018,0.2,1223,-0.01798909985726433,,
,,,,,,,96,1.1602172,,,,15.0,,15,,,,,,,,,,,,1.2350322099999997,49152,3204,,,-1.211630317899916,0.078125,-0.05511462688446045,0.31307198272811043,0.09036169946193695,9.878400000000001e-05,0.0151632475,0.2,1228,-0.00965804596328073,,
,,,,,,,97,1.1236677,,,,15.0,,15,,,,,,,,,,,,1.1518085100000002,49664,3237,,,-1.201773742834727,0.129296875,0.09824180603027344,0.16071366295218467,-0.00777985155582428,9.877120000000001e-05,0.011148634,0.2,1243,-0.028404448957492907,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,,,,-1.162237560749054,0.13450520833333332,-0.02162933349609375,0.23327140808105468,0.010549820959568024,9.87584e-05,0.010139848,0.2,1258,-0.032044555402050416,1.4277142524719237,15.0
