Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds.1,>= 100yds.1,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
61,15717,"Pierce, Dameon",HOU,RB,139.6,440.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,1.8,0.9,24.0,3.5,18.1,121.0,0.7,0.5,0.2,130.0,0.0,14.7,74.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
62,16178,"Mitchell, Keaton",BAL,RB,93.8,483.0,1.6,1.0,0.0,0.0,0.6,0.1,0.0,1.9,1.0,18.8,1.5,14.0,140.0,0.0,0.6,0.3,31.0,2.6,6.4,73.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
63,16390,"McLaughlin, Jaleel",DEN,RB,64.4,326.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,1.3,0.7,30.8,5.2,26.2,132.0,1.1,0.5,0.3,0.0,0.0,5.9,72.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
64,16180,"Hull, Evan",IND,RB,95.9,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.9,29.5,3.1,23.2,139.0,0.0,0.6,0.3,0.0,0.3,4.8,71.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
65,14079,"Sanders, Miles",CAR,RB,126.0,411.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.6,0.8,38.4,3.0,26.3,146.0,0.0,0.6,0.3,144.0,1.4,6.2,67.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
66,13134,"Foreman, D'Onta",CLE,RB,101.5,399.0,2.8,2.8,0.0,0.0,0.0,0.0,0.0,1.6,0.8,11.7,0.0,8.7,57.0,0.0,0.2,0.1,0.0,0.0,7.1,66.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
67,16181,"Brown, Chase",CIN,RB,69.7,292.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.2,0.6,24.1,1.2,20.4,189.0,1.1,0.8,0.4,215.0,0.0,1.7,66.6,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
68,15258,"Carter, Michael",ARI,RB,39.1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,64.9,11.0,46.5,174.0,0.5,0.7,0.3,0.0,0.0,3.8,63.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
69,16598,"Irving, Bucky",TBB,RB,96.6,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,33.7,3.0,26.2,129.0,0.4,0.5,0.3,79.0,0.9,4.6,61.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
70,16168,"Abanikanda, Israel",NYJ,RB,83.7,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,45.0,0.8,30.9,187.0,0.0,0.7,0.4,53.0,1.3,1.0,59.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
71,16594,"Benson, Trey",ARI,RB,58.7,270.0,1.2,0.4,0.0,0.0,0.0,0.8,0.0,1.1,0.5,27.8,3.1,21.3,119.0,0.1,0.5,0.2,18.0,0.0,3.7,57.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
72,13622,"Hines, Nyheim",CLE,RB,64.7,388.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.6,0.3,12.9,2.6,8.7,47.0,0.0,0.2,0.1,831.0,0.0,2.7,52.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
73,16593,"Corum, Blake",LAR,RB,94.3,327.0,1.4,1.0,0.0,0.5,0.0,0.0,0.0,1.3,0.7,12.1,0.4,7.4,61.0,0.0,0.2,0.1,7.0,0.0,6.5,51.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
74,15733,"Strong Jr., Pierre",CLE,RB,72.8,329.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.3,0.7,10.1,0.0,5.7,22.0,0.0,0.1,0.0,270.0,0.0,2.9,46.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
75,11367,"Juszczyk, Kyle",SFO,RB,9.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,24.5,2.3,18.9,216.0,1.7,0.9,0.4,25.0,0.0,3.4,42.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
76,14331,"Johnson, D'Ernest",JAC,RB,60.5,189.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.4,13.9,0.0,9.5,153.0,0.0,0.6,0.3,212.0,0.3,4.2,41.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
77,16173,"Gray, Eric",NYG,RB,55.1,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,27.3,0.8,20.6,115.0,0.0,0.5,0.2,40.0,0.0,1.6,39.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
78,15719,"Harris, Kevin",NEP,RB,28.5,117.0,2.2,0.0,2.2,0.0,0.0,0.0,0.0,0.5,0.2,12.1,1.3,7.2,85.0,0.0,0.3,0.2,185.0,0.0,2.2,36.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
79,14811,"Ahmed, Salvon",MIA,RB,29.7,125.0,1.3,0.7,0.6,0.0,0.0,0.0,0.0,0.5,0.3,20.9,2.6,13.7,89.0,0.1,0.4,0.2,2.0,0.0,4.6,36.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
80,14807,"Kelley, Joshua",LAC,RB,92.7,282.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,1.1,0.6,13.6,1.1,9.1,36.0,0.0,0.1,0.1,18.0,1.1,4.8,35.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
81,15738,"Davis, Malik",DAL,RB,45.1,148.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.3,12.7,2.5,10.1,114.0,0.0,0.5,0.2,0.0,0.0,0.5,34.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
82,12155,"Abdullah, Ameer",LVR,RB,16.2,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,25.7,4.3,20.2,136.0,0.1,0.5,0.3,207.0,0.0,2.3,33.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
83,13378,"Breida, Matt",NYG,RB,49.5,137.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,19.5,0.0,15.3,56.0,0.0,0.2,0.1,24.0,0.0,1.4,33.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
84,16174,"Rodriguez, Chris",WAS,RB,69.3,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,5.0,1.6,3.3,19.0,0.0,0.1,0.0,21.0,1.6,3.7,31.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
85,15454,"Williams, Avery",ATL,RB,51.5,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,16.5,2.5,13.6,61.0,0.0,0.2,0.1,207.0,1.0,5.5,30.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
86,16603,"Davis, Ray",BUF,RB,48.8,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,8.9,0.9,5.1,55.0,0.5,0.2,0.1,263.0,0.0,2.5,30.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
87,14420,"Ingold, Alec",MIA,RB,11.3,44.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.2,0.1,19.4,1.8,10.3,90.0,0.3,0.4,0.2,12.0,0.0,1.8,29.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
88,13148,"Ogunbowale, Dare",HOU,RB,43.1,139.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.3,19.5,1.3,11.0,58.0,0.0,0.2,0.1,71.0,0.0,4.3,29.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
89,16176,"Vaughn, Deuce",DAL,RB,60.6,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,23.1,2.1,15.4,93.0,0.0,0.4,0.2,30.0,0.0,2.2,28.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
90,14727,"Reynolds, Craig",DET,RB,46.8,183.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.4,7.3,0.0,7.3,72.0,0.0,0.3,0.1,206.0,1.4,8.2,28.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
