Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds.1,>= 100yds.1,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
38,16597,"Brooks, Jonathon",CAR,RB,196.4,792.0,4.6,3.9,0.7,0.0,0.0,0.0,0.0,4.7,1.6,41.8,1.6,33.0,271.0,0.3,1.1,0.5,28.0,0.5,15.8,151.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
39,15261,"Hubbard, Chuba",CAR,RB,221.1,870.0,2.8,2.8,0.0,0.0,0.0,0.0,0.0,9.0,1.7,45.7,1.6,36.8,275.0,0.0,1.1,0.5,0.0,0.0,16.2,149.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
40,16165,"Spears, Tyjae",TEN,RB,114.3,500.0,1.8,1.0,0.8,0.0,0.0,0.0,0.0,2.0,1.0,82.6,7.4,62.9,476.0,1.6,1.9,1.0,280.0,0.0,9.5,149.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
41,15712,"Allgeier, Tyler",ATL,RB,188.5,805.0,3.4,2.6,0.0,0.0,0.8,0.0,0.0,7.0,1.6,21.5,0.9,17.8,191.0,1.3,0.8,0.4,0.0,0.0,14.3,138.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
42,14823,"Dowdle, Rico",DAL,RB,156.0,625.0,3.4,3.4,0.0,0.0,0.0,0.0,0.0,2.5,1.2,40.8,7.2,29.7,256.0,2.3,1.0,0.5,64.0,0.0,19.9,137.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
43,14852,"Gibson, Antonio",NEP,RB,109.5,412.0,2.4,2.2,0.0,0.0,0.0,0.0,0.3,1.6,0.8,61.0,5.7,48.5,336.0,1.6,1.3,0.7,146.0,0.0,6.6,123.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
44,16169,"Charbonnet, Zach",SEA,RB,130.3,577.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,2.3,1.2,53.5,1.4,45.9,302.0,0.3,1.2,0.6,15.0,0.2,9.7,116.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
45,14803,"Edwards-Helaire, Clyde",KCC,RB,109.8,350.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.7,51.8,10.3,39.7,371.0,1.9,1.5,0.7,0.0,0.0,14.8,111.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
46,15723,"Chandler, Ty",MIN,RB,132.3,529.0,4.1,3.8,0.3,0.0,0.0,0.0,0.0,2.1,1.1,35.3,5.8,28.9,179.0,0.0,0.7,0.4,12.0,0.0,12.8,109.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
47,14086,"Hill, Justice",BAL,RB,98.1,450.0,2.1,1.4,0.7,0.0,0.0,0.0,0.0,1.8,0.9,54.9,2.0,33.0,258.0,0.8,1.0,0.5,141.0,0.6,9.5,103.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
48,15271,"Herbert, Khalil",CHI,RB,155.4,633.0,2.2,0.9,1.4,0.0,0.0,0.0,0.0,2.5,1.3,36.7,5.0,24.3,136.0,0.1,0.5,0.3,0.0,0.7,7.2,103.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
49,14805,"Dillon, AJ",GBP,RB,161.3,595.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,2.4,1.2,28.6,1.4,23.4,226.0,0.0,0.9,0.5,0.0,0.0,9.7,100.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
50,16175,"Johnson, Roschon",CHI,RB,88.2,400.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,1.6,0.8,57.6,5.0,41.4,231.0,0.0,0.9,0.5,12.0,0.0,11.6,99.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
51,14800,"Dobbins, J.K.",LAC,RB,133.3,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,17.9,4.3,16.4,78.0,0.0,0.3,0.2,0.0,0.0,0.0,96.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
52,15255,"Gainwell, Kenneth",PHI,RB,86.0,417.0,2.4,1.6,0.7,0.0,0.2,0.0,0.0,1.7,0.8,40.7,2.2,32.9,230.0,0.0,0.9,0.5,23.0,0.6,12.5,95.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
53,16385,"Demercado, Emari",ARI,RB,97.1,415.0,2.2,0.0,1.8,0.0,0.0,0.4,0.0,1.7,0.8,42.6,0.0,34.6,190.0,0.0,0.8,0.4,0.0,0.0,3.9,90.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
54,15263,"Mitchell, Elijah",SFO,RB,108.3,462.0,5.1,4.7,0.2,0.2,0.0,0.0,0.0,1.8,0.9,12.2,1.6,10.0,51.0,0.2,0.2,0.1,11.0,0.0,20.4,88.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
55,13139,"Williams, Jamaal",NOS,RB,135.1,409.0,2.8,2.8,0.0,0.0,0.0,0.0,0.0,1.6,0.8,27.9,0.7,25.1,117.0,0.0,0.5,0.2,0.0,0.0,7.0,82.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
56,16595,"Estime, Audric",DEN,RB,80.9,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.5,48.1,6.8,35.4,189.0,0.0,0.8,0.4,17.0,0.8,4.1,82.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
57,14095,"Johnson, Ty",BUF,RB,82.5,342.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,1.4,0.7,29.1,5.0,22.5,179.0,1.3,0.7,0.4,122.0,1.0,12.2,80.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
58,14799,"Akers, Cam",HOU,RB,105.1,420.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,1.7,0.8,22.6,4.6,19.3,141.0,0.0,0.6,0.3,0.0,0.0,8.1,78.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
59,14223,"Mattison, Alexander",LVR,RB,102.8,419.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,1.7,0.8,34.4,5.9,22.6,154.0,1.1,0.6,0.3,0.0,1.1,7.9,77.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
60,16604,"Lloyd, MarShawn",GBP,RB,106.3,443.0,1.7,1.3,0.0,0.4,0.0,0.0,0.0,1.8,0.9,31.5,5.9,19.8,113.0,0.0,0.5,0.2,0.0,0.4,8.6,74.6,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
