Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
26,14842,"Pittman, Michael",IND,WR,170.1,17.9,114.5,1133.0,3.6,1.9,0.6,0.0,0.5,0.0,0.6,13.9,2.3,0.8,0.3,10.0,0.0,5.0,0.5,12.2,194.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
27,16615,"Nabers, Malik",NYG,WR,103.0,11.1,72.0,985.0,8.8,3.1,1.9,0.4,0.4,0.7,2.3,12.4,2.0,0.7,0.2,20.0,0.0,0.0,0.0,12.0,189.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
28,14835,"Higgins, Tee",CIN,WR,123.6,16.3,72.6,1078.0,6.9,1.5,1.5,2.1,0.0,0.8,1.0,13.3,2.2,0.7,0.3,10.0,0.0,0.0,0.0,15.6,187.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
29,16186,"Addison, Jordan",MIN,WR,121.1,15.7,74.9,933.0,8.9,2.4,0.9,1.4,1.7,1.5,1.0,9.0,1.9,0.6,0.2,4.0,0.0,0.0,0.0,13.5,185.2,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
30,13163,"Godwin, Chris",TBB,WR,151.4,15.2,97.2,1119.0,2.7,1.6,0.2,0.0,0.0,1.0,0.0,13.0,2.2,0.7,0.3,30.0,0.8,0.0,1.0,14.4,184.8,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
31,14208,"Johnson, Diontae",CAR,WR,124.4,14.8,80.6,1016.0,7.2,3.8,1.4,0.8,0.0,0.0,1.2,12.6,2.0,0.7,0.3,2.0,0.0,0.0,0.9,14.5,184.1,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
32,14127,"Meyers, Jakobi",LVR,WR,121.1,16.1,73.7,866.0,7.2,2.5,1.7,1.1,1.5,0.3,0.0,6.7,1.7,0.6,0.2,33.0,2.2,0.0,0.3,14.2,183.1,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
33,16617,"Coleman, Keon",BUF,WR,102.6,13.3,66.5,1022.0,7.5,2.8,1.8,0.7,0.0,0.3,1.8,10.6,3.5,0.7,0.3,10.0,0.0,18.0,0.7,13.0,181.9,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
34,13633,"Kirk, Christian",JAC,WR,127.1,17.6,77.1,1072.0,6.3,1.3,1.3,1.7,0.2,0.6,1.3,12.8,2.1,0.7,0.3,7.0,0.0,51.0,1.4,14.3,181.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
35,14109,"McLaurin, Terry",WAS,WR,134.1,12.7,79.5,1082.0,4.3,1.3,0.9,1.1,0.9,0.0,0.0,12.8,2.2,0.7,0.3,10.0,0.0,0.0,0.0,8.3,174.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
36,11232,"Hopkins, DeAndre",TEN,WR,145.5,15.7,78.5,1000.0,5.9,3.5,0.3,0.2,0.4,1.1,0.3,12.2,2.0,0.7,0.2,7.0,0.0,0.0,0.4,14.0,174.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
37,13629,"Ridley, Calvin",TEN,WR,140.0,22.4,68.3,989.0,4.8,1.6,1.0,0.0,1.1,0.0,1.2,7.1,2.0,0.7,0.2,19.0,0.0,17.0,0.0,16.9,166.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
38,16184,"Reed, Jayden",GBP,WR,97.3,14.4,63.6,768.0,6.2,1.3,2.6,0.8,1.6,0.0,0.0,5.1,1.5,0.5,0.2,74.0,1.9,10.0,0.0,12.6,165.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
39,15756,"Williams, Jameson",DET,WR,97.2,15.9,56.3,850.0,4.7,1.5,0.0,0.0,1.2,2.0,0.0,3.4,1.7,0.6,0.2,49.0,2.5,0.0,0.3,13.0,161.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
40,11938,"Thielen, Adam",CAR,WR,140.8,15.3,97.0,928.0,2.8,2.7,0.2,0.0,0.0,0.0,0.0,6.0,1.9,0.6,0.2,5.0,0.0,0.0,0.0,12.5,160.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
41,14105,"Brown, Marquise",KCC,WR,116.7,16.0,69.3,855.0,6.4,5.0,0.3,0.6,0.0,0.3,0.0,7.4,1.7,0.6,0.2,-0.1,0.0,0.0,0.8,12.1,157.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
42,15319,"Palmer, Josh",LAC,WR,116.4,12.5,73.1,969.0,2.9,0.1,0.5,0.0,0.6,0.2,1.4,12.4,1.9,0.6,0.2,12.0,0.0,0.0,0.7,8.6,152.2,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
43,11674,"Cooks, Brandin",DAL,WR,93.1,14.8,57.1,661.0,8.5,5.7,1.2,0.7,0.9,0.0,0.0,2.6,1.3,0.4,0.2,30.0,0.0,0.0,0.0,14.9,150.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
44,13630,"Sutton, Courtland",DEN,WR,103.6,15.4,59.8,800.0,7.2,2.1,2.6,0.5,0.0,1.5,0.6,6.1,1.6,0.5,0.2,0.0,0.0,0.0,1.6,12.3,150.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
45,16204,"Dell, Tank",HOU,WR,108.4,13.6,58.1,755.0,6.3,2.5,0.5,1.3,0.0,1.2,0.8,3.0,1.5,0.5,0.2,62.0,0.0,24.0,0.0,13.0,148.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
46,15779,"Doubs, Romeo",GBP,WR,100.5,17.6,61.1,722.0,7.2,4.6,1.7,0.9,0.0,0.0,0.0,2.9,1.4,0.5,0.2,0.0,0.0,21.0,0.0,11.3,146.2,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
47,16194,"Rice, Rashee",KCC,WR,102.2,19.2,77.4,800.0,4.3,3.3,0.8,0.0,0.2,0.0,0.0,4.2,1.6,0.5,0.2,10.0,0.0,17.0,0.8,12.8,143.8,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
48,11679,"Beckham, Odell",MIA,WR,98.8,15.2,59.3,829.0,5.3,1.8,0.3,0.3,0.3,1.7,0.9,6.3,1.7,0.6,0.2,5.0,0.0,28.0,1.3,14.8,142.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
49,15754,"Olave, Chris",NOS,WR,101.8,9.3,63.4,844.0,4.2,2.0,0.6,1.2,0.0,0.0,0.4,7.9,1.7,0.6,0.2,0.0,0.0,6.0,0.7,7.9,140.8,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
50,16185,"Smith-Njigba, Jaxon",SEA,WR,107.7,12.0,65.7,733.0,5.0,1.2,1.6,1.2,1.0,0.0,0.0,2.9,1.5,0.5,0.2,0.0,0.0,0.0,0.0,11.5,136.9,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
51,15751,"London, Drake",ATL,WR,115.8,16.9,67.9,865.0,2.3,1.4,0.9,0.0,0.0,0.0,0.0,8.0,1.7,0.6,0.2,0.0,0.0,0.0,1.4,12.3,132.3,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
52,12187,"Lockett, Tyler",SEA,WR,117.7,9.7,68.6,763.0,3.2,1.1,0.9,0.5,0.6,0.0,0.0,4.1,1.5,0.5,0.2,0.0,0.0,0.0,0.0,7.6,132.1,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
53,16080,"Shaheed, Rashid",NOS,WR,91.2,8.1,58.7,734.0,4.1,0.0,0.8,0.0,1.9,1.3,0.1,2.9,1.5,0.5,0.2,29.0,0.0,324.0,0.0,8.5,130.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
54,16342,"Douglas, Demario",NEP,WR,115.9,10.1,69.8,822.0,1.5,0.9,0.6,0.0,0.0,0.0,0.0,4.4,1.6,0.5,0.2,43.0,0.0,0.0,0.4,6.0,130.3,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
55,16188,"Johnston, Quentin",LAC,WR,86.8,10.0,61.2,750.0,3.9,1.1,1.2,0.1,0.7,0.0,0.8,7.3,3.8,0.5,0.2,6.0,0.0,5.0,0.5,7.7,128.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
56,16618,"Thomas Jr., Brian",JAC,WR,114.2,14.7,67.5,797.0,2.2,0.4,1.3,0.0,0.4,0.0,0.0,5.2,1.6,0.5,0.2,11.0,0.0,0.0,0.8,9.3,126.2,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
57,15761,"Shakir, Khalil",BUF,WR,57.2,4.2,44.5,680.0,5.0,0.4,2.8,0.0,0.4,0.4,1.0,2.7,1.4,0.5,0.2,9.0,0.0,98.0,0.0,7.0,122.9,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
58,15757,"Robinson, Wan'Dale",NYG,WR,91.8,3.0,67.6,654.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,2.6,1.3,0.4,0.2,64.0,0.8,0.0,0.1,5.8,115.8,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
59,16189,"Mims, Marvin",DEN,WR,74.5,9.4,49.0,729.0,2.5,1.9,0.0,0.3,0.0,0.0,0.3,2.9,1.5,0.5,0.2,21.0,0.0,139.0,0.0,5.7,114.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
60,15755,"Dotson, Jahan",WAS,WR,87.1,11.8,49.4,591.0,4.3,1.3,1.1,1.1,0.7,0.0,0.0,2.4,1.2,0.4,0.1,13.0,0.0,0.0,0.0,9.9,110.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
61,16187,"Downs, Josh",IND,WR,102.3,10.9,66.0,700.0,1.1,1.0,0.0,0.0,0.0,0.0,0.1,2.8,1.4,0.5,0.2,2.0,0.0,32.0,0.0,8.3,110.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
62,16206,"Wilson, Michael",ARI,WR,80.3,9.2,48.0,594.0,2.6,1.7,0.2,0.0,0.0,0.8,0.0,2.4,1.2,0.4,0.1,72.0,0.3,0.0,0.0,5.5,109.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
63,14833,"Jeudy, Jerry",CLE,WR,102.0,12.6,56.2,700.0,1.8,0.0,1.0,0.3,0.0,0.6,0.0,2.8,1.4,0.5,0.2,4.0,0.0,0.0,0.8,8.8,107.9,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
64,12785,"Robinson, Demarcus",LAR,WR,79.8,14.7,42.5,501.0,4.9,4.2,0.0,0.7,0.0,0.0,0.0,2.0,1.0,0.3,0.1,26.0,0.0,5.0,1.2,10.6,104.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
65,16620,"Worthy, Xavier",KCC,WR,77.7,7.8,48.0,606.0,2.8,2.4,0.4,0.0,0.0,0.0,0.0,2.4,1.2,0.4,0.2,15.0,0.0,0.0,0.0,7.1,103.1,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
66,16195,"Wicks, Dontayvion",GBP,WR,67.6,8.1,41.2,612.0,3.8,0.0,1.8,1.2,0.7,0.0,0.0,2.4,1.2,0.4,0.2,1.0,0.0,0.0,0.8,4.6,103.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
67,13157,"Samuel, Curtis",BUF,WR,79.9,10.2,50.4,543.0,2.8,2.3,0.5,0.0,0.0,0.0,0.0,2.2,1.1,0.4,0.1,28.0,0.7,9.0,0.3,9.1,102.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
68,14122,"Slayton, Darius",NYG,WR,75.6,7.1,45.0,587.0,3.3,0.6,1.2,0.0,0.0,0.6,0.8,2.3,1.2,0.4,0.1,0.0,0.0,0.0,0.0,4.6,100.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
69,16629,"Wilson, Roman",PIT,WR,100.3,9.5,53.9,630.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2.5,1.3,0.4,0.2,27.0,0.0,5.0,0.0,6.0,96.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
70,15752,"Burks, Treylon",TEN,WR,117.3,3.5,51.2,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.2,0.4,0.1,82.0,0.0,10.0,0.0,3.5,95.3,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
71,14845,"Davis, Gabriel",JAC,WR,76.2,10.8,38.5,530.0,3.9,1.5,1.1,0.0,0.5,0.0,0.8,2.1,1.1,0.4,0.1,2.0,0.0,59.0,1.0,8.9,95.3,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
72,13418,"Bourne, Kendrick",NEP,WR,70.5,6.0,45.4,522.0,3.1,1.4,1.1,0.6,0.0,0.0,0.0,2.1,1.0,0.3,0.1,18.0,0.0,0.0,1.0,5.0,93.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
73,16196,"Perry, A.T.",NOS,WR,57.4,10.7,32.4,473.0,4.6,1.2,1.9,0.0,1.6,0.0,0.0,1.9,0.9,0.3,0.1,15.0,0.0,71.0,0.0,10.2,92.9,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
74,16616,"Odunze, Rome",CHI,WR,80.3,6.6,36.6,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.3,0.1,51.0,0.0,256.0,0.1,4.8,90.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
75,15293,"Bateman, Rashod",BAL,WR,75.4,5.4,43.2,516.0,2.7,0.8,1.4,0.0,0.0,0.5,0.0,2.1,1.0,0.3,0.1,12.0,0.0,42.0,0.0,4.5,90.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
76,16639,"Legette, Xavier",CAR,WR,75.1,5.3,49.4,571.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,2.3,1.1,0.4,0.1,9.0,0.0,0.0,0.0,4.2,87.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
77,14551,"Irwin, Trenton",CIN,WR,69.4,13.5,41.8,522.0,2.3,0.8,0.0,0.4,1.1,0.0,0.0,2.1,1.0,0.3,0.1,1.0,0.0,9.0,0.0,12.0,86.9,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
78,15288,"Moore, Elijah",CLE,WR,96.6,10.1,50.8,558.0,0.9,0.2,0.8,0.0,0.0,0.0,0.0,2.2,1.1,0.4,0.1,29.0,0.0,15.0,1.6,3.4,86.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
79,12650,"Boyd, Tyler",TEN,WR,78.4,5.6,49.9,514.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,2.1,1.0,0.3,0.1,9.0,0.0,39.0,0.0,3.9,85.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
80,13066,"Raymond, Kalif",DET,WR,53.9,6.7,36.6,545.0,1.5,0.5,0.3,0.0,0.7,0.0,0.0,2.2,1.1,0.4,0.1,32.0,0.0,0.0,0.2,4.8,84.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
81,15301,"Atwell, Tutu",LAR,WR,67.1,6.9,34.7,413.0,2.7,1.6,0.0,0.3,0.8,0.0,0.0,1.7,0.8,0.3,0.1,33.0,0.8,2.0,0.0,6.9,84.3,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
