player,team,pos,rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url
David Montgomery,DET,RB,236.6,1149.0,12.4,38.1,27.5,193.0,0.0,1.2,222.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Alvin Kamara,NOS,RB,231.3,934.0,5.3,91.3,73.2,515.0,0.9,2.1,217.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Joe Mixon,HOU,RB,261.7,1050.0,7.3,54.4,41.4,297.0,2.4,0.0,213.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
James Conner,ARI,RB,231.5,1085.0,7.9,49.5,40.2,252.0,2.2,0.4,213.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Raheem Mostert,MIA,RB,191.4,950.0,12.3,33.0,25.1,161.0,2.8,0.5,213.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Josh Jacobs,GBP,RB,310.6,1222.0,4.9,63.2,46.8,351.0,0.0,1.1,207.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Austin Ekeler,WAS,RB,206.3,725.0,5.8,90.7,67.4,558.0,2.6,2.9,206.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Zamir White,LVR,RB,294.8,1249.0,5.7,55.7,39.2,281.0,0.0,1.0,205.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Brian Robinson,WAS,RB,219.8,900.0,6.0,50.8,40.7,376.0,4.4,3.0,204.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Najee Harris,PIT,RB,272.8,1124.0,8.8,45.6,33.0,188.0,1.0,1.1,204.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Devin Singletary,NYG,RB,275.4,1052.0,7.6,57.6,41.3,275.0,0.9,0.9,204.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Rhamondre Stevenson,NEP,RB,212.5,880.0,5.5,90.5,69.1,409.0,1.4,1.4,201.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Tony Pollard,TEN,RB,238.9,924.0,7.6,66.6,52.4,323.0,0.8,0.6,201.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
D'Andre Swift,CHI,RB,242.1,1138.0,6.0,52.5,39.0,232.0,1.0,0.6,196.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Zack Moss,CIN,RB,219.6,870.0,5.9,55.4,39.9,285.0,3.6,0.0,192.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
James Cook,BUF,RB,211.0,1006.0,1.7,53.1,42.9,398.0,3.9,2.1,191.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Gus Edwards,LAC,RB,225.8,850.0,9.8,45.0,32.4,322.0,0.4,4.2,186.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Javonte Williams,DEN,RB,243.6,900.0,4.3,64.3,51.4,273.0,2.1,1.1,180.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Nick Chubb,CLE,RB,206.2,975.0,6.4,40.5,28.3,211.0,1.2,1.0,177.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jerome Ford,CLE,RB,186.2,675.0,6.1,55.1,37.4,240.0,2.6,0.5,163.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jaylen Warren,PIT,RB,156.1,790.0,3.9,72.3,57.7,357.0,0.0,1.9,163.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Aaron Jones,MIN,RB,213.5,951.0,2.4,56.5,41.2,273.0,0.8,1.2,159.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Samaje Perine,DEN,RB,100.4,400.0,0.2,103.7,86.5,722.0,0.4,0.8,158.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Ezekiel Elliott,DAL,RB,199.4,750.0,4.2,62.0,47.9,265.0,0.8,0.3,155.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jonathon Brooks,CAR,RB,196.4,792.0,4.6,41.8,33.0,271.0,0.3,0.5,151.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Chuba Hubbard,CAR,RB,221.1,870.0,2.8,45.7,36.8,275.0,0.0,0.0,149.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Tyjae Spears,TEN,RB,114.3,500.0,1.8,82.6,62.9,476.0,1.6,0.0,149.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Tyler Allgeier,ATL,RB,188.5,805.0,3.4,21.5,17.8,191.0,1.3,0.0,138.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Rico Dowdle,DAL,RB,156.0,625.0,3.4,40.8,29.7,256.0,2.3,0.0,137.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Antonio Gibson,NEP,RB,109.5,412.0,2.4,61.0,48.5,336.0,1.6,0.0,123.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Zach Charbonnet,SEA,RB,130.3,577.0,0.7,53.5,45.9,302.0,0.3,0.2,116.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Ty Chandler,MIN,RB,132.3,529.0,4.1,35.3,28.9,179.0,0.0,0.0,109.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Justice Hill,BAL,RB,98.1,450.0,2.1,54.9,33.0,258.0,0.8,0.6,103.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Khalil Herbert,CHI,RB,155.4,633.0,2.2,36.7,24.3,136.0,0.1,0.7,103.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Chase Brown,CIN,RB,106.1,444.0,0.5,36.6,31.0,287.0,1.7,0.0,101.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
AJ Dillon,GBP,RB,161.3,595.0,1.2,28.6,23.4,226.0,0.0,0.0,100.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Roschon Johnson,CHI,RB,88.2,400.0,2.7,57.6,41.4,231.0,0.0,0.0,99.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
J.K. Dobbins,LAC,RB,133.3,800.0,0.0,17.9,16.4,78.0,0.0,0.0,96.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kenneth Gainwell,PHI,RB,86.0,417.0,2.4,40.7,32.9,230.0,0.0,0.6,95.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Emari Demercado,ARI,RB,97.1,415.0,2.2,42.6,34.6,190.0,0.0,0.0,90.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Elijah Mitchell,SFO,RB,108.3,462.0,5.1,12.2,10.0,51.0,0.2,0.0,88.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Ty Johnson,BUF,RB,86.7,359.0,1.9,30.6,23.6,188.0,1.4,0.9,84.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jamaal Williams,NOS,RB,135.1,409.0,2.8,27.9,25.1,117.0,0.0,0.0,82.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Audric Estime,DEN,RB,80.9,450.0,0.0,48.1,35.4,189.0,0.0,0.8,82.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Cam Akers,HOU,RB,105.1,420.0,2.1,22.6,19.3,141.0,0.0,0.0,78.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Alexander Mattison,LVR,RB,102.8,419.0,0.7,34.4,22.6,154.0,1.1,1.1,77.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Latavius Murray,BUF,RB,85.2,296.0,4.0,23.5,16.9,131.0,0.0,0.0,75.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
MarShawn Lloyd,GBP,RB,106.3,443.0,1.7,31.5,19.8,113.0,0.0,0.4,74.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Dameon Pierce,HOU,RB,139.6,440.0,0.9,24.0,18.1,121.0,0.7,0.0,74.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Keaton Mitchell,BAL,RB,93.8,483.0,1.6,18.8,14.0,140.0,0.0,2.6,73.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jaleel McLaughlin,DEN,RB,64.4,326.0,0.9,30.8,26.2,132.0,1.1,0.0,72.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Evan Hull,IND,RB,95.9,457.0,0.0,29.5,23.2,139.0,0.0,0.3,71.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Miles Sanders,CAR,RB,126.0,411.0,0.2,38.4,26.3,146.0,0.0,1.4,67.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
D'Onta Foreman,CLE,RB,101.5,399.0,2.8,11.7,8.7,57.0,0.0,0.0,66.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Clyde Edwards-Helaire,KCC,RB,64.2,205.0,0.8,30.3,23.2,217.0,1.1,0.0,65.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Michael Carter,ARI,RB,39.1,200.0,0.0,64.9,46.5,174.0,0.5,0.0,63.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Bucky Irving,TBB,RB,96.6,348.0,0.0,33.7,26.2,129.0,0.4,0.9,61.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Israel Abanikanda,NYJ,RB,83.7,277.0,0.0,45.0,30.9,187.0,0.0,1.3,59.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Trey Benson,ARI,RB,58.7,270.0,1.2,27.8,21.3,119.0,0.1,0.0,57.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Nyheim Hines,CLE,RB,64.7,388.0,0.7,12.9,8.7,47.0,0.0,0.0,52.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Blake Corum,LAR,RB,94.3,327.0,1.4,12.1,7.4,61.0,0.0,0.0,51.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Pierre Strong Jr.,CLE,RB,72.8,329.0,1.5,10.1,5.7,22.0,0.0,0.0,46.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kyle Juszczyk,SFO,RB,9.7,15.0,0.0,24.5,18.9,216.0,1.7,0.0,42.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
D'Ernest Johnson,JAC,RB,60.5,189.0,0.6,13.9,9.5,153.0,0.0,0.3,41.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Eric Gray,NYG,RB,55.1,175.0,0.0,27.3,20.6,115.0,0.0,0.0,39.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kevin Harris,NEP,RB,28.5,117.0,2.2,12.1,7.2,85.0,0.0,0.0,36.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Salvon Ahmed,MIA,RB,29.7,125.0,1.3,20.9,13.7,89.0,0.1,0.0,36.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Joshua Kelley,LAC,RB,92.7,282.0,0.3,13.6,9.1,36.0,0.0,1.1,35.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Malik Davis,DAL,RB,45.1,148.0,0.5,12.7,10.1,114.0,0.0,0.0,34.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Ameer Abdullah,LVR,RB,16.2,93.0,0.0,25.7,20.2,136.0,0.1,0.0,33.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Matt Breida,NYG,RB,49.5,137.0,1.0,19.5,15.3,56.0,0.0,0.0,33.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Chris Rodriguez,WAS,RB,69.3,309.0,0.0,5.0,3.3,19.0,0.0,1.6,31.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Avery Williams,ATL,RB,51.5,199.0,0.0,16.5,13.6,61.0,0.0,1.0,30.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Ray Davis,BUF,RB,48.8,195.0,0.0,8.9,5.1,55.0,0.5,0.0,30.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Alec Ingold,MIA,RB,11.3,44.0,1.5,19.4,10.3,90.0,0.3,0.0,29.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Dare Ogunbowale,HOU,RB,43.1,139.0,0.6,19.5,11.0,58.0,0.0,0.0,29.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Deuce Vaughn,DAL,RB,60.6,114.0,0.0,23.1,15.4,93.0,0.0,0.0,28.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Craig Reynolds,DET,RB,46.8,183.0,0.3,7.3,7.3,72.0,0.0,1.4,28.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jaylen Wright,MIA,RB,29.7,126.0,0.0,22.5,12.8,88.0,0.0,0.0,28.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Cordarrelle Patterson,PIT,RB,35.0,124.0,0.7,11.0,7.3,28.0,0.8,0.0,27.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Chase Edmonds,TBB,RB,48.4,148.0,0.0,16.1,12.7,63.0,0.0,0.0,27.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kendre Miller,NOS,RB,29.1,90.0,0.7,11.2,10.8,86.0,0.0,0.0,27.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
C.J. Ham,MIN,RB,3.1,2.0,1.5,19.5,16.4,82.0,0.0,0.0,25.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Tank Bigsby,JAC,RB,59.9,143.0,1.7,7.2,1.9,24.0,0.0,1.4,24.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Gary Brightwell,FA,RB,31.7,92.0,0.0,15.7,10.6,96.0,0.0,0.0,24.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Rasheen Ali,BAL,RB,47.7,179.0,0.0,11.8,7.4,57.0,0.1,2.5,23.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Isaac Guerendo,SFO,RB,32.7,132.0,0.0,9.9,7.3,65.0,0.0,0.0,23.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Ronnie Rivers,LAR,RB,52.8,162.0,0.0,8.3,7.2,35.0,0.0,0.0,23.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Raheem Blackshear,CAR,RB,21.0,59.0,0.3,12.3,10.8,67.0,0.0,0.0,22.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Royce Freeman,DAL,RB,45.8,147.0,0.2,6.6,4.6,33.0,0.0,0.0,21.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Keaontay Ingram,KCC,RB,35.2,104.0,0.0,11.8,8.0,37.0,0.5,0.0,21.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Andrew Beck,HOU,RB,5.2,3.0,1.0,12.8,8.5,55.0,1.3,1.6,20.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Hassan Haskins,TEN,RB,22.0,76.0,0.0,13.0,11.6,66.0,0.0,0.0,20.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Isaiah Spiller,LAC,RB,39.1,87.0,0.0,10.3,10.3,59.0,0.0,0.0,19.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Sione Vaki,DET,RB,34.5,99.0,0.0,11.2,7.1,53.0,0.0,0.0,18.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Trey Sermon,IND,RB,30.6,130.0,0.0,10.3,5.1,22.0,0.0,0.0,17.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Darrynton Evans,BUF,RB,22.6,91.0,0.2,7.2,5.5,39.0,0.0,0.0,17.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Zonovan Knight,DET,RB,47.8,87.0,0.0,7.0,5.8,56.0,0.0,0.0,17.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Braelon Allen,NYJ,RB,36.5,95.0,0.0,13.8,8.1,41.0,0.0,0.6,16.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Trayveon Williams,CIN,RB,22.4,96.0,0.0,9.6,8.0,27.0,0.0,0.0,16.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Tyler Goodson,IND,RB,19.5,98.0,0.0,13.6,5.7,35.0,0.0,0.0,16.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Emanuel Wilson,GBP,RB,19.6,117.0,0.0,5.4,3.2,24.0,0.0,0.0,15.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Will Shipley,PHI,RB,30.4,109.0,0.0,7.0,3.8,20.0,0.0,0.0,14.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Patrick Taylor,SFO,RB,27.7,111.0,0.0,5.3,3.1,20.0,0.0,0.0,14.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Deon Jackson,FA,RB,35.6,76.0,0.0,13.9,12.2,33.0,0.9,4.7,13.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Tyrone Tracy,NYG,RB,8.9,20.0,0.0,10.1,7.7,38.0,0.0,0.0,9.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Marlon Mack,ARI,RB,2.3,11.0,0.0,2.8,1.4,28.0,0.7,0.0,8.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kimani Vidal,LAC,RB,29.9,66.0,0.0,7.5,5.2,18.0,0.0,1.2,8.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
DeeJay Dallas,ARI,RB,11.7,40.0,0.0,8.1,4.8,21.0,0.0,0.0,8.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Boston Scott,LAR,RB,10.3,36.0,0.0,4.2,2.2,36.0,0.0,0.0,8.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Travis Homer,CHI,RB,8.9,31.0,0.0,11.8,4.1,27.0,0.0,0.0,7.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kenny McIntosh,SEA,RB,8.3,37.0,0.0,4.2,3.1,18.0,0.0,0.0,7.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kene Nwangwu,MIN,RB,11.1,24.0,0.0,4.1,3.4,26.0,0.0,0.0,6.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Nick Bawden,NYJ,RB,2.1,6.0,0.4,3.1,3.1,20.0,0.0,0.0,6.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
