player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Calvin Austin III,PIT,WR,78.7,42.3,578.0,1.3,41.0,1.4,0.0,99.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Tyler Boyd,TEN,WR,91.5,58.2,600.0,1.5,11.0,0.0,0.0,99.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Darius Slayton,NYG,WR,70.2,42.7,585.0,2.9,5.0,0.0,0.0,97.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Andrei Iosivas,CIN,WR,77.5,43.5,515.0,4.0,8.0,0.0,0.3,97.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Curtis Samuel,BUF,WR,75.9,47.8,516.0,2.7,27.0,0.6,0.4,97.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jerry Jeudy,CLE,WR,91.5,50.4,628.0,1.6,4.0,0.0,0.7,96.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Gabriel Davis,JAC,WR,76.2,38.5,530.0,3.9,2.0,0.0,1.0,95.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Rome Odunze,CHI,WR,80.3,36.6,700.0,0.0,51.0,0.0,0.1,93.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Kendrick Bourne,NEP,WR,70.5,45.4,522.0,3.1,18.0,0.0,1.0,93.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
A.T. Perry,NOS,WR,57.4,32.4,473.0,4.6,15.0,0.0,0.0,92.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
