player,team,pos,source,source_url,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fpts
Jakobi Meyers,LV,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,72,842,6,3,16,0,157.8
Josh Downs,IND,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,79,893,4,2,12,0,154.0
Khalil Shakir,BUF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,61,945,6,2,19,0,162.9
Josh Palmer,LAC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,71,844,6,2,11,0,157.0
Brian Thomas Jr.,JAX,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,65,875,6,4,26,0,158.6
Xavier Legette,CAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,68,904,5,1,5,0,154.9
Mike Williams,NYJ,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,880,6,2,12,0,156.2
Adam Thielen,CAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,77,785,4,1,4,0,141.4
Tyler Lockett,SEA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,69,794,5,1,6,0,144.5
Adonai Mitchell,IND,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,59,806,6,0,0,0,146.1
Troy Franklin,DEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,824,5,2,11,0,144.5
Brandin Cooks,DAL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,61,750,6,4,27,0,144.2
Rashid Shaheed,NO,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,847,5,6,47,0,146.4
Wan'Dale Robinson,NYG,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,78,710,3,8,63,0,134.3
Darnell Mooney,ATL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,775,5,3,16,0,140.1
Romeo Doubs,GB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,61,671,7,0,0,0,139.6
Quentin Johnston,LAC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,713,5,4,16,0,133.9
Rome Odunze,CHI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,59,785,4,3,16,0,133.6
Demario Douglas,NE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,713,3,10,54,0,125.69999999999999
Jalin Hyatt,NYG,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,52,806,4,0,0,0,130.6
Jermaine Burton,CIN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,55,715,5,0,0,0,129.0
Dontayvion Wicks,GB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,698,5,2,13,0,128.1
Kendrick Bourne,NE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,696,5,2,11,0,127.69999999999999
Darius Slayton,NYG,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,51,791,4,0,0,0,128.6
Calvin Austin III,PIT,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,53,587,4,21,116,1,126.80000000000001
Roman Wilson,PIT,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,49,730,4,4,26,0,124.1
Jonathan Mingo,CAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,61,616,4,0,0,0,116.1
Alec Pierce,IND,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,47,714,4,0,0,0,118.9
K.J. Osborn,NE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,631,4,1,5,0,114.6
Rashod Bateman,BAL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,675,3,1,7,0,113.19999999999999
Odell Beckham Jr.,MIA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,48,672,4,1,6,0,115.80000000000001
Ricky Pearsall,SF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,52,563,4,1,6,0,106.9
Marvin Mims,DEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,42,646,3,8,39,0,107.5
Tyler Boyd,TEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,51,558,3,1,6,0,99.9
Tre Tucker,LV,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,39,587,2,12,89,0,99.1
JuJu Smith-Schuster,NE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,49,508,3,0,0,0,93.3
Michael Thomas,NO,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,46,529,2,0,0,0,87.9
Elijah Moore,CLE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,43,503,2,7,31,0,86.9
Xavier Gipson,NYJ,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,42,441,2,10,81,0,85.2
Treylon Burks,TEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,38,525,2,4,27,0,86.2
Trey Palmer,TB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,41,406,3,4,25,0,81.6
Rondale Moore,ATL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,42,373,2,13,84,0,78.7
Tim Patrick,DEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,33,462,3,0,0,0,80.7
Demarcus Robinson,LAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,34,391,4,0,0,0,80.1
Robert Woods,HOU,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,38,459,2,1,6,0,77.5
A.T. Perry,NO,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,31,466,3,1,7,0,80.8
Quez Watkins,PIT,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,35,444,2,1,5,0,74.4
Greg Dortch,ARI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,39,375,2,4,30,0,72.0
