rank,player,rec,rec_tgt,rec_yds,rec_yds_per_rec,rec_longest,rec_20_plus,rec_td,rush_att,rush_yds,rush_td,fumbles,g,fpts,fpts_per_game,rost,year,week,pos
19,Frank Wycheck (FA),3,5,47,15.7,18,0,0,0,0,0,0,1,6.2,6.2,0.0%,2002,1,te
20,Jeremy Shockey (FA),3,7,44,14.7,20,0,0,0,0,0,0,1,5.9,5.9,0.0%,2002,1,te
21,Eric Johnson (FA),3,5,44,14.7,38,0,0,0,0,0,0,1,5.9,5.9,0.0%,2002,1,te
22,Shannon Sharpe (FA),3,6,31,10.3,14,0,0,0,0,0,0,1,4.6,4.6,0.0%,2002,1,te
23,Mark Bruener (FA),4,4,25,6.3,8,0,0,0,0,0,0,1,4.5,4.5,0.0%,2002,1,te
24,Todd Heap (FA),5,5,20,4.0,5,0,0,0,0,0,0,1,4.5,4.5,0.0%,2002,1,te
25,Mark Campbell (FA),2,2,27,13.5,18,0,0,0,0,0,0,1,3.7,3.7,0.0%,2002,1,te
26,Jerramy Stevens (FA),3,4,18,6.0,11,0,0,0,0,0,0,1,3.3,3.3,0.0%,2002,1,te
27,Erron Kinney (FA),1,1,25,25.0,25,0,0,0,0,0,0,1,3.0,3.0,0.0%,2002,1,te
28,Marcus Pollard (FA),3,3,34,11.3,23,0,0,0,0,0,1,1,2.9,2.9,0.0%,2002,1,te
29,Jerry Porter (FA),1,2,18,18.0,18,0,0,1,4,0,0,1,2.7,2.7,0.0%,2002,1,te
30,Kris Mangum (FA),2,2,14,7.0,9,0,0,0,0,0,0,1,2.4,2.4,0.0%,2002,1,te
31,Zeron Flemister (FA),1,2,19,19.0,19,0,0,0,0,0,0,1,2.4,2.4,0.0%,2002,1,te
32,Roland Williams (FA),1,2,16,16.0,16,0,0,0,0,0,0,1,2.1,2.1,0.0%,2002,1,te
33,Ken Dilger (FA),2,5,7,3.5,5,0,0,0,0,0,0,1,1.7,1.7,0.0%,2002,1,te
34,David Sloan (FA),1,1,12,12.0,12,0,0,0,0,0,0,1,1.7,1.7,0.0%,2002,1,te
35,Jay Riemersma (FA),1,1,11,11.0,11,0,0,0,0,0,0,1,1.6,1.6,0.0%,2002,1,te
36,John Davis (FA),1,1,10,10.0,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2002,1,te
37,Todd Yoder (FA),1,3,10,10.0,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2002,1,te
38,Freddie Jones (FA),1,5,10,10.0,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2002,1,te
39,Dan Campbell (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2002,1,te
40,Jermaine Wiggins (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2002,1,te
41,Bubba Franks (FA),1,1,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2002,1,te
42,Kyle Brady (FA),1,1,1,1.0,1,0,0,0,0,0,0,1,0.6,0.6,0.0%,2002,1,te
43,Jason Dunn (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
44,Randal Williams (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
45,Stephen Alexander (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
46,Reggie Kelly (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
47,Leonard Stephens (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
48,Mondriel Fulcher (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
49,Ryan Hannam (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
50,Mike Lucky (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
51,Jerame Tuman (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
52,Shad Meier (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
53,Darnell Sanders (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
54,Bradford Banta (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
55,Ed Perry (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
56,Fred Baxter (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
57,Marcellus Rivers (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
58,Cory Geason (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
59,John Owens (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
60,Brad St. Louis (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
61,Daniel Graham (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,te
1,Jerry Porter (FA),6,7,62,10.3,21,0,1,0,0,0,0,1,15.2,15.2,0.0%,2002,2,te
2,Jeremy Shockey (FA),4,5,50,12.5,28,0,1,0,0,0,0,1,13.0,13.0,0.0%,2002,2,te
3,Anthony Becht (FA),4,4,33,8.3,11,0,1,0,0,0,0,1,11.3,11.3,0.0%,2002,2,te
4,Tony Gonzalez (FA),3,6,34,11.3,17,0,1,0,0,0,0,1,10.9,10.9,0.0%,2002,2,te
5,Eric Johnson (FA),7,10,69,9.9,15,0,0,0,0,0,0,1,10.4,10.4,0.0%,2002,2,te
6,Frank Wycheck (FA),4,9,24,6.0,15,0,1,0,0,0,0,1,10.4,10.4,0.0%,2002,2,te
7,Itula Mili (FA),4,6,18,4.5,11,0,1,0,0,0,0,1,9.8,9.8,0.0%,2002,2,te
8,Roland Williams (FA),7,8,55,7.9,14,0,0,0,0,0,0,1,9.0,9.0,0.0%,2002,2,te
9,Jeff Thomason (FA),2,2,18,9.0,16,0,1,0,0,0,0,1,8.8,8.8,0.0%,2002,2,te
10,Cameron Cleeland (FA),3,4,11,3.7,6,0,1,0,0,0,0,1,8.6,8.6,0.0%,2002,2,te
11,Jimmy Kleinsasser (FA),6,8,56,9.3,11,0,0,0,0,0,0,1,8.6,8.6,0.0%,2002,2,te
12,Kyle Brady (FA),5,8,60,12.0,14,0,0,0,0,0,0,1,8.5,8.5,0.0%,2002,2,te
13,Tony McGee (FA),1,1,17,17.0,17,0,1,0,0,0,0,1,8.2,8.2,0.0%,2002,2,te
14,Shannon Sharpe (FA),5,5,52,10.4,16,0,0,0,0,0,0,1,7.7,7.7,0.0%,2002,2,te
15,Jay Riemersma (FA),2,3,38,19.0,28,0,0,0,0,0,0,1,4.8,4.8,0.0%,2002,2,te
16,Randy McMichael (FA),2,3,34,17.0,24,0,0,0,0,0,0,1,4.4,4.4,0.0%,2002,2,te
17,Mikhael Ricks (FA),3,5,28,9.3,12,0,0,0,0,0,0,1,4.3,4.3,0.0%,2002,2,te
18,Alge Crumpler (FA),3,4,28,9.3,12,0,0,0,0,0,0,1,4.3,4.3,0.0%,2002,2,te
19,John Davis (FA),1,1,37,37.0,37,0,0,0,0,0,0,1,4.2,4.2,0.0%,2002,2,te
20,Todd Heap (FA),3,8,20,6.7,11,0,0,0,0,0,0,1,3.5,3.5,0.0%,2002,2,te
21,Mark Campbell (FA),2,6,19,9.5,12,0,0,0,0,0,0,1,2.9,2.9,0.0%,2002,2,te
22,Josh Norman (FA),2,2,18,9.0,18,0,0,0,0,0,0,1,2.8,2.8,0.0%,2002,2,te
23,Jerramy Stevens (FA),2,5,16,8.0,11,0,0,0,0,0,0,1,2.6,2.6,0.0%,2002,2,te
24,Pete Mitchell (FA),2,2,15,7.5,8,0,0,0,0,0,0,1,2.5,2.5,0.0%,2002,2,te
25,Wesley Walls (FA),1,2,20,20.0,20,0,0,0,0,0,0,1,2.5,2.5,0.0%,2002,2,te
26,David Sloan (FA),1,2,20,20.0,20,0,0,0,0,0,0,1,2.5,2.5,0.0%,2002,2,te
27,Ernie Conwell (FA),1,1,20,20.0,20,0,0,0,0,0,0,1,2.5,2.5,0.0%,2002,2,te
28,Doug Jolley (FA),1,1,15,15.0,15,0,0,0,0,0,0,1,2.0,2.0,0.0%,2002,2,te
29,Chad Lewis (FA),1,3,14,14.0,14,0,0,0,0,0,0,1,1.9,1.9,0.0%,2002,2,te
30,Bubba Franks (FA),1,4,13,13.0,13,0,0,0,0,0,0,1,1.8,1.8,0.0%,2002,2,te
31,Stephen Alexander (FA),3,7,3,1.0,7,0,0,0,0,0,0,1,1.8,1.8,0.0%,2002,2,te
32,Jason Dunn (FA),1,1,11,11.0,11,0,0,0,0,0,0,1,1.6,1.6,0.0%,2002,2,te
33,Dan Campbell (FA),2,2,5,2.5,5,0,0,0,0,0,0,1,1.5,1.5,0.0%,2002,2,te
34,Mark Bruener (FA),1,1,10,10.0,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2002,2,te
35,Freddie Jones (FA),1,3,10,10.0,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2002,2,te
36,Steve Bush (FA),1,2,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2002,2,te
37,David Martin (FA),2,3,4,2.0,5,0,0,0,0,0,0,1,1.4,1.4,0.0%,2002,2,te
38,Steve Heiden (FA),1,1,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2002,2,te
39,Kris Mangum (FA),1,3,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2002,2,te
40,John Jones (FA),1,1,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2002,2,te
41,Fred Baxter (FA),1,1,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2002,2,te
42,Brandon Manumaleuna (FA),1,1,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2002,2,te
43,Darnell Sanders (FA),1,1,0,0.0,0,0,0,0,0,0,0,1,0.5,0.5,0.0%,2002,2,te
44,Mike Bartrum (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
45,Chris Luzar (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
46,Randal Williams (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
47,John Allred (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
48,Mondriel Fulcher (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
49,Jermaine Wiggins (FA),0,3,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
50,Reggie Kelly (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
51,Leonard Stephens (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
52,Zeron Flemister (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
53,James Whalen (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
54,Jerame Tuman (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
55,Joe Dean Davenport (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
56,Sean Brewer (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
57,Matt Schobel (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
58,Marco Battaglia (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
59,Stephen Trejo (FA),0,0,0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0%,2002,2,te
60,Ed Perry (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
61,Matt Cercone (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
62,Todd Yoder (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,te
63,Daniel Graham (FA),1,1,-6,-6.0,0,0,0,0,0,0,0,1,-0.1,-0.1,0.0%,2002,2,te
1,Bubba Franks (FA),9,9,62,6.9,19,0,1,0,0,0,0,1,16.7,16.7,0.0%,2002,3,te
2,Randy McMichael (FA),5,8,79,15.8,36,0,1,0,0,0,0,1,16.4,16.4,0.0%,2002,3,te
3,Zeron Flemister (FA),3,4,57,19.0,25,0,1,0,0,0,0,1,13.2,13.2,0.0%,2002,3,te
4,Rickey Dudley (FA),2,3,15,7.5,9,0,1,0,0,0,0,1,8.5,8.5,0.0%,2002,3,te
5,Daniel Graham (FA),1,2,18,18.0,18,0,1,0,0,0,0,1,8.3,8.3,0.0%,2002,3,te
6,Jeremy Shockey (FA),4,9,48,12.0,21,0,0,0,0,0,0,1,6.8,6.8,0.0%,2002,3,te
7,Freddie Jones (FA),5,9,39,7.8,12,0,0,0,0,0,0,1,6.4,6.4,0.0%,2002,3,te
8,Jay Riemersma (FA),4,4,44,11.0,24,0,0,0,0,0,0,1,6.4,6.4,0.0%,2002,3,te
9,Ken Dilger (FA),5,6,38,7.6,9,0,0,0,0,0,0,1,6.3,6.3,0.0%,2002,3,te
10,Stephen Alexander (FA),3,4,44,14.7,19,0,0,0,0,0,0,1,5.9,5.9,0.0%,2002,3,te
11,Wesley Walls (FA),4,4,36,9.0,20,0,0,0,0,0,0,1,5.6,5.6,0.0%,2002,3,te
12,John Davis (FA),4,6,34,8.5,14,0,0,0,0,0,0,1,5.4,5.4,0.0%,2002,3,te
13,David Sloan (FA),2,4,33,16.5,29,0,0,0,0,0,0,1,4.3,4.3,0.0%,2002,3,te
14,Tony McGee (FA),2,2,27,13.5,19,0,0,0,0,0,0,1,3.7,3.7,0.0%,2002,3,te
15,Chad Lewis (FA),3,6,21,7.0,8,0,0,0,0,0,0,1,3.6,3.6,0.0%,2002,3,te
16,Eric Johnson (FA),3,5,20,6.7,7,0,0,0,0,0,0,1,3.5,3.5,0.0%,2002,3,te
17,Marcus Pollard (FA),2,4,25,12.5,19,0,0,0,0,0,0,1,3.5,3.5,0.0%,2002,3,te
18,Ernie Conwell (FA),2,2,20,10.0,14,0,0,0,0,0,0,1,3.0,3.0,0.0%,2002,3,te
19,Anthony Becht (FA),1,2,21,21.0,21,0,0,0,0,0,0,1,2.6,2.6,0.0%,2002,3,te
20,Tony Gonzalez (FA),1,2,17,17.0,17,0,0,0,0,0,0,1,2.2,2.2,0.0%,2002,3,te
21,Todd Yoder (FA),1,1,16,16.0,16,0,0,0,0,0,0,1,2.1,2.1,0.0%,2002,3,te
22,Mark Campbell (FA),2,2,11,5.5,6,0,0,0,0,0,0,1,2.1,2.1,0.0%,2002,3,te
23,Alge Crumpler (FA),1,1,15,15.0,15,0,0,0,0,0,0,1,2.0,2.0,0.0%,2002,3,te
24,Steve Bush (FA),1,2,13,13.0,13,0,0,0,0,0,0,1,1.8,1.8,0.0%,2002,3,te
25,Frank Wycheck (FA),2,2,6,3.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,2002,3,te
26,Steve Heiden (FA),1,1,11,11.0,11,0,0,0,0,0,0,1,1.6,1.6,0.0%,2002,3,te
27,Joe Dean Davenport (FA),1,1,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2002,3,te
28,Mike Bartrum (FA),1,1,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2002,3,te
29,Aaron Shea (FA),1,1,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2002,3,te
30,Christian Fauria (FA),1,1,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2002,3,te
31,Mikhael Ricks (FA),1,7,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2002,3,te
32,Billy Baber (FA),1,1,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2002,3,te
33,Dustin Lyman (FA),1,1,6,6.0,6,0,0,0,0,0,0,1,1.1,1.1,0.0%,2002,3,te
34,Matt Schobel (FA),1,1,6,6.0,6,0,0,0,0,0,0,1,1.1,1.1,0.0%,2002,3,te
35,Jerramy Stevens (FA),1,2,5,5.0,5,0,0,0,0,0,0,1,1.0,1.0,0.0%,2002,3,te
36,David Martin (FA),1,1,5,5.0,5,0,0,0,0,0,0,1,1.0,1.0,0.0%,2002,3,te
37,Cameron Cleeland (FA),1,1,5,5.0,5,0,0,0,0,0,0,1,1.0,1.0,0.0%,2002,3,te
38,Fred Baxter (FA),1,2,4,4.0,4,0,0,0,0,0,0,1,0.9,0.9,0.0%,2002,3,te
39,Patrick Hape (FA),1,1,3,3.0,3,0,0,0,0,0,0,1,0.8,0.8,0.0%,2002,3,te
40,Lamont Hall (FA),1,1,2,2.0,2,0,0,0,0,0,0,1,0.7,0.7,0.0%,2002,3,te
41,Reggie Kelly (FA),1,1,1,1.0,1,0,0,0,0,0,0,1,0.6,0.6,0.0%,2002,3,te
42,Kendall Gammon (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
43,Josh Norman (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
44,Dave Moore (FA),0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
45,Jeff Thomason (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
46,Brian Kozlowski (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
47,Rod Rutledge (FA),0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
48,Randal Williams (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
49,Stephen Trejo (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
50,James Whalen (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
51,Itula Mili (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
52,Boo Williams (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
53,Shannon Sharpe (FA),0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
54,Kris Mangum (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
55,Dan Campbell (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
56,Justin Peelle (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
57,Brandon Manumaleuna (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,te
58,Jermaine Wiggins (FA),1,1,8,8.0,8,0,0,0,0,0,1,1,-0.7,-0.7,0.0%,2002,3,te
1,Tony Gonzalez (FA),7,9,140,20.0,42,0,3,0,0,0,0,1,35.5,35.5,0.0%,2002,4,te
2,Todd Heap (FA),5,8,84,16.8,33,0,2,0,0,0,0,1,22.9,22.9,0.0%,2002,4,te
3,Shannon Sharpe (FA),9,12,75,8.3,13,0,0,0,0,0,0,1,12.0,12.0,0.0%,2002,4,te
4,Christian Fauria (FA),4,5,39,9.8,24,0,1,0,0,0,0,1,11.9,11.9,0.0%,2002,4,te
5,Dave Moore (FA),3,3,38,12.7,19,0,1,0,0,0,0,1,11.3,11.3,0.0%,2002,4,te
6,Jerry Porter (FA),2,2,35,17.5,25,0,1,0,0,0,0,1,10.5,10.5,0.0%,2002,4,te
7,Bubba Franks (FA),4,6,33,8.3,15,0,0,0,0,0,0,1,10.5,10.5,0.0%,2002,4,te
8,Ken Dilger (FA),2,3,33,16.5,22,0,1,0,0,0,0,1,10.3,10.3,0.0%,2002,4,te
9,Rickey Dudley (FA),1,2,35,35.0,35,0,1,0,0,0,0,1,10.0,10.0,0.0%,2002,4,te
10,John Davis (FA),3,4,14,4.7,6,0,1,0,0,0,0,1,8.9,8.9,0.0%,2002,4,te
11,Jeremy Shockey (FA),4,7,56,14.0,23,0,0,0,0,0,0,1,7.6,7.6,0.0%,2002,4,te
12,Billy Baber (FA),1,1,3,3.0,3,0,1,0,0,0,0,1,6.8,6.8,0.0%,2002,4,te
13,Patrick Hape (FA),1,4,2,2.0,2,0,1,0,0,0,0,1,6.7,6.7,0.0%,2002,4,te
14,Jay Riemersma (FA),4,5,46,11.5,29,0,0,0,0,0,0,1,6.6,6.6,0.0%,2002,4,te
15,James Whalen (FA),5,6,38,7.6,10,0,0,0,0,0,0,1,6.3,6.3,0.0%,2002,4,te
16,Freddie Jones (FA),5,5,34,6.8,23,0,0,0,0,0,0,1,5.9,5.9,0.0%,2002,4,te
17,Chad Lewis (FA),5,10,31,6.2,14,0,0,0,0,0,1,1,5.6,5.6,0.0%,2002,4,te
18,Frank Wycheck (FA),4,8,32,8.0,10,0,0,0,0,0,0,1,5.2,5.2,0.0%,2002,4,te
19,Ernie Conwell (FA),2,5,33,16.5,25,0,0,1,2,0,0,1,4.5,4.5,0.0%,2002,4,te
20,Byron Chamberlain (FA),3,7,29,9.7,14,0,0,0,0,0,0,1,4.4,4.4,0.0%,2002,4,te
21,Mikhael Ricks (FA),1,3,34,34.0,34,0,0,0,0,0,0,1,3.9,3.9,0.0%,2002,4,te
22,Anthony Becht (FA),2,4,25,12.5,13,0,0,0,0,0,0,1,3.5,3.5,0.0%,2002,4,te
23,Aaron Shea (FA),2,2,22,11.0,18,0,0,0,0,0,0,1,3.2,3.2,0.0%,2002,4,te
24,Billy Miller (FA),2,2,22,11.0,12,0,0,0,0,0,0,1,3.2,3.2,0.0%,2002,4,te
25,Daniel Graham (FA),2,3,20,10.0,15,0,0,0,0,0,0,1,3.0,3.0,0.0%,2002,4,te
26,Randy McMichael (FA),2,4,18,9.0,13,0,0,0,0,0,0,1,2.8,2.8,0.0%,2002,4,te
27,Roland Williams (FA),2,4,18,9.0,10,0,0,0,0,0,0,1,2.8,2.8,0.0%,2002,4,te
28,Kris Mangum (FA),2,3,17,8.5,11,0,0,0,0,0,0,1,2.7,2.7,0.0%,2002,4,te
29,Doug Jolley (FA),2,3,16,8.0,10,0,0,0,0,0,0,1,2.6,2.6,0.0%,2002,4,te
30,Kyle Brady (FA),1,1,19,19.0,19,0,0,0,0,0,0,1,2.4,2.4,0.0%,2002,4,te
31,Mark Campbell (FA),2,2,11,5.5,8,0,0,0,0,0,0,1,2.1,2.1,0.0%,2002,4,te
32,Jeff Thomason (FA),1,2,13,13.0,13,0,0,0,0,0,0,1,1.8,1.8,0.0%,2002,4,te
33,Jerramy Stevens (FA),1,2,10,10.0,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2002,4,te
34,Pete Mitchell (FA),1,1,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2002,4,te
35,David Sloan (FA),1,6,6,6.0,6,0,0,0,0,0,0,1,1.1,1.1,0.0%,2002,4,te
36,Chris Luzar (FA),1,1,5,5.0,5,0,0,0,0,0,0,1,1.0,1.0,0.0%,2002,4,te
37,Matt Schobel (FA),1,1,4,4.0,4,0,0,0,0,0,0,1,0.9,0.9,0.0%,2002,4,te
38,John Jones (FA),1,2,4,4.0,4,0,0,0,0,0,0,1,0.9,0.9,0.0%,2002,4,te
39,Mark Bruener (FA),1,2,-2,-2.0,0,0,0,0,0,0,0,1,0.3,0.3,0.0%,2002,4,te
40,Tyrone Davis (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
41,Mike Bartrum (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
42,Rod Rutledge (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
43,Jed Weaver (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
44,Lamont Hall (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
45,Stephen Alexander (FA),0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
46,Boo Williams (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
47,Tony McGee (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
48,Jerame Tuman (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
49,Wesley Walls (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
50,Dan Campbell (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,te
