rank,player,def_sacks,def_int,fr,def_fum_forced,def td,def_safety,def_special_teams_td,g,fpts,fpts_per_game,rost,year,week,pos
13,New Orleans Saints (NO),3,0,2,2,0,0,0,1,7.0,7.0,63.8%,2015,2,dst
14,Green Bay Packers (GB),2,1,1,1,0,0,0,1,7.0,7.0,26.0%,2015,2,dst
15,Atlanta Falcons (ATL),2,0,1,2,0,0,0,1,5.0,5.0,16.5%,2015,2,dst
16,Washington Commanders (WAS),1,0,0,1,0,0,0,1,5.0,5.0,8.1%,2015,2,dst
17,Houston Texans (HOU),2,1,0,0,0,0,0,1,5.0,5.0,29.9%,2015,2,dst
18,Indianapolis Colts (IND),1,1,0,1,0,0,0,1,4.0,4.0,24.5%,2015,2,dst
19,Carolina Panthers (CAR),1,1,0,0,0,0,0,1,4.0,4.0,2.9%,2015,2,dst
20,Los Angeles Chargers (LAC),0,0,2,1,0,0,0,1,4.0,4.0,16.5%,2015,2,dst
21,Seattle Seahawks (SEA),2,0,1,1,0,0,0,1,4.0,4.0,26.9%,2015,2,dst
22,Los Angeles Rams (LAR),2,0,1,1,0,0,0,1,4.0,4.0,21.1%,2015,2,dst
23,Jacksonville Jaguars (JAC),2,0,0,1,0,0,0,1,3.0,3.0,47.2%,2015,2,dst
24,Detroit Lions (DET),1,0,1,2,0,0,0,1,3.0,3.0,43.8%,2015,2,dst
25,Las Vegas Raiders (LV),0,1,1,1,0,0,0,1,3.0,3.0,21.9%,2015,2,dst
26,New York Giants (NYG),2,0,0,0,0,0,0,1,2.0,2.0,3.1%,2015,2,dst
27,Buffalo Bills (BUF),2,0,2,2,0,0,0,1,2.0,2.0,62.6%,2015,2,dst
28,Tennessee Titans (TEN),2,0,0,2,0,0,0,1,1.0,1.0,3.5%,2015,2,dst
29,Chicago Bears (CHI),0,1,1,0,0,0,0,1,0.0,0.0,31.1%,2015,2,dst
30,Miami Dolphins (MIA),0,0,0,0,0,0,0,1,0.0,0.0,69.0%,2015,2,dst
31,Baltimore Ravens (BAL),1,1,0,0,0,0,0,1,-1.0,-1.0,87.5%,2015,2,dst
32,San Francisco 49ers (SF),0,0,0,0,0,0,0,1,-4.0,-4.0,98.1%,2015,2,dst
1,Arizona Cardinals (ARI),2,4,0,0,2,1,0,1,28.0,28.0,0.8%,2015,3,dst
2,Denver Broncos (DEN),4,2,1,1,0,0,0,1,15.0,15.0,34.5%,2015,3,dst
3,Minnesota Vikings (MIN),4,1,1,1,1,0,0,1,15.0,15.0,11.6%,2015,3,dst
4,Buffalo Bills (BUF),2,3,0,1,1,0,0,1,15.0,15.0,62.6%,2015,3,dst
5,Seattle Seahawks (SEA),2,0,0,0,0,0,1,1,12.0,12.0,26.9%,2015,3,dst
6,Indianapolis Colts (IND),3,2,0,0,1,0,0,1,12.0,12.0,24.5%,2015,3,dst
7,Pittsburgh Steelers (PIT),2,1,0,0,0,0,0,1,11.0,11.0,76.5%,2015,3,dst
8,Los Angeles Rams (LAR),5,1,0,1,0,0,0,1,11.0,11.0,21.1%,2015,3,dst
9,Baltimore Ravens (BAL),2,1,1,1,1,0,0,1,11.0,11.0,87.5%,2015,3,dst
10,Las Vegas Raiders (LV),5,1,1,1,0,0,0,1,10.0,10.0,21.9%,2015,3,dst
11,Philadelphia Eagles (PHI),1,3,1,2,0,0,1,1,10.0,10.0,50.8%,2015,3,dst
12,Green Bay Packers (GB),7,1,0,2,0,0,0,1,8.0,8.0,26.0%,2015,3,dst
13,New York Giants (NYG),1,2,0,2,0,1,0,1,8.0,8.0,3.1%,2015,3,dst
14,Tennessee Titans (TEN),3,2,0,1,0,0,0,1,6.0,6.0,3.5%,2015,3,dst
15,Houston Texans (HOU),0,1,0,0,0,0,0,1,6.0,6.0,29.9%,2015,3,dst
16,Detroit Lions (DET),1,1,1,1,0,0,0,1,5.0,5.0,43.8%,2015,3,dst
17,Carolina Panthers (CAR),1,1,1,1,0,0,0,1,5.0,5.0,2.9%,2015,3,dst
18,New England Patriots (NE),2,1,0,1,0,0,0,1,5.0,5.0,13.3%,2015,3,dst
19,Chicago Bears (CHI),4,0,0,0,0,0,0,1,4.0,4.0,31.1%,2015,3,dst
20,Tampa Bay Buccaneers (TB),1,1,0,0,0,0,0,1,4.0,4.0,20.7%,2015,3,dst
21,Cincinnati Bengals (CIN),0,1,0,1,0,0,0,1,3.0,3.0,48.8%,2015,3,dst
22,Atlanta Falcons (ATL),2,1,0,0,0,0,0,1,3.0,3.0,16.5%,2015,3,dst
23,New York Jets (NYJ),1,0,1,1,0,0,0,1,3.0,3.0,82.9%,2015,3,dst
24,Cleveland Browns (CLE),0,0,1,1,0,0,0,1,2.0,2.0,94.3%,2015,3,dst
25,Los Angeles Chargers (LAC),0,1,0,0,0,0,0,1,2.0,2.0,16.5%,2015,3,dst
26,New Orleans Saints (NO),1,0,0,0,0,0,1,1,1.0,1.0,63.8%,2015,3,dst
27,Washington Commanders (WAS),0,0,0,0,0,0,1,1,-1.0,-1.0,8.1%,2015,3,dst
28,San Francisco 49ers (SF),1,1,0,1,0,0,0,1,-1.0,-1.0,98.1%,2015,3,dst
29,Jacksonville Jaguars (JAC),2,0,0,0,0,0,0,1,-2.0,-2.0,47.2%,2015,3,dst
30,Kansas City Chiefs (KC),1,0,0,0,0,0,0,1,-3.0,-3.0,77.0%,2015,3,dst
31,Dallas Cowboys (DAL),1,0,0,0,0,0,0,1,-3.0,-3.0,93.2%,2015,3,dst
32,Miami Dolphins (MIA),0,0,0,0,0,0,0,1,-4.0,-4.0,69.0%,2015,3,dst
1,Detroit Lions (DET),6,0,3,3,1,0,0,1,22.0,22.0,43.8%,2015,4,dst
2,Atlanta Falcons (ATL),1,1,3,2,2,0,0,1,21.0,21.0,16.5%,2015,4,dst
3,Carolina Panthers (CAR),2,4,1,0,2,0,0,1,18.0,18.0,2.9%,2015,4,dst
4,Green Bay Packers (GB),6,1,0,1,0,0,0,1,15.0,15.0,26.0%,2015,4,dst
5,Washington Commanders (WAS),5,0,2,0,0,0,0,1,10.0,10.0,8.1%,2015,4,dst
6,Denver Broncos (DEN),7,0,1,3,0,0,0,1,10.0,10.0,34.5%,2015,4,dst
7,Las Vegas Raiders (LV),3,1,2,2,0,0,0,1,10.0,10.0,21.9%,2015,4,dst
8,New York Giants (NYG),2,1,1,1,0,0,0,1,10.0,10.0,3.1%,2015,4,dst
9,Los Angeles Rams (LAR),4,1,2,2,0,0,0,1,10.0,10.0,21.1%,2015,4,dst
10,Pittsburgh Steelers (PIT),5,1,1,1,0,0,0,1,9.0,9.0,76.5%,2015,4,dst
11,New York Jets (NYJ),3,2,0,1,0,0,0,1,8.0,8.0,82.9%,2015,4,dst
12,Jacksonville Jaguars (JAC),3,0,2,3,0,0,0,1,8.0,8.0,47.2%,2015,4,dst
13,Cincinnati Bengals (CIN),5,0,1,1,0,0,0,1,7.0,7.0,48.8%,2015,4,dst
14,Chicago Bears (CHI),2,1,1,0,0,0,0,1,7.0,7.0,31.1%,2015,4,dst
15,Seattle Seahawks (SEA),0,0,0,1,0,0,0,1,7.0,7.0,26.9%,2015,4,dst
16,Los Angeles Chargers (LAC),4,0,1,1,0,0,0,1,6.0,6.0,16.5%,2015,4,dst
17,Minnesota Vikings (MIN),2,2,0,0,0,0,0,1,6.0,6.0,11.6%,2015,4,dst
18,Indianapolis Colts (IND),1,0,0,1,0,0,0,1,5.0,5.0,24.5%,2015,4,dst
19,Baltimore Ravens (BAL),4,0,0,0,0,0,0,1,5.0,5.0,87.5%,2015,4,dst
20,San Francisco 49ers (SF),3,0,0,0,0,0,0,1,4.0,4.0,98.1%,2015,4,dst
21,New Orleans Saints (NO),3,0,0,0,0,0,0,1,4.0,4.0,63.8%,2015,4,dst
22,Dallas Cowboys (DAL),3,0,0,0,0,0,0,1,3.0,3.0,93.2%,2015,4,dst
23,Tampa Bay Buccaneers (TB),2,0,1,1,0,0,0,1,3.0,3.0,20.7%,2015,4,dst
24,Buffalo Bills (BUF),1,1,0,0,0,0,0,1,3.0,3.0,62.6%,2015,4,dst
25,Philadelphia Eagles (PHI),1,0,1,1,0,0,0,1,3.0,3.0,50.8%,2015,4,dst
26,Miami Dolphins (MIA),0,1,0,0,0,0,0,1,2.0,2.0,69.0%,2015,4,dst
27,Cleveland Browns (CLE),2,0,0,0,0,0,0,1,1.0,1.0,94.3%,2015,4,dst
28,Arizona Cardinals (ARI),1,0,0,1,0,0,0,1,1.0,1.0,0.8%,2015,4,dst
29,Houston Texans (HOU),2,0,0,0,0,0,0,1,-2.0,-2.0,29.9%,2015,4,dst
30,Kansas City Chiefs (KC),0,0,0,0,0,0,0,1,-4.0,-4.0,77.0%,2015,4,dst
1,Green Bay Packers (GB),3,4,0,1,1,0,0,1,22.0,22.0,26.0%,2015,5,dst
2,Denver Broncos (DEN),4,1,2,2,1,0,0,1,21.0,21.0,34.5%,2015,5,dst
3,Tampa Bay Buccaneers (TB),6,1,1,1,1,0,0,1,15.0,15.0,20.7%,2015,5,dst
4,Arizona Cardinals (ARI),1,4,2,2,0,0,0,1,14.0,14.0,0.8%,2015,5,dst
5,Seattle Seahawks (SEA),4,1,1,1,1,0,0,1,14.0,14.0,26.9%,2015,5,dst
6,Philadelphia Eagles (PHI),5,1,3,3,0,0,0,1,14.0,14.0,50.8%,2015,5,dst
7,New England Patriots (NE),3,1,1,1,0,0,0,1,14.0,14.0,13.3%,2015,5,dst
8,Pittsburgh Steelers (PIT),2,1,1,1,1,0,0,1,13.0,13.0,76.5%,2015,5,dst
9,Atlanta Falcons (ATL),1,2,0,1,2,0,0,1,12.0,12.0,16.5%,2015,5,dst
10,Kansas City Chiefs (KC),2,0,1,1,1,0,0,1,11.0,11.0,77.0%,2015,5,dst
11,Las Vegas Raiders (LV),2,2,0,0,0,0,0,1,10.0,10.0,21.9%,2015,5,dst
12,Washington Commanders (WAS),3,2,1,3,0,0,0,1,10.0,10.0,8.1%,2015,5,dst
13,Los Angeles Rams (LAR),2,2,1,1,0,0,0,1,9.0,9.0,21.1%,2015,5,dst
14,Buffalo Bills (BUF),2,1,0,0,0,0,0,1,8.0,8.0,62.6%,2015,5,dst
15,Chicago Bears (CHI),3,0,0,0,0,0,0,1,8.0,8.0,31.1%,2015,5,dst
16,Cincinnati Bengals (CIN),4,1,0,0,0,0,0,1,7.0,7.0,48.8%,2015,5,dst
17,Tennessee Titans (TEN),4,0,1,1,0,0,0,1,7.0,7.0,3.5%,2015,5,dst
18,Los Angeles Chargers (LAC),3,1,0,0,0,0,0,1,6.0,6.0,16.5%,2015,5,dst
19,Indianapolis Colts (IND),1,2,0,0,0,0,0,1,6.0,6.0,24.5%,2015,5,dst
20,Dallas Cowboys (DAL),5,0,0,1,0,0,0,1,4.0,4.0,93.2%,2015,5,dst
21,Baltimore Ravens (BAL),4,0,0,0,0,0,0,1,3.0,3.0,87.5%,2015,5,dst
22,New York Giants (NYG),2,0,0,3,0,0,0,1,2.0,2.0,3.1%,2015,5,dst
23,Jacksonville Jaguars (JAC),2,0,0,0,0,0,0,1,1.0,1.0,47.2%,2015,5,dst
24,San Francisco 49ers (SF),0,1,0,0,0,0,0,1,1.0,1.0,98.1%,2015,5,dst
25,Houston Texans (HOU),0,0,0,0,0,0,0,1,0.0,0.0,29.9%,2015,5,dst
26,New Orleans Saints (NO),0,2,0,0,0,0,0,1,0.0,0.0,63.8%,2015,5,dst
27,Cleveland Browns (CLE),1,0,0,0,0,0,0,1,0.0,0.0,94.3%,2015,5,dst
28,Detroit Lions (DET),2,0,0,0,0,0,0,1,-2.0,-2.0,43.8%,2015,5,dst
1,Miami Dolphins (MIA),6,2,2,2,1,0,0,1,24.0,24.0,69.0%,2015,6,dst
2,Philadelphia Eagles (PHI),3,2,1,2,1,0,0,1,19.0,19.0,50.8%,2015,6,dst
3,New Orleans Saints (NO),5,0,3,3,0,0,1,1,18.0,18.0,63.8%,2015,6,dst
4,Denver Broncos (DEN),4,2,1,1,1,0,0,1,17.0,17.0,34.5%,2015,6,dst
5,Houston Texans (HOU),3,3,0,0,1,0,0,1,16.0,16.0,29.9%,2015,6,dst
6,Cleveland Browns (CLE),0,3,0,0,1,0,0,1,13.0,13.0,94.3%,2015,6,dst
7,Washington Commanders (WAS),0,1,2,2,0,0,0,1,12.0,12.0,8.1%,2015,6,dst
8,Pittsburgh Steelers (PIT),1,2,1,1,0,0,0,1,11.0,11.0,76.5%,2015,6,dst
9,Indianapolis Colts (IND),2,1,0,0,1,0,0,1,9.0,9.0,24.5%,2015,6,dst
10,New York Giants (NYG),1,3,1,1,0,0,0,1,9.0,9.0,3.1%,2015,6,dst
11,Minnesota Vikings (MIN),2,0,1,1,0,0,0,1,8.0,8.0,11.6%,2015,6,dst
12,Kansas City Chiefs (KC),2,2,0,1,0,0,0,1,7.0,7.0,77.0%,2015,6,dst
13,Seattle Seahawks (SEA),3,2,0,0,0,0,0,1,7.0,7.0,26.9%,2015,6,dst
14,New York Jets (NYJ),1,2,0,0,0,0,0,1,6.0,6.0,82.9%,2015,6,dst
15,Green Bay Packers (GB),3,0,1,2,0,0,0,1,6.0,6.0,26.0%,2015,6,dst
16,Tennessee Titans (TEN),2,2,0,0,0,0,0,1,5.0,5.0,3.5%,2015,6,dst
17,San Francisco 49ers (SF),0,2,0,0,0,0,0,1,5.0,5.0,98.1%,2015,6,dst
18,Cincinnati Bengals (CIN),2,1,0,0,0,0,0,1,4.0,4.0,48.8%,2015,6,dst
19,New England Patriots (NE),3,0,0,0,0,0,0,1,4.0,4.0,13.3%,2015,6,dst
20,Carolina Panthers (CAR),4,0,0,0,0,0,0,1,4.0,4.0,2.9%,2015,6,dst
21,Chicago Bears (CHI),2,1,2,1,0,0,0,1,4.0,4.0,31.1%,2015,6,dst
22,Los Angeles Chargers (LAC),3,0,0,1,0,0,0,1,3.0,3.0,16.5%,2015,6,dst
23,Baltimore Ravens (BAL),3,0,0,0,0,0,0,1,3.0,3.0,87.5%,2015,6,dst
24,Detroit Lions (DET),1,1,0,1,0,0,0,1,2.0,2.0,43.8%,2015,6,dst
25,Arizona Cardinals (ARI),1,0,0,0,0,0,0,1,1.0,1.0,0.8%,2015,6,dst
26,Atlanta Falcons (ATL),1,0,0,0,0,0,0,1,1.0,1.0,16.5%,2015,6,dst
27,Jacksonville Jaguars (JAC),1,0,0,1,0,0,0,1,1.0,1.0,47.2%,2015,6,dst
28,Buffalo Bills (BUF),0,0,0,0,0,0,0,1,-1.0,-1.0,62.6%,2015,6,dst
1,Los Angeles Rams (LAR),4,0,4,4,1,0,0,1,25.0,25.0,21.1%,2015,7,dst
2,Jacksonville Jaguars (JAC),4,2,2,3,2,0,0,1,24.0,24.0,47.2%,2015,7,dst
3,New York Giants (NYG),1,3,1,0,1,0,1,1,16.0,16.0,3.1%,2015,7,dst
4,Seattle Seahawks (SEA),6,0,0,1,0,0,0,1,13.0,13.0,26.9%,2015,7,dst
5,Miami Dolphins (MIA),4,1,0,3,1,0,0,1,12.0,12.0,69.0%,2015,7,dst
6,Kansas City Chiefs (KC),2,2,1,1,0,0,0,1,12.0,12.0,77.0%,2015,7,dst
7,Buffalo Bills (BUF),2,1,0,0,1,0,0,1,10.0,10.0,62.6%,2015,7,dst
8,San Francisco 49ers (SF),5,2,0,0,0,0,0,1,10.0,10.0,98.1%,2015,7,dst
9,New Orleans Saints (NO),4,2,1,0,0,0,0,1,10.0,10.0,63.8%,2015,7,dst
10,Atlanta Falcons (ATL),1,2,0,0,0,0,0,1,9.0,9.0,16.5%,2015,7,dst
11,Tennessee Titans (TEN),0,2,0,0,0,0,0,1,8.0,8.0,3.5%,2015,7,dst
12,Tampa Bay Buccaneers (TB),1,0,1,1,1,0,0,1,8.0,8.0,20.7%,2015,7,dst
13,Minnesota Vikings (MIN),7,0,0,0,0,0,0,1,8.0,8.0,11.6%,2015,7,dst
14,Arizona Cardinals (ARI),3,1,1,0,0,0,0,1,8.0,8.0,0.8%,2015,7,dst
15,Carolina Panthers (CAR),5,1,0,1,0,0,0,1,8.0,8.0,2.9%,2015,7,dst
16,Philadelphia Eagles (PHI),1,3,0,0,0,0,0,1,7.0,7.0,50.8%,2015,7,dst
17,Detroit Lions (DET),4,0,1,1,0,1,0,1,7.0,7.0,43.8%,2015,7,dst
18,Cleveland Browns (CLE),2,0,1,1,0,0,0,1,5.0,5.0,94.3%,2015,7,dst
19,Las Vegas Raiders (LV),1,2,0,1,0,0,0,1,4.0,4.0,21.9%,2015,7,dst
20,Indianapolis Colts (IND),2,1,0,1,0,0,0,1,4.0,4.0,24.5%,2015,7,dst
21,New England Patriots (NE),2,0,1,1,0,0,0,1,4.0,4.0,13.3%,2015,7,dst
22,Baltimore Ravens (BAL),2,0,0,0,0,0,0,1,3.0,3.0,87.5%,2015,7,dst
23,Washington Commanders (WAS),1,0,1,1,0,0,0,1,3.0,3.0,8.1%,2015,7,dst
24,Dallas Cowboys (DAL),2,0,0,0,0,0,0,1,2.0,2.0,93.2%,2015,7,dst
25,New York Jets (NYJ),3,0,0,1,0,0,0,1,2.0,2.0,82.9%,2015,7,dst
26,Houston Texans (HOU),4,0,1,1,0,0,0,1,2.0,2.0,29.9%,2015,7,dst
27,Pittsburgh Steelers (PIT),2,0,0,0,0,0,0,1,2.0,2.0,76.5%,2015,7,dst
28,Los Angeles Chargers (LAC),1,0,0,0,0,0,0,1,-3.0,-3.0,16.5%,2015,7,dst
1,Houston Texans (HOU),7,1,2,1,0,0,0,1,20.0,20.0,29.9%,2015,8,dst
2,New England Patriots (NE),5,2,0,0,0,1,0,1,15.0,15.0,13.3%,2015,8,dst
3,Kansas City Chiefs (KC),6,2,0,0,0,0,0,1,14.0,14.0,77.0%,2015,8,dst
4,Cincinnati Bengals (CIN),3,3,0,0,0,0,0,1,13.0,13.0,48.8%,2015,8,dst
5,Los Angeles Rams (LAR),3,0,0,0,0,1,0,1,12.0,12.0,21.1%,2015,8,dst
6,Carolina Panthers (CAR),2,3,1,2,0,0,0,1,10.0,10.0,2.9%,2015,8,dst
7,Tampa Bay Buccaneers (TB),1,1,3,2,0,0,0,1,10.0,10.0,20.7%,2015,8,dst
8,Denver Broncos (DEN),3,0,0,3,0,1,0,1,9.0,9.0,34.5%,2015,8,dst
9,Pittsburgh Steelers (PIT),3,2,0,0,0,0,0,1,9.0,9.0,76.5%,2015,8,dst
10,Cleveland Browns (CLE),1,1,3,4,0,0,0,1,8.0,8.0,94.3%,2015,8,dst
11,Dallas Cowboys (DAL),0,1,0,0,0,0,0,1,7.0,7.0,93.2%,2015,8,dst
12,Indianapolis Colts (IND),2,1,2,1,0,0,0,1,7.0,7.0,24.5%,2015,8,dst
13,New York Giants (NYG),0,2,0,0,1,0,0,1,6.0,6.0,3.1%,2015,8,dst
14,Las Vegas Raiders (LV),3,1,0,0,0,0,0,1,6.0,6.0,21.9%,2015,8,dst
15,Arizona Cardinals (ARI),1,1,1,1,0,0,0,1,6.0,6.0,0.8%,2015,8,dst
16,Seattle Seahawks (SEA),1,0,0,0,0,0,0,1,5.0,5.0,26.9%,2015,8,dst
17,Tennessee Titans (TEN),3,0,0,0,0,0,0,1,4.0,4.0,3.5%,2015,8,dst
18,Chicago Bears (CHI),1,1,0,0,0,0,0,1,3.0,3.0,31.1%,2015,8,dst
19,San Francisco 49ers (SF),0,0,1,1,0,0,0,1,3.0,3.0,98.1%,2015,8,dst
20,Los Angeles Chargers (LAC),3,0,0,0,0,0,0,1,2.0,2.0,16.5%,2015,8,dst
21,Atlanta Falcons (ATL),2,0,0,0,0,0,0,1,2.0,2.0,16.5%,2015,8,dst
22,Minnesota Vikings (MIN),1,0,0,0,0,0,1,1,2.0,2.0,11.6%,2015,8,dst
23,Baltimore Ravens (BAL),1,0,0,0,0,0,0,1,2.0,2.0,87.5%,2015,8,dst
24,Green Bay Packers (GB),0,1,0,0,0,0,0,1,1.0,1.0,26.0%,2015,8,dst
25,New Orleans Saints (NO),3,0,1,1,0,0,0,1,1.0,1.0,63.8%,2015,8,dst
26,New York Jets (NYJ),0,0,0,0,0,0,0,1,-1.0,-1.0,82.9%,2015,8,dst
27,Detroit Lions (DET),3,0,0,0,0,0,0,1,-1.0,-1.0,43.8%,2015,8,dst
28,Miami Dolphins (MIA),2,0,0,0,0,0,0,1,-2.0,-2.0,69.0%,2015,8,dst
1,New York Jets (NYJ),6,2,2,1,0,0,0,1,14.0,14.0,82.9%,2015,9,dst
2,New York Giants (NYG),0,0,3,2,1,0,0,1,13.0,13.0,3.1%,2015,9,dst
3,Philadelphia Eagles (PHI),4,1,0,2,1,0,0,1,12.0,12.0,50.8%,2015,9,dst
4,Los Angeles Chargers (LAC),1,1,1,1,1,0,0,1,11.0,11.0,16.5%,2015,9,dst
5,New England Patriots (NE),1,1,1,2,0,0,0,1,9.0,9.0,13.3%,2015,9,dst
6,Tennessee Titans (TEN),4,1,1,0,0,0,0,1,8.0,8.0,3.5%,2015,9,dst
7,Carolina Panthers (CAR),5,1,1,2,0,0,0,1,8.0,8.0,2.9%,2015,9,dst
8,Chicago Bears (CHI),2,0,1,1,0,0,0,1,8.0,8.0,31.1%,2015,9,dst
9,Buffalo Bills (BUF),2,0,1,1,0,1,0,1,7.0,7.0,62.6%,2015,9,dst
10,Cincinnati Bengals (CIN),3,0,0,0,0,0,0,1,7.0,7.0,48.8%,2015,9,dst
11,Atlanta Falcons (ATL),0,2,0,0,0,0,0,1,5.0,5.0,16.5%,2015,9,dst
12,Indianapolis Colts (IND),1,2,0,0,0,0,0,1,5.0,5.0,24.5%,2015,9,dst
13,Washington Commanders (WAS),0,1,1,2,0,0,0,1,4.0,4.0,8.1%,2015,9,dst
14,Pittsburgh Steelers (PIT),0,1,3,3,0,0,0,1,4.0,4.0,76.5%,2015,9,dst
15,Tampa Bay Buccaneers (TB),0,2,0,1,0,0,0,1,4.0,4.0,20.7%,2015,9,dst
16,San Francisco 49ers (SF),2,0,0,0,0,0,0,1,3.0,3.0,98.1%,2015,9,dst
17,Los Angeles Rams (LAR),1,1,0,1,0,0,0,1,3.0,3.0,21.1%,2015,9,dst
18,Miami Dolphins (MIA),3,0,0,0,0,0,0,1,2.0,2.0,69.0%,2015,9,dst
19,Minnesota Vikings (MIN),1,0,0,0,0,0,0,1,2.0,2.0,11.6%,2015,9,dst
20,Cleveland Browns (CLE),2,0,0,0,0,0,0,1,2.0,2.0,94.3%,2015,9,dst
21,New Orleans Saints (NO),0,0,1,1,0,0,0,1,1.0,1.0,63.8%,2015,9,dst
22,Jacksonville Jaguars (JAC),2,0,0,1,0,0,0,1,1.0,1.0,47.2%,2015,9,dst
23,Las Vegas Raiders (LV),1,1,1,0,0,0,0,1,1.0,1.0,21.9%,2015,9,dst
24,Denver Broncos (DEN),1,0,0,0,0,0,1,1,1.0,1.0,34.5%,2015,9,dst
25,Dallas Cowboys (DAL),1,0,0,0,0,0,0,1,1.0,1.0,93.2%,2015,9,dst
26,Green Bay Packers (GB),0,1,0,0,0,0,0,1,-2.0,-2.0,26.0%,2015,9,dst
1,Kansas City Chiefs (KC),5,5,0,1,0,0,0,1,19.0,19.0,77.0%,2015,10,dst
2,Buffalo Bills (BUF),1,2,2,1,1,0,0,1,16.0,16.0,62.6%,2015,10,dst
3,Pittsburgh Steelers (PIT),6,1,2,1,0,0,0,1,16.0,16.0,76.5%,2015,10,dst
4,Houston Texans (HOU),4,1,1,1,0,0,0,1,15.0,15.0,29.9%,2015,10,dst
5,Washington Commanders (WAS),2,2,0,1,1,0,0,1,13.0,13.0,8.1%,2015,10,dst
6,Tampa Bay Buccaneers (TB),3,1,0,1,0,0,0,1,12.0,12.0,20.7%,2015,10,dst
7,Seattle Seahawks (SEA),3,1,2,2,1,0,0,1,11.0,11.0,26.9%,2015,10,dst
8,Dallas Cowboys (DAL),2,2,0,0,0,0,0,1,10.0,10.0,93.2%,2015,10,dst
9,Jacksonville Jaguars (JAC),1,2,2,1,0,0,0,1,10.0,10.0,47.2%,2015,10,dst
10,Carolina Panthers (CAR),1,1,1,1,0,0,0,1,9.0,9.0,2.9%,2015,10,dst
11,Chicago Bears (CHI),1,1,1,1,0,0,0,1,9.0,9.0,31.1%,2015,10,dst
12,Cincinnati Bengals (CIN),3,1,0,0,0,0,0,1,9.0,9.0,48.8%,2015,10,dst
13,Miami Dolphins (MIA),4,1,0,2,0,0,0,1,8.0,8.0,69.0%,2015,10,dst
14,Philadelphia Eagles (PHI),4,0,0,1,0,1,0,1,7.0,7.0,50.8%,2015,10,dst
15,Minnesota Vikings (MIN),2,2,0,1,0,0,1,1,7.0,7.0,11.6%,2015,10,dst
16,New York Giants (NYG),3,1,1,2,0,0,0,1,7.0,7.0,3.1%,2015,10,dst
17,Arizona Cardinals (ARI),2,1,0,1,0,1,0,1,6.0,6.0,0.8%,2015,10,dst
18,Baltimore Ravens (BAL),3,1,0,0,0,0,0,1,6.0,6.0,87.5%,2015,10,dst
19,Tennessee Titans (TEN),5,0,0,0,0,0,0,1,5.0,5.0,3.5%,2015,10,dst
20,New England Patriots (NE),3,0,1,1,0,0,0,1,5.0,5.0,13.3%,2015,10,dst
21,New York Jets (NYJ),4,0,0,0,0,0,0,1,5.0,5.0,82.9%,2015,10,dst
22,Cleveland Browns (CLE),1,1,1,2,0,0,0,1,4.0,4.0,94.3%,2015,10,dst
23,Las Vegas Raiders (LV),4,0,0,1,0,0,0,1,4.0,4.0,21.9%,2015,10,dst
24,Detroit Lions (DET),3,0,0,1,0,0,0,1,4.0,4.0,43.8%,2015,10,dst
25,Green Bay Packers (GB),0,1,0,0,0,0,0,1,3.0,3.0,26.0%,2015,10,dst
26,Los Angeles Rams (LAR),2,0,2,1,0,0,0,1,2.0,2.0,21.1%,2015,10,dst
27,Denver Broncos (DEN),2,0,0,0,0,0,0,1,1.0,1.0,34.5%,2015,10,dst
28,New Orleans Saints (NO),3,0,0,1,0,0,0,1,-1.0,-1.0,63.8%,2015,10,dst
1,Kansas City Chiefs (KC),3,1,1,0,1,0,0,1,20.0,20.0,77.0%,2015,11,dst
2,Tampa Bay Buccaneers (TB),3,3,1,1,1,0,0,1,18.0,18.0,20.7%,2015,11,dst
3,Carolina Panthers (CAR),5,1,4,5,0,0,0,1,16.0,16.0,2.9%,2015,11,dst
4,Indianapolis Colts (IND),1,3,1,1,1,0,0,1,15.0,15.0,24.5%,2015,11,dst
5,Baltimore Ravens (BAL),1,0,4,2,0,0,0,1,14.0,14.0,87.5%,2015,11,dst
6,Dallas Cowboys (DAL),3,1,0,0,1,0,0,1,12.0,12.0,93.2%,2015,11,dst
7,Green Bay Packers (GB),6,0,1,1,0,0,0,1,12.0,12.0,26.0%,2015,11,dst
8,Jacksonville Jaguars (JAC),4,0,1,1,0,0,0,1,10.0,10.0,47.2%,2015,11,dst
9,Tennessee Titans (TEN),4,1,1,1,0,0,0,1,9.0,9.0,3.5%,2015,11,dst
10,Atlanta Falcons (ATL),2,2,1,1,0,0,0,1,9.0,9.0,16.5%,2015,11,dst
11,New England Patriots (NE),2,0,1,2,0,0,0,1,8.0,8.0,13.3%,2015,11,dst
12,Houston Texans (HOU),3,2,0,0,0,0,0,1,8.0,8.0,29.9%,2015,11,dst
13,Miami Dolphins (MIA),2,2,0,0,0,0,0,1,7.0,7.0,69.0%,2015,11,dst
14,Detroit Lions (DET),1,0,0,1,0,1,0,1,7.0,7.0,43.8%,2015,11,dst
15,Denver Broncos (DEN),2,1,1,1,0,0,0,1,7.0,7.0,34.5%,2015,11,dst
16,Los Angeles Rams (LAR),1,2,0,2,0,0,0,1,6.0,6.0,21.1%,2015,11,dst
17,Chicago Bears (CHI),5,0,0,0,0,0,0,1,6.0,6.0,31.1%,2015,11,dst
18,Seattle Seahawks (SEA),2,0,0,1,0,0,0,1,6.0,6.0,26.9%,2015,11,dst
