time/total_timesteps,params/n_steps,params/batch_size,params/sde_sample_freq,params/clip_range_vf,params/clip_range,rollout/ep_len_mean,time/fps,params/device,rollout/ep_rew_mean,params/normalize_advantage,params/seed,params/ent_coef,params/n_epochs,params/gae_lambda,params/learning_rate,params/policy,params/verbose,time/iterations,time/time_elapsed,params/max_grad_norm,params/target_kl,params/policy_kwargs,params/_init_setup_model,params/gamma,params/vf_coef,params/stats_window_size,params/use_sde,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,mean_reward,eval/mean_reward,eval/mean_ep_length
3900,,,,,,15.0,13,,-0.3703752,,,,,,,,,65,290,,,,,,,,,-1.6138664086659749,-0.0030982330216405766,9.9904e-05,960,0.017777778580784796,0.05761832743883133,0.0040494143,-0.08304417133331299,0.2,0.3662221918503443,,,
3960,,,,,,15.0,13,,-0.36783928999999993,,,,,,,,,66,294,,,,,,,,,-1.5883708874384561,-0.009223771883892666,9.99025e-05,975,0.018888889625668526,0.010312013328075409,0.0076847873,-0.0347365140914917,0.2,0.2201127996047338,,,
4020,,,,,,15.0,13,,-0.38254826999999997,,,,,,,,,67,298,,,,,,,,,-1.5978724320729574,-0.01838601376033493,9.9901e-05,990,0.047777779524525006,0.032044604420661926,0.012834775,-0.004540801048278809,0.2,0.2741229812304179,-0.023317434,,
4080,,,,,,15.0,13,,-0.40922553000000006,,,,,,,,,68,302,,,,,,,,,-1.5949204285939536,-0.0028440116963530217,9.989950000000001e-05,1005,0.0,0.02739575505256653,0.002490293,0.09884238243103027,0.2,0.19413604736328124,,,
4140,,,,,,15.0,13,,-0.37870775999999995,,,,,,,,,69,307,,,,,,,,,-1.612008841832479,-0.019041345468916403,9.989800000000001e-05,1020,0.024444445346792538,-0.09088215231895447,0.006217594,0.8845570087432861,0.2,0.016011625124762455,,,
4200,,,,,,15.0,13,,-0.40723557,,,,,,,,,70,311,,,,,,,,,-1.619583797454834,-0.010218231887556566,9.98965e-05,1035,0.002222222338120143,0.04617256671190262,0.0037661751,-0.12680363655090332,0.2,0.3444676776727041,,,
4260,,,,,,15.0,13,,-0.39341139,,,,,,,,,71,315,,,,,,,,,-1.6260764042536417,-0.007533643122814245,9.9895e-05,1050,0.0011111111690600714,0.014406718313694,0.0044621923,0.12953513860702515,0.2,0.19621468583742777,,,
4320,,,,,,15.0,13,,-0.36473723,,,,,,,,,72,320,,,,,,,,,-1.641999650001526,-0.018261658875789108,9.989350000000001e-05,1065,0.05666666825612386,0.02385859191417694,0.015175267,0.017102420330047607,0.2,0.2558244158824285,,,
4380,,,,,,15.0,13,,-0.33595048999999993,,,,,,,,,73,324,,,,,,,,,-1.6528684854507447,-0.013902359748931807,9.9892e-05,1080,0.07222222362955412,0.02302940934896469,0.015052108,0.11810111999511719,0.2,0.21924788852532703,,,
4440,,,,,,15.0,13,,-0.3087786,,,,,,,,,74,328,,,,,,,,,-1.6631321509679158,-0.02206158487203851,9.98905e-05,1095,0.055555556590358414,-0.0007567629218101501,0.012268201,0.04739868640899658,0.2,0.2117704818646113,,,
4500,,,,,,15.0,13,,-0.28287361,,,,,,,,,75,332,,,,,,,,,-1.6225154399871826,-0.023493073030542096,9.9889e-05,1110,0.07820512898839437,0.023155726492404938,0.017509775,-0.048666954040527344,0.2,0.24307091992634994,,,
4560,,,,,,15.0,13,,-0.3275503699999999,,,,,,,,,76,337,,,,,,,,,-1.6055309693018596,-0.013510327557515822,9.988750000000001e-05,1125,0.028888889650503794,0.0056763142347335815,0.012074077,0.15144234895706177,0.2,0.21815567215283713,,,
4620,,,,,,15.0,13,,-0.29875996,,,,,,,,,77,341,,,,,,,,,-1.6493680953979493,-0.0026414065383788543,9.988600000000001e-05,1140,0.020000001043081285,-0.05588265135884285,0.003119114,0.5718285441398621,0.2,0.11402701754122972,,,
